T,O,H,L,C,V
1713844800,22.38,23.39,22.28,23.19,6915449
1713931200,23.34,23.41,22.75,23.07,4708209
1714017600,22.61,23.22,22.37,23.12,5425775
1714104000,23.26,23.985,23.085,23.91,6398473
1714363200,24.05,24.58,23.6732,23.94,5456908
1714449600,23.71,24.2,23.58,23.63,3994290
1714536000,23.48,23.61,22.62,23,6980431
1714622400,23.3,23.455,22.47,23.38,6422947
1714708800,23.77,24.27,22.6499,22.74,6340950
1714968000,22.87,23.595,22.83,23.56,7118700
1715054400,23.26,24.08,23.21,23.73,13824865
1715140800,25.18,27.31,24.8295,26.82,25125358
1715227200,27,27.57,26.54,26.82,15200797
1715313600,27.03,27.416,26.62,26.83,6745120
1715572800,26.99,27.5,26.65,27.02,9648569
1715659200,27.16,27.7,26.95,27.16,6209923
1715745600,27.69,27.87,27.175,27.71,8187629
1715832000,27.55,27.9,27.33,27.53,6738967
1715918400,27.61,27.71,26.625,26.99,7971844
1716177600,26.97,27.32,26.55,26.96,5653197
1716264000,26.1,26.73,25.88,26.53,7793271
1716350400,26.34,27.095,26.28,26.68,6443066
1716436800,26.75,26.84,25.23,25.38,7872823
1716523200,25.65,25.83,25.23,25.46,5102048
1716868800,25.73,26.2799,25.315,25.43,7764046
1716955200,25,25.15,22.95,23.63,20611701
1717041600,23.55,24,23.26,23.61,9800465
1717128000,23.71,24.25,23.398,24.23,11810171
1717387200,24.2,24.3422,22.86,23,7753535
1717473600,22.88,23.23,22.37,22.43,6421032
1717560000,22.49,22.655,22.115,22.5,6113544
1717646400,22.5,23.22,22.4,22.62,4947829
1717732800,22.37,22.73,21.97,22.02,7580227
1717992000,22.01,22.82,21.92,22.56,7120967
1718078400,22.41,22.515,22.06,22.2,5841579
1718164800,23,23.19,22.42,22.6,7568464
1718251200,22.5,22.775,21.32,22.72,10521411
1718337600,22.46,22.76,21.97,22.72,8829778
1718596800,22.55,23.24,22.35,22.6,8019080
1718683200,23.42,24.98,23.342,24.04,14606946
1718856000,24.04,25.6,23.885,25.52,9575667
1718942400,25.46,25.695,24.86,25.54,8854239
1719201600,25.52,25.74,25.11,25.59,4634337
1719288000,25.45,25.93,25.25,25.79,5255440
1719374400,25.62,25.825,25.27,25.72,3130826
1719460800,25.77,26.18,25.565,25.72,4192212
1719547200,25.88,26.04,25.27,25.77,11069214
1719806400,25.83,25.94,25.19,25.46,3723864
1719892800,25.4,26,25.28,25.99,3217912
1719979200,25.99,26.29,25.19,25.31,3032354
1720152000,25.07,25.79,24.9304,25.66,2942817
1720411200,25.75,25.84,25.22,25.41,3935239
1720497600,25.28,25.46,24.6,24.93,4349146
1720584000,25.01,25.035,23.51,23.86,8661323
1720670400,24.13,24.405,23.8,24.37,4755776
1720756800,24.55,25.365,24.295,25.22,5277909
1721016000,25.38,25.93,25.0211,25.92,5115629
1721102400,26.22,27.39,26.04,27.3,11019929
1721188800,27.03,27.19,26.06,26.62,5658849
1721275200,27.76,27.88,26.285,26.51,10749666
1721361600,26.42,27.495,26.23,27.17,5522798
1721620800,27.36,27.785,26.78,27.42,7273488
1721707200,27.36,27.47,26.47,27.04,8197702
1721793600,26.66,26.94,24.74,24.8,9371697
1721880000,24.73,25.52,24.33,24.99,6933562
1721966400,25.75,26.38,25.43,25.68,5997772
1722225600,26,26.19,25.46,26,4097610
1722312000,26.24,26.64,25.7,25.96,3634580
1722398400,26.42,26.57,25.9618,26.16,4941520
1722484800,26.17,26.72,24.815,25.25,4222264
1722571200,24.1,24.5,23.5,24.45,8883532
1722830400,22.24,24.41,22.14,23.92,9583357
1722916800,23.99,24.74,23.74,24.19,11070309
1723003200,24,24.33,22.1,22.71,21834512
1723089600,23.08,23.7,22.27,23.4,7202371
1723176000,23.3,23.709,22.92,23.63,5099141
1723435200,23.67,24.09,23.49,23.97,4393511
1723521600,24.22,24.89,23.98,24.75,6369276
1723608000,24.9,25.16,24.55,24.78,4706423
1723694400,25.25,25.95,24.715,24.81,5138114
1723780800,24.75,24.95,24.36,24.74,3656839
1724040000,24.79,25.14,24.65,24.9,3939486
1724126400,25.03,25.1,24,24.03,3614432
1724212800,24.32,24.32,23.76,24.21,3208138
1724299200,24.22,24.47,23.535,23.56,3496123
1724385600,23.75,24.22,23.595,23.68,3538889
1724644800,23.92,24.78,23.87,24.25,4748756
1724731200,24.08,24.76,23.9763,24.75,2848095
1724817600,24.69,25.2,23.68,23.81,4245928
1724904000,24.21,25.06,24.125,24.63,4858360
1724990400,24.81,25.03,24.51,24.86,4954951
1725336000,24.71,24.77,23.775,24.02,4196340
1725422400,23.67,24.315,23.45,24.12,4298870
1725508800,24.08,24.37,23.8102,24.12,5422159
1725595200,24.25,24.3934,22.91,23.29,5509146
1725854400,23.63,23.94,23.33,23.62,6080722
1725940800,23.67,23.785,23.19,23.68,4495100
1726027200,23.35,25.02,23.06,25,6728909
1726113600,25.1,26.22,24.95,26.09,6074891
1726200000,26.25,26.52,25.96,26.19,5023101
1726459200,26.21,26.785,26.05,26.57,4702166
1726545600,26.85,26.85,26.32,26.75,4998558
1726632000,26.79,27.011,26.175,26.31,5183617
1726718400,27,27.14,26.7,26.96,4956802
1726804800,27,27.8,26.63,27.71,6082839
1727064000,27.89,28.19,27.54,27.65,5711833
1727150400,27.79,28.02,27.3147,27.99,3650399
1727236800,27.89,27.98,26.865,27.09,3934876
1727323200,27.52,27.52,26.75,27.33,4531696
1727409600,28.5,29.92,27.83,28,7968002
1727668800,27.87,28.89,27.81,28.31,4603038
1727755200,28.63,28.898,27.7101,28.56,6151582
1727841600,28.15,28.275,27.41,27.43,7323442
1727928000,27.11,27.9,26.91,27.88,4141201
1728014400,28.28,28.83,28.08,28.77,4713133
1728273600,28.72,28.72,27.86,28.17,4515772
1728360000,28.29,29.02,28.14,28.8,6591247
1728446400,29.04,29.29,28.675,28.98,2897892
1728532800,28.39,29.52,28.12,28.9,4199451
1728619200,28.05,28.77,27.72,28.34,5757650
1728878400,28.5,28.5,27.65,28.15,4197279
1728964800,28.21,28.865,28.05,28.73,5407948
1729051200,28.95,29.3,28.64,29.03,4275385
1729137600,29.07,29.63,28.53,29.54,4862143
1729224000,29.79,30.7,29.75,30.32,6171164
1729483200,30.17,30.4497,29.41,29.52,3686114
1729569600,29.415,29.85,29.2,29.37,3382671
1729656000,29.39,29.5423,28.86,29.25,2818811
1729742400,29.4,30.17,29.33,30.03,6700384
1729828800,30.23,30.405,29.42,29.49,2795165
1730088000,29.69,30.785,29.5701,30.12,10910643
1730174400,30,30.28,29.63,30.04,4071185
1730260800,30.08,30.56,29.9205,30.15,3225574
1730347200,30,30.51,29.77,30.03,4147895
1730433600,30.13,31.57,30.05,30.98,8330478
1730696400,30.69,31.354,30.27,30.32,5430607
1730782800,30.04,31.04,30,30.81,5776199
1730869200,30.8,32.15,30.75,32.14,8602986
1730955600,32.47,33.005,32.33,32.67,15792452
1731042000,38.39,38.4,34.71,37.48,28795314
1731301200,37.22,38.06,35.87,37.95,15418724
1731387600,37.26,39.7999,36.88,39.43,12557025
1731474000,39.91,40.5299,39.68,39.92,13491598
1731560400,39.81,40.6484,39.53,40.36,6714958
1731646800,40.11,41.05,39.85,40.6,7871367
1731906000,41,41.02,39.42,39.82,6619761
1731992400,39.65,42.51,39.42,42.5,13186002
1732078800,42.73,42.85,41.53,42.5,10955623
1732165200,42.25,43.29,42.01,42.36,15695536
1732251600,42.6,43.2481,42.4,42.74,12543623
1732510800,43.53,43.62,42.56,43,12082298
1732597200,42.91,44.115,42.88,43.21,7313486
1732683600,43.29,43.52,42.5,43.18,4876122
1732856400,43.19,43.7099,43.08,43.54,2298247
