T,O,H,L,C,V
1713844800,11.1599,11.18,10.98,11.05,210222
1713931200,11.08,11.08,10.91,10.965,139344
1714017600,10.8,10.96,10.8,10.96,156587
1714104000,10.825,10.9399,10.825,10.91,86070
1714363200,11.14,11.14,11.048,11.05,70665
1714449600,11.04,11.26,11.04,11.19,60653
1714536000,11.24,11.384,11.24,11.33,57735
1714622400,11.33,11.38,11.2801,11.38,41491
1714708800,11.372,11.372,11.2803,11.3,57590
1714968000,11.35,11.4,11.35,11.35,34355
1715054400,11.24,11.638,11.24,11.4801,78840
1715140800,11.41,11.67,11.41,11.62,40303
1715227200,11.82,11.82,11.62,11.72,46228
1715313600,11.86,11.86,11.61,11.76,40123
1715572800,11.94,11.94,11.66,11.84,61006
1715659200,11.8875,11.96,11.86,11.9,123837
1715745600,11.93,11.93,11.81,11.91,70990
1715832000,11.76,11.775,11.67,11.72,60546
1715918400,11.84,11.96,11.84,11.89,43558
1716177600,11.93,11.99,11.76,11.91,41480
1716264000,12.05,12.05,11.94,12.04,193687
1716350400,11.98,12.06,11.96,11.97,35969
1716436800,12.04,12.11,11.94,11.975,66428
1716523200,11.87,12.22,11.87,12.14,240949
1716868800,12.09,12.09,11.906,12.02,46972
1716955200,11.96,11.98,11.88,11.88,58396
1717041600,12.0001,12.05,11.94,11.96,222168
1717128000,12.005,12.04,11.93,12.04,109476
1717387200,12.062,12.19,12.06,12.08,202117
1717473600,12.14,12.18,12.13,12.17,191844
1717560000,12.08,12.18,11.91,12.0501,168644
1717646400,12.09,12.1167,12.04,12.04,348406
1717732800,11.92,11.93,11.75,11.8,2695630
1717992000,11.78,11.78,11.67,11.6701,1371160
1718078400,11.54,11.58,11.42,11.56,1305031
1718164800,11.73,11.73,11.56,11.56,1227032
1718251200,11.61,11.61,11.52,11.56,75105
1718337600,11.7,11.81,11.6702,11.79,96897
1718596800,11.62,11.72,11.62,11.69,53083
1718683200,11.85,11.85,11.75,11.76,58756
1718856000,11.67,11.7645,11.67,11.7,54723
1718942400,11.65,11.74,11.64,11.73,1049497
1719201600,11.78,11.8,11.71,11.75,37327
1719288000,11.71,11.74,11.685,11.73,58826
1719374400,11.68,11.7097,11.631,11.67,43865
1719460800,11.67,11.81,11.65,11.75,1925343
1719547200,11.73,11.8855,11.67,11.78,2004335
1719806400,11.84,11.94,11.77,11.78,2343083
1719892800,11.84,11.84,11.67,11.8,1436986
1719979200,11.51,11.88,11.51,11.86,316903
1720152000,12.02,12.17,11.981,12.17,177407
1720411200,12.1599,12.16,11.94,12.06,1703746
1720497600,12.03,12.2,11.965,12.0735,2656557
1720584000,11.97,12.2,11.97,12.19,164731
1720670400,12.2,12.37,12.2,12.36,161789
1720756800,12.5,12.61,12.48,12.56,1049274
1721016000,12.48,12.5194,12.44,12.46,86308
1721102400,12.5,12.6975,12.5,12.6975,259101
1721188800,12.65,12.82,12.65,12.82,102942
1721275200,12.82,12.89,12.77,12.8,77507
1721361600,12.82,12.9,12.76,12.89,88327
1721620800,12.68,12.9099,12.68,12.79,199279
1721707200,12.8,12.82,12.7283,12.76,535580
1721793600,12.8,12.87,12.77,12.8,50415
1721880000,12.71,12.79,12.69,12.69,122663
1721966400,12.76,12.8425,12.76,12.82,55134
1722225600,12.96,13,12.91,12.95,46667
1722312000,12.92,12.97,12.882,12.95,100050
1722398400,12.918,12.9999,12.895,12.96,47970
1722484800,12.99,13.02,12.73,12.79,61839
1722571200,12.74,12.795,12.685,12.75,80415
1722916800,12.29,12.45,12.25,12.34,109434
1723003200,12.74,12.74,12.6,12.62,59972
1723089600,12.69,12.75,12.63,12.7,123527
1723176000,12.8,12.85,12.76,12.85,40519
1723435200,12.99,13.08,12.88,12.9,35900
1723521600,13.06,13.19,13,13.19,121564
1723608000,13.2,13.38,13.2,13.38,70353
1723694400,13.32,13.44,13.3,13.38,265751
1723780800,13.26,13.5,13.26,13.5,80731
1724040000,13.348,13.57,13.348,13.57,65361
1724126400,13.3701,13.5,13.1598,13.46,909985
1724212800,13.535,13.61,13.4425,13.61,117793
1724299200,13.92,13.92,13.78,13.78,1412
1724385600,13.86,14.06,13.86,14.04,71362
1724644800,14.0999,14.0999,13.95,14.03,51738
1724731200,14.1,14.2,14.095,14.16,81204
1724817600,13.96,14.04,13.91,13.94,48608
1724904000,14.1,14.15,14.03,14.13,71476
1724990400,14.09,14.17,14.06,14.145,85414
1725336000,14.45,14.5,14.32,14.347,762253
1725422400,14.45,14.5691,14.43,14.48,52509
1725508800,14.6201,14.67,14.56,14.64,90804
1725595200,14.67,14.69,14.55,14.57,66542
1725854400,14.52,14.67,14.52,14.605,61852
1725940800,14.59,14.6189,14.51,14.61,688565
1726027200,14.5299,14.61,14.43,14.61,507261
1726113600,14.65,14.66,14.4,14.54,1906413
1726200000,14.5199,14.6868,14.42,14.48,3699080
1726459200,14.74,14.83,14.7,14.83,1624399
1726545600,14.78,14.78,14.61,14.6295,138781
1726632000,14.68,14.85,14.56,14.73,273348
1726718400,14.63,14.7,14.55,14.6,207952
1726804800,14.66,14.66,14.565,14.61,98827
1727064000,14.66,14.75,14.66,14.71,148292
1727150400,14.64,14.74,14.64,14.69,84316
1727236800,14.75,14.77,14.65,14.7,103196
1727323200,14.47,14.53,14.4,14.52,58876
1727409600,14.54,14.68,14.51,14.55,45445
1727668800,14.59,14.64,14.449,14.51,30730
1727755200,14.51,14.51,14.34,14.41,31738
1727841600,14.25,14.25,14.17,14.23,107404
1727928000,14.39,14.48,14.25,14.434,51755
1728014400,14.19,14.36,14.175,14.36,1446617
1728273600,14.18,14.2,14.03,14.18,119348
1728446400,13.89,14.4,13.89,14.33,43318
1728532800,14.6199,14.6199,14.25,14.33,41933
1728619200,13.9,14.3,13.9,14.26,64155
1728878400,14.14,14.22,14.08,14.22,137768
1728964800,13.74,14.09,13.74,13.86,1137741
1729051200,13.71,13.89,13.71,13.78,1282807
1729137600,14.09,14.14,14.02,14.11,97845
1729224000,14.08,14.17,14.025,14.12,46466
1729483200,14.3299,14.3299,13.86,13.8799,241737
1729569600,14.0699,14.0699,13.79,13.84,139429
1729656000,13.73,13.85,13.72,13.77,545700
1729742400,13.71,13.91,13.71,13.9099,44012
1729828800,13.82,13.84,13.73,13.73,261804
1730088000,13.815,13.87,13.75,13.79,165477
1730174400,13.7,13.74,13.5301,13.63,70173
1730260800,13.712,13.75,13.52,13.5525,80788
1730347200,13.27,13.29,13.09,13.28,265766
1730433600,13.5501,13.58,13.45,13.45,89368
1730696400,13.73,13.76,13.66,13.68,421183
1730782800,13.74,13.89,13.74,13.875,81207
1730869200,13.76,14.05,13.75,14.04,3941134
1730955600,14.04,14.04,13.72,13.8,349867
1731042000,13.53,13.63,13.52,13.56,217009
1731301200,13.29,13.56,13.29,13.41,196131
1731387600,13.43,13.43,13.1401,13.18,174663
1731474000,13.17,13.17,13.0255,13.1,142950
1731560400,13.1899,13.2,13.04,13.08,208204
1731646800,13.19,13.22,13.11,13.19,98932
1731906000,13.21,13.34,13.21,13.32,155337
1731992400,13.2499,13.36,13.218,13.32,173307
1732078800,13.36,13.36,13.16,13.18,1287064
1732165200,13.27,13.3,13.23,13.25,886289
1732251600,13.31,13.34,13.23,13.28,157550
1732510800,13.24,13.272,13.15,13.16,456785
1732597200,13.31,13.31,13.14,13.19,259440
1732683600,13.52,13.59,13.48,13.58,298873
1732856400,13.8501,13.9799,13.79,13.95,115180
1733115600,13.92,14,13.82,13.99,309670
1733202000,14.02,14.16,14.02,14.11,246060
1733288400,14.17,14.3,14.16,14.2192,381492
1733374800,14.24,14.39,14.24,14.376,156539
1733720400,14.09,14.105,14.012,14.02,192526
1733806800,14.1101,14.2306,14.1101,14.19,144300
1733893200,14.2399,14.28,14.15,14.27,267220
1733979600,14.21,14.29,14.17,14.18,133898
1734066000,14.16,14.23,14.12,14.2,76842
1734325200,14.32,14.4,14.2875,14.33,233015
1734411600,14.35,14.43,14.33,14.4,240851
1734498000,14.3001,14.4025,14.13,14.2,384151
1734584400,14.07,14.16,14.006,14.07,402244
1734670800,13.89,14.11,13.88,14.05,307216
1734930000,13.95,14.04,13.85,13.94,330492
1735016400,13.15,14.45,13.15,14.01,84060
1735189200,13.87,14.38,13.87,14.214,181238
1735275600,13.97,14.0899,13.951,14.02,176527
1735534800,13.95,13.99,13.83,13.99,166002
1735621200,13.6015,14.18,13.6015,14.02,55474
1735794000,14,14.02,13.93,14,165050
1735880400,14.0335,14.12,13.96,14.08,203187
1736139600,14.05,14.18,13.55,13.9,1323703
1736226000,13.98,14.002,13.8403,13.88,3802750
1736312400,13.61,13.79,13.61,13.78,160582
1736485200,13.32,13.32,13.17,13.25,379373
1736744400,13.1,13.23,13.09,13.2,208875
1736917200,13.245,13.35,13.2,13.32,154428
1737003600,13.19,13.35,13.19,13.34,199908
1737090000,13.39,13.49,13.31,13.3699,125389
1737435600,13.545,13.6,13.525,13.6,209949
1737522000,13.74,13.8399,13.68,13.68,240830
1737608400,13.585,13.67,13.56,13.645,153910
1737694800,13.548,13.58,13.51,13.51,156924
1737954000,13.74,13.77,13.67,13.7,226570
1738040400,13.87,14,13.83,13.93,759232
1738126800,13.84,13.8899,13.76,13.82,130644
1738213200,14.01,14.1,13.99,14.01,176320
1738299600,13.98,14.04,13.88,13.8911,63875
1738558800,13.8,13.96,13.79,13.912,166273
1738645200,14.08,14.21,14.06,14.18,101211
1738731600,14.57,14.65,14.54,14.6463,1221552
1738818000,14.5301,14.56,14.45,14.51,88485
1738904400,14.53,14.53,14.424,14.44,148396
1739163600,14.54,14.58,14.51,14.55,51418
1739250000,14.8,14.83,14.73,14.81,68125
1739336400,14.58,14.79,14.546,14.78,86834
1739422800,14.78,14.99,14.75,14.99,112721
1739509200,15.01,15.09,14.97,15.03,110539
1739854800,14.5901,14.6525,14.495,14.61,213242
1739941200,14.44,14.6,14.42,14.53,209416
1740027600,14.26,14.4,14.26,14.4,207838
1740114000,14.3499,14.35,14.24,14.3,95921
1740373200,14.27,14.43,14.25,14.325,113866
1740459600,14.448,14.46,14.303,14.37,128397
1740546000,14.43,14.555,14.3801,14.44,58960
1740632400,14.505,14.55,14.41,14.4425,70617
1740718800,14.43,14.51,14.38,14.49,164144
1740978000,14.5099,14.65,14.43,14.53,116910
1741064400,14.85,15.16,14.84,15.08,92395
1741150800,14.82,14.91,14.75,14.865,77599
1741237200,14.6665,14.72,14.555,14.642,80947
1741323600,14.7099,14.96,14.685,14.96,85882
1741579200,14.82,14.91,14.66,14.75,58539
1741665600,14.66,14.66,14.37,14.53,94912
1741752000,14.61,14.84,14.5235,14.75,75935
1741838400,14.59,14.6,14.48,14.59,63519
1741924800,14.5099,14.54,13.1998,13.43,99487
1742184000,12.95,12.95,12.6525,12.81,344068
1742270400,12.92,12.92,12.69,12.8,357374
1742356800,12.59,12.65,12.53,12.63,499031
1742443200,12.521,12.67,12.51,12.65,345913
1742529600,12.605,12.71,12.57,12.63,336026
1742788800,12.61,12.66,12.5175,12.64,359266
1742875200,12.76,12.86,12.66,12.83,505052
1742961600,12.7701,12.9,12.76,12.83,285325
1743048000,12.75,12.84,12.68,12.76,286391
1743134400,12.93,13.04,12.85,12.9,237494
1743393600,12.905,12.9499,12.7501,12.9,431137
1743480000,12.69,12.8,12.625,12.74,212408
1743566400,12.81,12.9099,12.79,12.9,184166
1743652800,13.66,13.81,13.608,13.73,3167687
1743739200,13.52,13.56,13.27,13.38,1530245
1743998400,12.78,13,12.5,12.73,1306344
1744084800,12.97,13.08,12.72,12.89,342142
1744171200,12.85,13.53,12.83,13.53,383043
1744257600,12.37,12.56,12.16,12.31,4478897
1744344000,12.78,13.15,12.75,13.12,7667764
1744603200,13.21,13.65,13.19,13.57,1528285
1744689600,13.65,14,13.64,13.9,1996950
1744776000,13.93,14.32,13.765,13.8325,230370
1744862400,14.18,14.41,14.16,14.335,166858
1745208000,13.4301,14.4475,13.43,14.25,473077
