T,O,H,L,C,V
1713844800,53.1,54.67,52.81,54.03,12733073
1713931200,53.69,53.95,52.11,52.67,10034253
1714017600,52.28,53.84,51.32,53.51,8895526
1714104000,53.07,53.5098,52.29,52.84,6905764
1714363200,52.8,53.13,52.155,52.97,5509088
1714449600,52.42,52.68,51.41,51.46,7313209
1714536000,51.4,51.51,49.73,50.67,9732295
1714622400,51.39,51.815,50.9189,51.68,7455861
1714708800,52,52.75,51.225,51.65,7315511
1714968000,51.93,54.06,51.7,53.97,8713619
1715054400,53.3,53.35,52.5699,52.69,6193528
1715140800,53.12,53.5,52.63,53.02,4853210
1715227200,52.96,53.17,52.58,52.63,3540683
1715313600,52.98,53.37,52.46,52.72,3534129
1715572800,53.23,54.68,53.2,54.4,7633969
1715659200,54.8,55.2168,54.8,55.09,7654989
1715745600,55.38,55.39,54.825,54.96,7519541
1715832000,55.43,56.175,54.65,54.78,6892435
1715918400,55.15,55.835,54.84,54.97,7157932
1716177600,54.99,55.27,54.56,54.62,5517540
1716264000,54.44,54.6,52.95,53.03,6767412
1716350400,52.88,53.4,52.21,52.42,4725029
1716436800,52.63,52.68,51.4,51.76,4718357
1716523200,51.91,52.3,51.26,51.73,3489525
1716868800,51.85,51.9295,50.43,50.64,4741630
1716955200,49.475,51.92,48.27,51.83,12342085
1717041600,51.96,52.115,51.16,51.34,5399423
1717128000,51.82,53.105,51.65,52.99,7740892
1717387200,53.5,54.6,52.22,52.72,8790568
1717473600,52.64,54.02,51.73,52.34,8538760
1717560000,52.11,53.68,51.38,52.91,8902868
1717646400,53.31,55.12,53.03,53.3,8653330
1717732800,52.72,53.34,52.6101,53,4695646
1717992000,52.54,53.48,52.28,53.03,3521224
1718078400,52.66,52.84,51.85,52.05,4620962
1718164800,52.85,54.13,52.5,52.93,7595194
1718251200,52.86,52.86,51.06,52.07,5466231
1718337600,50.99,51.11,48.46,49.69,10772426
1718596800,49.68,50.615,49.4,50.36,4999765
1718683200,50.32,50.67,49.445,49.58,5051314
1718856000,49.39,49.9786,48.695,48.9,5801678
1718942400,48.71,48.71,47.77,48.18,11116653
1719201600,48.39,49.825,48.26,49.18,5554472
1719288000,49.16,49.85,48.5,48.52,5750539
1719374400,47.9,48.5864,46.75,48.07,6387255
1719460800,47.95,48.53,47.45,48.2,4649701
1719547200,48.25,48.88,48.02,48.66,5293882
1719806400,48.72,49.16,47.99,48.33,4213080
1719892800,48.37,48.4899,47.81,48.2,4879344
1719979200,48.43,48.82,48.1,48.51,2874958
1720152000,48.3,48.47,46.52,47,7251916
1720411200,47.56,47.73,46.71,46.82,4774681
1720497600,46.97,47.71,46.66,47.2,4660036
1720584000,47.62,47.6218,46.875,47.15,6847911
1720670400,44.75,45.72,43.73,45.64,14191486
1720756800,45.39,45.8,44.55,44.72,8991216
1721016000,44.71,44.99,44.12,44.32,6330059
1721102400,44.25,47.11,44.25,47.07,9795107
1721188800,46.76,47.54,46.54,46.94,14554673
1721275200,47.91,49.67,46.07,46.39,20945162
1721361600,45.9,48.31,44.95,47.93,9601164
1721620800,47.24,48.755,46.63,48.19,8876327
1721707200,47.99,48.885,47.86,48.22,6682466
1721793600,48.34,48.34,45.83,46.02,6996074
1721880000,45.95,47.7,45.64,46.72,9091276
1721966400,47.46,47.485,46.39,47.37,5867063
1722225600,47.37,47.38,46.39,46.76,5171934
1722312000,47.03,47.97,46.38,46.61,6802220
1722398400,46.62,46.87,45.11,45.42,7480477
1722484800,45.76,45.87,42.0604,42.38,12654227
1722571200,41.53,41.6,39.77,40.19,11832462
1722830400,37.14,39.26,37.02,37.88,11159168
1722916800,38.35,39.745,38.05,38.8,7701755
1723003200,39.52,40.42,38.65,38.76,6100053
1723089600,39.12,41.345,39.11,41.18,6197726
1723176000,41.18,41.655,40.77,41.46,5716887
1723435200,41.01,41.29,40.36,40.42,6282150
1723521600,40.52,41.19,40.36,40.92,4280692
1723608000,41.11,41.2799,40.125,40.24,6224356
1723694400,41.3,43.23,41.2208,42.66,8669198
1723780800,42.51,42.58,41.32,42.07,6887976
1724040000,42.45,42.63,41.945,42.35,4494713
1724126400,42.32,42.41,41.525,41.76,4291976
1724212800,42,42.29,41.7699,41.99,3823988
1724299200,42.2,42.67,41.38,41.44,5009656
1724385600,41.74,43.35,41.58,43.32,7150190
1724644800,43.45,43.66,42.74,42.78,3410903
1724731200,42.85,42.9,42.07,42.14,3849555
1724817600,42.05,42.18,40.96,41.33,6636972
1724904000,41.63,43.24,41.63,42.64,6369395
1724990400,43.18,44.16,42.8723,44.04,6609061
1725336000,43.63,44.15,43.52,43.87,5853515
1725422400,43.8,44.42,43.8,44.17,4078533
1725508800,44.6,46.51,44.57,45.12,9231136
1725595200,44.98,46.19,44.845,46.01,7921987
1725854400,46.67,48.98,46.58,48.75,9955556
1725940800,49,49.04,47.01,48.42,6060673
1726027200,48.42,48.62,47.5245,48.47,5569573
1726113600,49.78,50.8,47.46,49.65,10378019
1726200000,50.1,51.24,49.8904,50.22,9699882
1726459200,50.38,51.44,50.31,51.34,5641999
1726545600,52,53.75,51.9009,52.64,8701215
1726632000,52.74,54.43,52.59,52.96,7308719
1726718400,54.055,54.2433,52.34,52.59,6547222
1726804800,52.48,52.9,51.94,52.17,6514242
1727064000,52.17,52.54,51.44,52.36,4181279
1727150400,52.43,53.65,52.1257,53.63,4546508
1727236800,53.58,55.1399,53.575,54.11,7416178
1727323200,55.5837,59.38,55.49,58.85,17688220
1727409600,58.98,60.23,57.95,57.99,9286533
1727668800,57.75,58.385,56.7105,57.06,5290493
1727755200,56.87,56.95,54.73,56.13,10449494
1727841600,55.35,56.05,54.64,55.74,5372854
1727928000,55.6,56.21,54.93,55.62,6866788
1728014400,57.94,59.44,57.37,59.22,11180208
1728273600,59,60.38,58.54,59.18,7501918
1728360000,59.68,61.62,59.53,60.01,7092767
1728446400,60.4,61.04,59.08,59.43,6537772
1728532800,58.43,60.64,58.39,60.26,6757077
1728619200,60,61.925,59.71,61.8,5656373
1728878400,62.33,63.81,62.06,63.53,8236020
1728964800,64.18,65.02,63.495,64.05,12807977
1729051200,65.4,73.65,65.1085,72.015,37170828
1729137600,72,74.5599,71.59,73.33,14729774
1729224000,73.87,74.95,72.9,74.15,8399423
