T,O,H,L,C,V
1713844800,47.81,48.185,47.8,47.98,2724430
1713931200,48.19,48.22,47.865,48.07,2963786
1714017600,50.57,51.12,50.28,50.92,6764456
1714104000,51.22,51.53,51.1519,51.24,4278463
1714363200,51.58,51.61,51.34,51.5,3344087
1714449600,51.74,51.96,51.61,51.85,3005636
1714536000,51.61,52.12,51.45,51.87,2909757
1714622400,52.03,52.21,51.92,52.02,2850950
1714708800,52.58,52.64,52.0725,52.13,4413133
1714968000,52.2,52.27,51.9,52.15,2388360
1715054400,52.67,52.91,52.49,52.66,3589300
1715140800,52.84,52.94,52.56,52.69,3191942
1715227200,53.05,53.43,53.04,53.42,4055281
1715313600,53.485,53.65,53.385,53.51,3061035
1715572800,54.16,54.275,53.86,53.93,2908480
1715659200,53.96,54.1189,53.805,54.04,1807747
1715745600,54.18,54.54,54.115,54.48,1893704
1715832000,53.99,54.2,53.86,54.07,3097794
1715918400,54.63,54.86,54.49,54.75,2610550
1716177600,54.43,54.5,54.13,54.13,1393892
1716264000,54.32,54.49,54.205,54.28,2336624
1716350400,54.19,54.405,54.09,54.21,1528067
1716436800,54.98,54.98,54.295,54.37,2296956
1716523200,54.57,54.92,54.49,54.56,3153122
1716868800,54.42,54.42,54.03,54.13,2190076
1716955200,53.82,53.88,53.5,53.53,2422296
1717041600,54.08,54.28,54.015,54.05,3210385
1717128000,54.21,54.78,54.145,54.75,2394173
1717387200,54.86,55.26,54.8,55.26,3352898
1717473600,55.9,55.92,55.57,55.78,3589353
1717560000,56.1,56.11,55.8,56.09,2574618
1717646400,55.85,56.185,55.84,56.04,1670507
1717732800,56.02,56.07,55.58,55.61,1903201
1717992000,55.66,55.69,55.34,55.59,1839494
1718078400,55.21,55.6,55.06,55.59,1848073
1718164800,56.39,56.455,55.98,56.06,3514718
1718251200,56.12,56.325,56.01,56.29,2723008
1718337600,56.16,56.38,56.02,56.22,3479671
1718596800,55.98,56.4699,55.925,56.38,1775607
1718683200,56.26,56.43,56.12,56.17,1859484
1718856000,55.98,56.245,55.93,56.15,2472192
1718942400,56.07,56.24,55.805,56.11,3175373
1719201600,56.11,56.36,56.11,56.3,1466589
1719288000,56.31,56.365,55.96,56.13,1621359
1719374400,55.61,55.875,55.485,55.68,1423153
1719460800,55.7,55.7899,55.2608,55.35,1362341
1719547200,54.91,55.075,54.6896,54.99,2487618
1719806400,55.33,55.7,54.685,54.7,2379714
1719892800,54.5,54.85,54.405,54.82,1673802
1719979200,54.89,55.055,54.845,54.99,921672
1720152000,55.42,55.57,55.09,55.49,1382754
1720411200,55.85,55.965,55.685,55.83,1590160
1720497600,56,56.01,55.53,55.55,3067376
1720584000,56.22,56.62,56.2,56.54,2721690
1720670400,56.96,57.04,56.57,56.63,2946572
1720756800,57.21,57.83,57.17,57.61,3254839
1721016000,57.59,57.62,56.9,56.96,2168402
1721102400,57.15,57.37,56.98,57.34,2036144
1721188800,57.7,58.21,57.69,58.2,2124652
1721275200,58.55,58.62,57.99,58.04,2182711
1721361600,58.27,58.56,57.845,58.03,3057972
1721620800,58.33,58.38,57.77,58.16,2709254
1721707200,57.73,57.82,57.25,57.27,2278851
1721793600,56.42,56.99,56.4,56.54,4375385
1721880000,60.07,60.26,59.06,59.08,5804826
1721966400,60.46,60.89,60.21,60.73,8462574
1722225600,60.99,61.07,60.625,60.92,3136400
1722312000,60.71,61.155,60.47,61.06,3581610
1722398400,61.23,61.625,61.02,61.4,2186036
1722484800,61.35,61.8,60.91,61.63,3085279
1722571200,62.26,62.65,61.86,62.54,4790459
1722830400,60.66,60.85,60.28,60.72,3950074
1722916800,60.15,61.52,60.12,61.32,5239793
1723003200,61.29,61.73,61.09,61.1,2452946
1723089600,61.14,61.605,61.05,61.42,1717658
1723176000,60.69,60.72,60.285,60.44,4222484
1723435200,60.26,60.395,60.06,60.19,2822646
1723521600,60.4,60.85,60.335,60.8,1751236
1723608000,60.5,60.99,60.42,60.86,2563629
1723694400,61.09,61.44,60.9,61.35,2315908
1723780800,61.12,61.21,60.88,60.99,3448717
1724040000,61.06,61.59,61.025,61.45,1632840
1724126400,61.2,61.51,61.18,61.36,1016476
1724212800,61.57,61.905,61.355,61.8,1545615
1724299200,62.9,63.19,62.455,62.52,4462849
1724385600,62.9,63.62,62.79,63.6,2898830
1724644800,63.37,63.76,63.37,63.63,1849980
1724731200,64,64.25,63.85,64.09,2353357
1724817600,64.03,64.39,63.96,64.39,3579436
1724904000,64.28,65.17,64.28,65.06,4439424
1724990400,64.79,64.92,64.34,64.79,3097449
1725336000,64.8,65.03,64.6899,64.86,2599785
1725422400,64.89,65.275,64.89,65.1,1782510
1725508800,65.32,65.725,65.265,65.46,2375603
1725595200,65.45,65.65,65.24,65.25,2463009
1725854400,65.46,65.865,65.3612,65.59,2533146
1725940800,65.52,65.6,65.08,65.35,3344678
1726027200,65.15,65.2,64.49,64.89,2244957
1726113600,64.69,64.925,64.35,64.88,1769500
1726200000,64.97,65.24,64.905,65.06,2074873
1726459200,65.54,65.62,65.35,65.56,1353074
1726545600,64.87,65.15,64.695,64.82,2039508
1726632000,64.91,64.96,64.305,64.37,1533079
1726718400,64.55,64.605,64.19,64.32,1783028
1726804800,64.41,64.45,64.165,64.41,1216934
1727064000,64.71,65.115,64.595,64.9,1439750
1727150400,64.62,65.01,64.42,64.77,1592426
1727236800,65.39,65.495,65.27,65.3,1240133
1727323200,64.72,65.31,64.53,65.24,1333928
1727409600,65.56,65.87,65.38,65.44,1392412
1727668800,65.46,65.49,64.62,64.96,1876582
1727755200,64.69,64.755,64.375,64.64,4307910
1727841600,64.32,64.43,64.06,64.14,2381340
1727928000,63.44,63.48,62.8,62.91,1648707
1728014400,62.25,62.89,62.17,62.84,1320252
1728273600,62.66,62.7,62.2,62.23,1266784
1728360000,62.68,62.92,62.425,62.89,1106515
1728446400,62.64,62.98,62.6,62.9,1089837
1728532800,62.66,62.74,62.3,62.4,985632
1728619200,62.81,62.965,62.73,62.79,997066
1728878400,62.73,63.145,62.64,63.09,730662
1728964800,63.53,63.91,63.25,63.32,1422492
1729051200,63.26,63.36,62.965,63.18,1296334
1729137600,63.18,63.33,62.87,62.88,1939356
1729224000,62.6,63.005,62.405,62.95,1184766
1729483200,62.64,62.79,62.19,62.3,941237
1729569600,61.77,62.02,61.67,61.88,1828530
1729656000,60.23,60.65,60.17,60.64,2642157
1729742400,62.33,62.415,61.96,62.3,2631075
1729828800,61.98,62.07,61.64,61.69,1512274
1730088000,62.28,62.61,62.24,62.54,1681514
1730174400,62.25,62.465,62.01,62.29,2270271
1730260800,61.6,61.9,61.57,61.6,1543703
1730347200,60.92,61.12,60.75,60.91,2895973
1730433600,61.77,61.835,61.285,61.32,1789242
1730696400,61.72,61.875,61.3,61.31,1410950
1730782800,61.37,61.725,61.22,61.66,1169043
1730869200,60.04,60.07,59.06,59.27,2201453
1730955600,59.54,59.8,59.4217,59.61,1642523
1731042000,58.69,59.01,58.535,59,3283741
1731301200,58.5,58.66,58.1601,58.23,3118934
1731387600,57.61,57.73,57.41,57.57,2919310
1731474000,57.34,57.54,56.97,57.38,1733833
1731560400,57.445,57.65,57.365,57.4,2050202
1731646800,57.09,57.57,56.87,57.4,2057759
1731906000,57.28,58.03,57.28,57.9,3624010
1731992400,57.51,57.97,57.475,57.86,2002882
1732078800,57.5,57.635,56.98,57.55,2853885
1732165200,57.22,57.6555,57.17,57.63,2930273
1732251600,58.27,58.87,58.24,58.61,3004003
1732510800,58.95,59.15,58.68,58.78,2773114
1732597200,59.28,59.28,58.85,59.1,2118666
1732683600,59.74,60.015,59.69,59.74,1781232
1732856400,59.7,59.9,59.525,59.84,1233415
1733115600,59.96,59.99,59.52,59.91,2203408
1733202000,59.88,59.91,59.315,59.38,1756956
1733288400,58.91,59.4,58.845,59.37,1643826
1733374800,59.49,59.69,59.39,59.55,1231021
1733461200,59.64,59.72,58.9,59.04,1757800
1733720400,58.59,59.07,58.45,58.84,3356717
1733806800,58.56,58.835,58.37,58.71,3382086
1733893200,58.94,59.24,58.72,58.78,2400197
1733979600,58.56,59.21,58.53,58.71,2295191
1734066000,58.97,58.97,58.61,58.87,1291256
1734325200,58.96,59.9,58.94,59.32,3580664
1734411600,58.97,59.52,58.94,59.3,2216774
1734498000,58.7,58.8954,57.83,57.83,3107274
1734584400,57.7,57.83,57.32,57.55,2268867
1734670800,56.96,57.67,56.87,57.16,7528324
1734930000,57.27,57.33,56.925,57.19,2092733
1735016400,57.08,57.26,57.03,57.19,947364
1735189200,57,57.605,57,57.52,1868937
1735275600,57.26,57.65,57.26,57.46,1809310
1735534800,57.17,57.21,56.64,56.76,2063731
1735621200,56.86,57.185,56.45,56.7,1553888
1735794000,56.89,57.05,56.5,56.52,1911650
1735880400,57.03,57.04,56.46,56.51,2346019
1736139600,55.56,55.85,55.3,55.43,2128993
1736226000,56.04,56.43,55.825,55.85,2260712
1736312400,55.58,56.15,55.285,56.14,1976605
1736485200,55.63,55.77,55.08,55.13,2718431
1736744400,54.88,55.16,54.758,55.03,1850926
1736830800,54.72,54.86,54.61,54.74,2557537
1736917200,55.07,55.14,54.6,54.72,2640371
