T,O,H,L,C,V
1713844800,491,494.31,484.97,486.18,3646662
1713931200,483.78,488.86,480.71,487.3,3711818
1714017600,488.96,497.13,487.53,493.86,4329652
1714104000,492,497.23,491.4,495.35,2711016
1714363200,495.71,497.35,487.77,489.03,2192838
1714449600,488.96,489.71,482.59,483.7,3367521
1714536000,479.26,489.19,477.0664,484.11,2729234
1714622400,484.28,493.69,483.94,492.97,3561404
1714708800,490.86,492.785,485.78,492.45,2487811
1714968000,492.48,494.87,492,494.38,2029503
1715054400,496,501.65,495.04,500.96,3751381
1715140800,504.17,507,500.075,503.21,3079031
1715227200,502.14,507.97,502.14,507.03,2343066
1715313600,509,513.575,507,512.81,2784585
1715572800,512.05,514.67,507.31,511.74,2454689
1715659200,514.58,516.17,507.3,513.88,2949795
1715745600,514.83,522.59,514.83,517.55,2981351
1715832000,520,528.16,519.51,521.27,3655775
1715918400,522.94,525.85,520.01,524.63,2657396
1716177600,524.63,524.63,516.54,517.23,2476393
1716264000,518.32,524.72,515.92,523.55,2520436
1716350400,522.82,526.28,520.65,521.35,2299273
1716436800,518.32,520.225,515.23,516.83,3055555
1716523200,516.11,517.14,507.52,508.17,2528228
1716868800,506.65,506.65,501.9,503.68,2912992
1716955200,492.34,493.9,473.27,484.72,7521587
1717041600,482.32,486.03,478,481.65,5151007
1717128000,482.41,498.41,482.41,495.37,6682060
1717387200,494.13,498.68,493.07,497.44,2795265
1717473600,498.56,508.27,494.59,505.49,3178436
1717560000,508.7,509.1,498.8,503.12,2464359
1717646400,503.65,504.695,497.28,501.92,2419608
1717732800,502.04,502.86,490.42,490.69,3416349
1717992000,491,495.39,486.19,495,3316142
1718078400,490.86,497.78,490.285,496.22,4599726
1718164800,500,500,487.415,493.07,4048214
1718251200,490.28,502,484.38,497.3,4951694
1718337600,496.83,497.85,491.73,497.12,3188374
1718596800,491.33,493.12,488.695,489.23,2407163
1718683200,490.71,491.655,479.04,481.05,3680908
1718856000,480.04,485.92,478.11,484.52,5258232
1718942400,484.44,488.3,480.59,482.59,6775974
1719201600,488.86,490.89,484.5,489.98,5139763
1719288000,490.64,490.64,480.6,484.5,3209889
1719374400,484.5,487.44,481.47,484.04,3153096
1719460800,485.05,488.975,482.05,486.44,2992070
1719547200,496.37,509.4,489.405,509.26,22734197
1719806400,506.745,508.91,492.891,494.65,4523141
1719892800,494.26,498.47,493.39,498.24,3312171
1719979200,497.12,498.08,486.52,489.89,2239210
1720152000,489,489.67,484.5,488.01,3498996
1720411200,489.19,493.88,486.17,489.34,3450211
1720497600,488.33,495.4,486.09,492.11,3057284
1720584000,490.94,501.5,490.1201,500.93,3189837
1720670400,497.7,508.73,497.7,504.36,3536225
1720756800,506.92,514.57,503.43,511.53,3570624
1721016000,524.24,530.83,513.8,515.37,5127979
1721102400,533.9,549.92,527.13,548.87,11061994
1721188800,554,573.61,551.3,573.28,10330780
1721275200,564.5,581.5,561.4201,564.34,6834821
1721361600,567.12,569.9,561.54,565.33,4290440
1721620800,563.05,564.25,557.08,558.53,3377308
1721707200,558.79,558.835,552.8102,554.7,2785570
1721793600,560,561.13,553.02,559.75,3156232
1721880000,562,569.89,558.58,559.68,3102947
1721966400,560,579.13,560,569.72,3202023
1722225600,565.71,571.35,561.76,566.75,2965169
1722312000,566.9,579.4299,565.99,576.33,4139053
1722398400,565.44,580.9032,562.32,576.16,4713230
1722484800,577.2,587.5,567.1,572.77,3680778
1722571200,582.33,591.54,575.25,589.83,5094041
1722830400,582.12,586.82,566.7624,569.96,4586452
1722916800,568.21,577.52,562.53,568.35,3216525
1723003200,566.61,571.65,557.025,566.08,4320853
1723089600,564.37,572.45,564.37,566.24,2860848
1723176000,564.54,565.93,557.63,558.76,2976835
1723435200,562.32,569,561.05,565.29,2532389
1723521600,569.99,575.73,569,574.24,2369555
1723608000,575.24,581.115,573.2677,579.67,2344386
1723694400,579.67,583.34,573.51,579.61,2751927
1723780800,580.92,581.65,574.1,577.68,2728939
1724040000,578.08,583.3,577.07,578.78,1847941
1724126400,579.85,583.81,575.5,580.65,1677473
1724212800,581.51,583.39,577.43,578.07,2844546
1724299200,579.25,582.95,570.62,578.72,2282117
1724385600,581,585.205,578.45,584.51,2376416
1724644800,588.05,592.09,585.74,587.13,1800112
1724731200,589.47,592.34,583.78,587.35,1581952
1724817600,589.01,592.84,583.87,588.54,1657042
1724904000,590.68,592.61,584.37,591.57,1948472
1724990400,590,593.255,586.59,590.2,2944705
