T,O,H,L,C,V
1713844800,22.04,23.7452,21.97,22.94,5408522
1713931200,22.97,23.49,22.67,23.12,2224856
1714017600,22.14,22.95,21.73,22.83,2874057
1714104000,22.9,23.72,22.51,23.46,3596330
1714363200,23.49,23.89,22.83,23.04,2409489
1714449600,22.75,22.84,22.09,22.13,2383665
1714536000,22.01,24.12,22.01,22.87,4999240
1714622400,23.7,23.93,22.88,23.51,2500251
1714708800,24.67,24.98,23.51,24.15,4310849
1714968000,24.79,26.0708,24.63,25.75,6343561
1715054400,25.55,26.1099,24.41,24.47,9319869
1715140800,20.9,23.24,20.68,23.11,12076992
1715227200,23.06,26.8697,22.62,26.17,10308847
1715313600,26.14,26.5323,24.95,25.4,5377119
1715572800,26.24,28.53,26.06,27.43,9346313
1715659200,28.49,30.14,27.88,28.59,11488242
1715745600,29.78,30.17,27.3894,28.11,6932689
1715832000,28.09,28.29,25.6,25.61,6334463
1715918400,25.56,25.9,24.92,25.41,4407349
1716177600,25.45,26.34,25.05,25.56,3784703
1716264000,25.16,25.43,24.61,24.7,3319082
1716350400,24.6,25.37,24.1114,24.33,3379923
1716436800,24.27,24.4,22.92,23.16,4553717
1716523200,23.35,23.69,23.0728,23.35,2572374
1716868800,23.71,23.8,23.084,23.51,2273238
1716955200,22.99,23.82,22.58,23.32,2797459
1717041600,23.45,24.52,23.36,24.28,3236255
1717128000,24.8,25.56,23.81,24.72,4510093
1717387200,25.48,25.5,23.7065,24.12,3883957
1717473600,24.46,25.41,24.3,24.51,4209656
1717560000,24.725,26.7793,24.42,26.43,6302999
1717646400,26.0363,26.88,25.725,26.87,4295161
1717732800,25.26,25.69,24.24,24.59,7147965
1717992000,24.008,24.45,23.76,23.82,3485596
1718078400,23.73,24.34,23.3046,24.32,3114390
1718164800,25.92,27.219,24.66,24.98,11141226
1718251200,25.16,25.24,22.9,23.07,8039776
1718337600,23.05,23.05,22.26,22.39,4503321
1718596800,22.26,22.79,21.77,22.39,4318553
1718683200,22.23,22.79,22.03,22.22,3039352
1718856000,22.25,22.6,21.845,21.88,4180902
1718942400,21.67,21.82,21.26,21.64,4461170
1719201600,21.68,23.6098,21.68,23.22,4902308
1719288000,23,23.15,22.26,22.56,3216113
1719374400,22.47,23.32,22.22,23,3214485
1719460800,22.93,23.61,22.63,23.61,2833658
1719547200,23.838,24.07,23.16,23.59,4183084
1719806400,23.63,23.67,22.87,22.9,2982825
1719892800,22.87,23.2095,22.31,22.97,2932654
1719979200,23.2,23.48,22.9001,23.07,1642426
1720152000,23,23.46,22.63,23.2,2637979
1720411200,23.41,24.15,23.18,23.22,2838494
1720497600,23.24,24.39,22.85,24.24,3487444
1720584000,24.64,24.845,23.84,24.82,3635185
1720670400,26.1,26.99,25.53,26.92,8725173
1720756800,26.89,27.55,26.301,27.11,6053506
1721016000,27.768,31.25,27.475,29.96,15678164
1721102400,30.22,32.36,29.32,31.96,9564481
1721188800,30.83,32.7798,30.21,30.91,7486043
1721275200,30.825,31.51,28.21,28.41,8455330
1721361600,28.08,29.01,27.63,27.79,4627201
1721620800,28.15,28.9,27.02,27.65,4255571
1721707200,27.5,28.33,27.25,27.63,2725969
1721793600,27.15,27.78,24.815,25.02,5783654
1721880000,25.16,26.3174,24.72,25.76,4412526
1721966400,26.985,27.0954,25.9705,26.11,3934220
1722225600,26.31,27.73,25.74,26.05,4393611
1722312000,26.32,26.98,24.87,26.03,4136505
1722398400,27.59,29.3999,27.14,27.93,10318695
1722484800,28,28.1688,25.02,25.4,7176139
1722571200,24.202,24.56,23.55,23.76,5208997
1722830400,20.98,24.51,20.6,23.815,8130901
1722916800,23.97,24.57,23.2,23.87,8194737
1723003200,30,36.4,28.84,33.3,46522521
1723089600,33.56,35.29,32.28,34.21,12796565
1723176000,34.61,38.5,32.82,36.25,17062470
1723435200,35.39,36.1,33.76,34.18,8275170
1723521600,35.225,38.08,34.75,37.83,9444958
1723608000,38.59,38.92,36.04,36.08,7122747
1723694400,36.89,38.25,36.12,36.59,7388849
1723780800,36.42,38.51,35.51,36.81,7619031
1724040000,37,40.6703,36.77,40.47,9250722
1724126400,40.15,40.87,37.91,38.38,6722613
1724212800,38.93,40.86,38.06,40.64,6814987
1724299200,40.65,41.1,39.15,39.71,6088465
1724385600,40.02,42.3499,39.8,42,8195065
1724644800,42.44,44.15,41.11,43.15,6659555
1724731200,42.57,44.32,41.6,44.11,6034079
1724817600,43.8,44.5,41.0525,42.08,6221376
1724904000,43.73,45.71,42.7205,42.8,7338217
1724990400,42.9,44.0299,41.4643,42.5,5167923
1725336000,41.77,41.77,38.15,38.26,5917823
1725422400,37.57,38.89,36,36.33,6294832
1725508800,36.44,37.79,35.4818,35.72,4876427
1725595200,36.29,36.845,33.77,34.4,6141742
1725854400,34.868,36.0899,34.55,35.19,4102054
1725940800,35.05,35.26,31.92,33.66,6608372
1726027200,33.5,35.3,32.81,35.14,4728826
1726113600,35.14,37.23,34.75,36.09,5016084
1726200000,36.47,38.12,36.3,38.03,5833164
1726459200,34.42,36.78,32.74,35.12,17769836
1726545600,35.24,38.3682,34.6,37.69,14279542
1726632000,37.38,40.38,36.895,38.31,11575665
1726718400,40.34,41.4899,38.37,40,10618359
1726804800,39.99,40.8,39.028,39.74,7024095
1727064000,40,40.34,38.11,38.53,5795959
1727150400,38.44,38.64,36.14,37.64,6558445
1727236800,38.75,41.7,38.6107,39.55,11813865
1727323200,40.12,41.24,38.214,40.89,8443437
1727409600,41.71,42.55,39.72,40.85,6802259
1727668800,40.32,41.7,39.6,40.01,4450328
1727755200,40.34,40.34,37.65,37.78,5213168
1727841600,37.62,39.38,37.41,38.94,4641633
1727928000,38.47,39.2899,37.46,38.94,3760705
1728014400,39.9,41.5,37.97,41.3,7925758
1728273600,41.28,42.42,40.27,41.02,6121013
1728360000,40.69,43.1941,40.58,42.89,6913262
1728446400,42.97,43.6399,42.03,43.03,5151073
1728532800,42.46,44.51,41.71,43.18,5360701
1728619200,42.91,47.35,42.7,47.02,8262343
1728878400,48.69,56.08,48.54,54.07,20097187
1728964800,54,57.4,52.89,52.91,12481377
1729051200,52.89,54.97,50.4744,54.38,7322482
1729137600,54.1,54.36,49.69,52.05,6904994
1729224000,52.71,54.3,51.66,53.13,6311962
1729483200,53.81,54.43,51.6,52.54,5419677
1729569600,52.24,53.925,51.47,51.96,4576246
1729656000,51.5,52.8,49.0101,49.75,5246691
1729742400,51.4,54.47,50.3101,51.09,7154226
1729828800,51.26,52.5,50.54,50.58,4281509
1730088000,51.7,53.6,50.8,51.98,5378925
1730174400,51.19,51.6399,48.08,50.42,6514559
1730260800,49.99,53.15,49.9,51.13,4680516
1730347200,50.695,51.06,48.65,48.68,3463939
1730433600,49.1,50,47.62,48.48,3719238
1730696400,48.66,49.6,47.08,47.24,3009158
1730782800,48.26,52,48.0301,50.6,6668174
1730869200,53.69,54.48,51.91,53.98,7246241
1730955600,54.25,57.27,53.41,55.47,12705499
1731042000,65.27,82.25,64.59,81,39961516
1731301200,79.39,86.07,76.63,77.48,16474168
1731387600,71.1,72.35,65.15,69.43,19378386
1731474000,70.21,72.7793,67.384,67.8,11270165
1731560400,68.23,68.43,65.71,67.385,5727625
1731646800,67.68,69.6497,64.6,68.36,6473184
1731906000,68.56,73.94,67.5,68.27,7794033
1731992400,67.52,71.5,67.18,71.11,5299890
1732078800,71.39,73.94,68.6,70.4,5278483
1732165200,71.335,75.19,69.8816,71.43,6850446
1732251600,71.92,74.84,70.8997,74.06,5652490
1732510800,77.19,80.87,73.94,79.52,9614957
1732597200,78.15,80.77,76.36,78.51,5729394
1732683600,80,81.97,76.41,78.43,5326857
1732856400,78.77,79.3893,76.86,78.79,2318390
1733115600,74.66,75.4999,66.88,67.39,12618961
1733202000,68.5,74.23,67.63,72.78,9166550
1733288400,72.9,75.25,72.11,74.63,5898935
1733374800,74.52,75.05,72.44,73.41,3571956
1733461200,74.5,77.95,74,77.16,4714939
1733720400,77.655,79.2,74.35,76.39,5170647
1733806800,76.72,80.97,73.44,74.02,6343586
1733893200,76.04,78.69,75.0301,78.4,4514682
1733979600,78.88,85.29,76.67,77.08,9145068
1734066000,80.21,88.95,80.17,84.46,13372810
