T,O,H,L,C,V
1713844800,60.454,61.556,60.454,60.856,114865
1713931200,60.786,61.1,59.647,60.8,91845
1714017600,60.134,60.286,59.846,60.248,69400
1714104000,60,61.488,60,61.488,43360
1714363200,61.334,61.966,61.188,61.8,61315
1714449600,61.334,62.3,61.079,62,154845
1714536000,62.486,64.504,61.989,64.122,191235
1714622400,64.096,65.336,63.092,65.336,137425
1714708800,65.296,68.127,65.294,68.038,124420
1714968000,68.04,73.8191,68.04,72.05,199240
1715054400,73.31,75.406,72.918,74.356,235300
1715140800,75.088,75.689,73.1786,74.4,186420
1715227200,74.8,74.894,74.102,74.32,169440
1715313600,74.692,74.692,73.1822,73.252,154400
1715572800,73.79,74.4,73.43,73.756,98230
1715659200,74.394,75.563,74.006,75.014,110645
1715745600,75.51,75.756,74.263,74.618,190085
1715832000,74.984,74.984,73.486,73.486,100805
1715918400,73.996,73.996,72.454,72.964,102830
1716177600,73.104,74.002,72.62,72.62,116040
1716264000,72.346,72.9365,71.126,72.398,127120
1716350400,72.282,72.346,70.756,71.72,60945
1716436800,72.432,72.432,70.364,70.364,86475
1716523200,71.096,71.657,70.038,70.038,71920
1716868800,69.766,70.2,68.776,68.778,125940
1716955200,67.808,68.5,67.132,67.958,89885
1717041600,67.708,70.212,67.708,69.156,70160
1717128000,70.433,70.6,68.126,68.548,121945
1717387200,69.136,69.15,67.298,68.232,98365
1717473600,67.312,67.97,67.0676,67.72,96595
1717560000,68.172,68.172,67.1,67.1,142875
1717646400,66.538,67.038,65.532,65.636,140615
1717732800,65.482,66.128,64.518,64.522,88835
1717992000,64.362,65.732,64.246,65.732,116005
1718078400,64.958,65.674,64.852,65.34,98390
1718164800,66.41,68.749,66.41,67.75,136750
1718251200,68.096,68.096,67.292,67.302,98045
1718337600,66.97,68.494,66.97,68.462,93485
1718596800,68.4,70.948,68.4,70.918,158615
1718683200,70.992,73.294,70.724,73.294,246105
1718856000,73.814,74.63,70.42,70.42,136155
1718942400,70.006,70.94,68.45,70.838,240445
1719201600,71.48,72.849,70.882,71.49,177445
1719288000,71.306,71.476,70.833,71.158,43840
1719374400,70.576,72.304,69.75,71.892,63935
1719460800,72.574,73.16,71.492,72.158,54390
1719547200,74.092,74.092,72.388,72.836,197125
1719806400,73.54,73.54,69.662,70.036,80270
1719892800,70,70.436,70,70.16,41515
1719979200,70.278,71.222,70.004,71.218,26825
1720152000,71.326,71.338,70.518,70.654,49640
1720411200,71.462,72.3,71.3,71.366,63830
1720497600,71.824,71.932,71.226,71.238,36235
1720584000,71.6,72.772,71.6,72.758,49100
1720670400,73.674,75.566,73.665,74.526,253155
1720756800,74.508,79.2,74.414,79.076,186610
1721016000,81.61,82.99,80.58,81.77,124098
1721102400,82.22,84.19,80.5613,81.37,121853
1721188800,80.59,81.39,77.9,78.12,75204
1721275200,77.6,79.63,77.32,78,46319
1721361600,78.09,79.81,77.6,79.55,69127
1721620800,81.3,82.59,79.9,82.42,86240
1721707200,82.6,85.1,82.58,84.75,81841
1721793600,84,84.5,81.38,81.38,51927
1721880000,82.52,84.25,81.28,81.75,113085
1721966400,82.6,84.62,81.99,83.93,101953
1722225600,83.48,84.385,81.72,82.38,52041
1722312000,82.5,84.35,82.38,82.46,80270
1722398400,83.35,86.47,82.92,85.05,77395
1722484800,84.98,87.13,82.765,84.93,90797
1722571200,81.61,81.61,77.41,78.07,71566
1722830400,69.64,75.62,65.4511,74.04,117624
1722916800,74.04,75.79,72.55,72.84,87518
1723003200,71.99,71.99,68.8545,69.25,174674
1723089600,70.4,72.615,69.54,72,58962
1723176000,72.32,72.96,71.5,72.67,60441
1723435200,72.99,73.1,72,73.07,74964
1723521600,73.37,74.9004,73.37,74.81,62028
1723608000,74.8,75.28,74.11,74.55,54483
1723694400,77,78.15,75.72,77.74,56427
1723780800,77.74,78.93,77.05,77.08,84258
1724040000,77.37,77.91,76.5935,77.85,46207
1724126400,78.08,78.35,76.915,77.51,48367
1724212800,77.89,78.83,77.06,78.69,25449
1724299200,78.69,78.69,76.59,77.14,59232
1724385600,78.23,81.7272,78.165,81.38,37872
1724644800,81.87,83.27,81.27,81.41,83145
1724731200,80.76,81.47,78.31,79,71633
1724817600,78.62,79.7299,77.93,78.11,53845
1724904000,79.07,79.71,78.468,78.83,38708
1724990400,79.44,82.17,79.36,81.73,49909
1725336000,81.37,82.06,75.72,76.15,70664
1725422400,75.79,76.61,75.58,76.25,101220
1725508800,76.64,77.22,74.9,76.27,44132
1725595200,75.97,77.18,75.335,76.64,56491
1725854400,76.64,77.65,76.25,76.71,52347
1725940800,77.44,78.55,77.25,78.08,39810
1726027200,78.08,79.07,75.3275,78.84,52828
1726113600,79.8,81.86,79.8,81.86,28131
1726200000,82.61,85.09,82.61,84.83,39862
1726459200,84.49,85.6,84.1075,84.98,55237
1726545600,86.16,87.9528,85.8,87.51,41832
1726632000,87.24,91,87.18,89.26,50409
1726718400,92.45,95.84,92.2499,95.44,82976
1726804800,95.29,96.58,94.1,94.72,171028
1727064000,96,96.12,93.51,95.23,45714
1727150400,95.09,95.71,92.65,94.23,64725
1727236800,94.38,94.78,93.515,94.39,46505
1727323200,96.32,96.85,94.39,94.66,73034
1727409600,95.44,95.979,94.255,95.52,33698
1727668800,95.54,97.88,95.1901,97.66,81299
1727755200,97.38,97.38,92.595,93.18,72430
1727841600,92.6,94.58,92.33,92.67,42124
1727928000,92.23,92.98,90.13,91.63,58151
1728014400,93.27,93.75,92,93.25,33781
1728273600,92.38,94.19,91.71,94.14,56024
1728360000,94.14,96.55,93.4548,95.97,43628
1728446400,96.16,98.61,96.16,97.69,46017
1728532800,96.17,97.66,95.41,97.6,64871
1728619200,98.2,101.84,98.2,101.81,86704
1728878400,101.81,102.297,100.11,101.35,51045
1728964800,101.45,103.96,100.884,101.25,59087
1729051200,101.42,103.73,101.25,103.6,40850
1729137600,103.6,105.019,103.16,104.32,55769
1729224000,104.51,105.5856,102.13,103.75,60465
1729483200,104.17,104.67,101.82,103.75,47755
1729569600,103.17,104.96,103.01,103.01,48400
1729656000,103,103.74,100.73,101.97,34875
1729742400,102.84,103.47,101.61,102.61,62663
1729828800,104.25,104.7299,103.21,104.35,42957
