T,O,H,L,C,V
1713844800,6.23,6.44,6.23,6.41,1469706
1713931200,6.39,6.6,6.36,6.56,1781879
1714017600,6.4,6.465,6.22,6.39,2202703
1714104000,6.43,6.54,6.38,6.39,979096
1714363200,6.45,6.52,6.28,6.33,1259668
1714449600,6.27,6.38,6.26,6.3,971629
1714536000,6.3,6.55,6.3,6.39,1471346
1714622400,6.51,6.75,6.415,6.75,1347464
1714708800,6.86,6.9535,6.69,6.8,2446192
1714968000,6.87,7.15,6.87,7.08,1818835
1715054400,7.08,7.27,7.03,7.13,1751947
1715140800,7.03,7.19,7,7.15,2047357
1715227200,7.28,7.62,7.19,7.51,2791691
1715313600,7.48,7.54,7.01,7.1,2009912
1715572800,7.15,7.245,6.835,6.95,2047935
1715659200,7.08,7.36,7.05,7.35,2152981
1715745600,7.41,7.608,7.375,7.38,2079098
1715832000,7.34,7.355,7.18,7.22,1354227
1715918400,7.19,7.26,7.07,7.15,1306611
1716177600,7.15,7.215,7.105,7.15,1513912
1716264000,7.12,7.21,7.09,7.18,1182514
1716350400,7.17,7.22,6.99,7.02,1335775
1716436800,7.08,7.08,6.92,6.95,1296777
1716523200,7.03,7.29,6.9957,7.26,993410
1716868800,7.34,7.51,7.3,7.42,2003034
1716955200,7.29,7.31,7.085,7.15,1622976
1717041600,7.21,7.44,7.14,7.41,1802084
1717128000,7.47,7.505,7.345,7.37,1413582
1717387200,7.41,7.56,7.33,7.52,1331123
1717473600,7.47,7.64,7.46,7.56,1392427
1717560000,7.6,7.665,7.53,7.61,1107042
1717646400,7.57,7.62,7.46,7.5,650275
1717732800,7.35,7.4606,7.33,7.35,1228776
1717992000,7.3,7.325,7.18,7.26,794823
1718078400,7.21,7.285,7.195,7.26,878965
1718164800,7.51,7.785,7.39,7.42,1376359
1718251200,7.46,7.465,7.225,7.36,807309
1718337600,7.25,7.4,7.235,7.3,691010
1718596800,7.29,7.41,7.23,7.38,545531
1718683200,7.37,7.37,7.245,7.26,1232272
1718856000,7.1,7.1311,6.95,6.98,1179082
1718942400,6.93,7.05,6.85,6.97,1597877
1719201600,7,7.09,6.97,7.05,769870
1719288000,7.06,7.06,6.865,6.88,805957
1719374400,6.85,6.86,6.76,6.79,1390709
1719460800,6.78,6.86,6.75,6.83,723241
1719547200,6.84,6.95,6.83,6.93,1914161
1719806400,6.94,6.98,6.63,6.75,1113476
1719892800,6.75,6.84,6.655,6.81,993717
1719979200,6.86,6.95,6.75,6.91,1017333
1720152000,6.86,6.875,6.68,6.78,1536219
1720411200,6.86,6.87,6.62,6.62,1056197
1720497600,6.62,6.9,6.54,6.86,1180173
1720584000,6.89,7.1,6.85,7.09,1305860
1720670400,7.27,7.48,7.2,7.46,2229290
1720756800,7.49,7.76,7.47,7.66,1742883
1721016000,7.67,7.99,7.67,7.89,1628941
1721102400,7.97,8.24,7.9,8.19,2045127
1721188800,8.06,8.23,8.01,8.06,1287304
1721275200,8.05,8.34,7.945,8.03,1284528
1721361600,8,8.12,7.86,7.88,1001159
1721620800,7.92,7.92,7.745,7.78,874157
1721707200,7.76,7.88,7.71,7.81,1039337
1721793600,7.73,7.82,7.55,7.6,893037
1721880000,7.63,8.06,7.6,7.92,1214060
1721966400,8.05,8.18,7.99,8.09,1497711
1722225600,8.12,8.2663,8.08,8.23,1415377
1722312000,8.27,8.355,8.14,8.33,1708721
1722398400,8.37,8.62,8.32,8.4,1437285
1722484800,8.36,8.49,8.075,8.15,1310597
1722571200,7.92,8.84,7.85,8.81,3573808
1722830400,8.6,8.85,8.2956,8.74,4002663
1722916800,8.26,8.665,8.07,8.5,3038102
1723003200,8.6,8.92,8.06,8.17,2652183
1723089600,8.26,8.69,8.25,8.47,2490112
1723176000,8.49,8.56,8.385,8.41,1163628
1723435200,8.39,8.47,8.125,8.25,1511425
1723521600,8.38,8.83,8.32,8.82,1942628
1723608000,8.85,9.31,8.66,9.29,3161314
1723694400,9.34,9.35,8.85,8.94,2158955
1723780800,8.94,9.26,8.94,9.04,2000030
1724040000,9.01,9.18,8.88,9.13,1477010
1724126400,9.13,9.43,9.09,9.24,2005817
1724212800,9.3,9.5,9.24,9.47,2358754
1724299200,9.43,9.52,9.305,9.4,1997790
1724385600,9.5,9.74,9.39,9.52,2813430
1724644800,9.57,9.61,9.29,9.33,1959589
1724731200,9.3,9.385,9.2,9.35,1094837
1724817600,9.31,9.34,9.105,9.16,1416613
1724904000,9.2,9.29,8.99,9.11,1829456
1724990400,9.17,9.435,9.02,9.4,1318636
1725336000,9.38,9.45,9.16,9.16,1074934
1725422400,9.23,9.43,9.15,9.26,1489563
1725508800,9.2,9.24,8.88,8.94,1683377
1725595200,8.9,9.075,8.77,8.79,1050882
1725854400,8.8,8.94,8.77,8.82,1690740
1725940800,8.85,8.87,8.715,8.86,1090197
1726027200,8.77,8.99,8.66,8.95,1356191
1726113600,9,9.1,8.84,8.92,2177610
1726200000,8.99,9.17,8.96,9.14,2106859
1726459200,9.18,9.25,8.965,9.11,1234397
1726545600,9.14,9.17,8.93,8.94,1734688
1726632000,8.9,9.135,8.725,8.92,3715354
1726718400,8.97,8.97,8.455,8.51,2758660
1726804800,8.55,8.55,8.36,8.42,2537849
1727064000,8.6,8.72,8.505,8.63,3893818
1727150400,8.64,8.725,8.5,8.63,2120578
1727236800,8.57,8.59,8.34,8.4,2158441
1727323200,8.43,8.48,8.34,8.38,1227665
1727409600,8.45,8.46,8.33,8.39,1362045
1727668800,8.32,8.635,8.32,8.52,2538243
1727755200,8.56,8.56,8.29,8.33,1882930
1727841600,8.29,8.29,8,8.07,7673958
1727928000,8,8.03,7.81,7.86,5046810
1728014400,7.88,7.885,7.46,7.56,12227166
1728273600,7.5,7.52,7.29,7.36,3546656
1728360000,7.53,7.53,7.28,7.33,2632681
1728446400,7.38,7.52,7.3,7.33,2376916
1728532800,7.3,7.3,7.11,7.26,2069221
1728619200,7.22,7.38,7.165,7.38,2646861
1728878400,7.33,7.44,7.2798,7.4,1853550
1728964800,7.43,7.6,7.36,7.5,2561746
1729051200,7.53,7.56,7.37,7.4,2920519
1729137600,7.4,7.43,7.29,7.36,2233726
1729224000,7.38,7.4,7.27,7.29,1349128
1729483200,7.25,7.27,6.88,6.88,3646369
1729569600,6.87,6.89,6.7,6.75,2801218
1729656000,6.68,6.71,6.57,6.59,1954789
1729742400,6.6,6.72,6.58,6.69,2078976
1729828800,6.73,6.755,6.56,6.63,3343925
1730088000,6.66,6.68,6.52,6.63,2634740
1730174400,6.52,6.56,6.33,6.54,2919262
1730260800,6.53,6.72,6.515,6.61,3892946
1730347200,6.59,6.6255,6.42,6.44,3292384
1730433600,6.5,6.525,6.28,6.29,3344501
1730696400,6.3,6.515,6.3,6.38,3296378
1730782800,6.33,6.61,6.31,6.56,3011665
1730869200,6.7,6.7,6.255,6.63,5804515
1730955600,6.43,6.58,6.11,6.16,6311990
1731042000,6.14,6.25,6.03,6.23,3625010
1731301200,6.2,6.26,6.075,6.19,3301753
1731387600,6.11,6.19,5.99,6.02,3170166
1731474000,6.04,6.07,5.85,5.9,4015203
1731560400,5.9,5.96,5.7,5.74,3121647
1731646800,5.78,5.93,5.745,5.83,3067496
1731906000,5.8,5.925,5.67,5.91,3700504
1731992400,5.89,6.25,5.85,6.24,3428168
1732078800,6.16,6.1992,5.83,6.07,4679968
1732165200,6.08,6.21,6,6.02,1889371
1732251600,6.01,6.205,5.99,6.15,2084355
