T,O,H,L,C,V
1713844800,98.61,101.82,98.61,101.77,478897
1713931200,101.8,103.33,101.32,103.17,348482
1714017600,102.4,102.57,100.46,101.03,229453
1714104000,100.65,103.51,100.65,100.87,250210
1714363200,101.27,101.535,98.24,98.58,409141
1714449600,97.44,97.75,95.1475,96.11,558033
1714536000,95.77,97.36,94.53,95.37,332764
1714622400,96.91,97.84,95.98,97.66,214444
1714708800,99.73,100.75,97.15,97.18,327975
1714968000,98.5,99.025,97.33,97.51,524003
1715054400,98.96,103.46,98.8,99.15,882783
1715140800,97.96,98.59,95.875,96.5,806330
1715227200,97.75,99.46,96.055,99.37,439615
1715313600,99.62,99.86,97.3,99.5,362431
1715572800,100.12,101.79,99.81,100.25,344385
1715659200,101.51,102.39,99.89,100.61,331806
1715745600,101.31,101.33,99.025,99.96,357011
1715832000,100.21,101.16,99.5,99.96,226617
1715918400,99.96,99.96,98.11,98.18,198516
1716177600,97.99,99.35,97.27,98.06,267122
1716264000,97.87,98.04,94.79,94.89,374891
1716350400,94.13,94.98,92.421,92.76,433057
1716436800,92.65,92.87,90.05,90.22,429144
1716523200,90.73,93.54,90.28,93.24,351439
1716868800,94,94.61,92.73,93.35,327773
1716955200,91.74,91.89,90.29,91.13,296149
1717041600,91.49,92.15,90.69,91.71,232713
1717128000,92,92.79,89.81,90.27,659385
1717387200,91.2,91.2,87.445,87.68,657751
1717473600,86.87,89.495,86.82,89.32,956731
1717560000,89.79,90.45,87.76,87.98,713177
1717646400,87.62,90.735,86.7,90.29,534312
1717732800,89.03,89.03,87.59,88.58,447582
1717992000,87.57,89.71,87.12,89.44,322028
1718078400,88.81,88.81,86.95,87.36,462958
1718164800,89.21,91.61,88.68,89.59,456926
1718251200,88.92,89.24,87.03,88.06,382130
1718337600,86.38,86.415,84.35,85.14,456788
1718596800,84.68,86.99,84.68,86.74,363271
1718683200,86.89,87.545,85.23,85.28,317592
1718856000,84.91,86.32,84.5581,84.73,303718
1718942400,84.61,85.16,83.99,85.15,537403
1719201600,85.44,86.13,84.88,85.17,306054
1719288000,85.17,85.64,84.09,84.92,284675
1719374400,84.41,84.53,82.87,83.09,430196
1719460800,83.23,84,82.12,83.32,457889
1719547200,83.71,87.39,83.6567,87.32,745171
1719806400,87.5,87.98,82.4,83.74,580102
1719892800,83.67,83.94,82.1,83.62,397674
1719979200,84.29,84.75,82.68,83.17,211043
1720152000,82.62,82.9,81.38,82.13,572506
1720411200,82.9,83.6299,81.375,81.78,266824
1720497600,81.5,82.32,81.32,81.43,357065
1720584000,82.04,85.89,81.64,85.47,567355
1720670400,86.75,88.48,85.7,88.19,457554
1720756800,88.73,89.21,86.94,87.03,375383
1721016000,87.42,88.01,86.0001,86.76,302233
1721102400,87.18,90.7,87.17,90.46,561892
1721188800,89.27,90.6,89.27,89.91,431476
1721275200,89.53,91.94,88.17,88.3,353330
1721361600,87.8,88.44,86.76,88.34,303743
1721620800,88.49,88.77,85.815,88.13,285990
1721707200,86.27,88.46,86.26,87.9,277085
1721793600,86.95,86.95,81.28,81.5,913643
1721880000,81.4,86.45,80.25,85.37,652365
1721966400,86.57,86.95,84.17,85.46,413029
1722225600,85.02,86,83.9,85.45,354550
1722312000,85.99,87.43,85.32,87.23,323035
1722398400,87.25,87.75,83.88,84.58,617185
1722484800,78.21,80.61,75.96,77.88,1827670
1722571200,75.76,78.64,74.11,76.66,789310
1722830400,73.18,74.17,71.445,71.99,769905
1722916800,71.78,75.23,71.6,73.71,491474
1723003200,74.78,74.78,72.55,73.06,349684
1723089600,73.19,73.27,70.43,70.91,467928
1723176000,70.88,70.88,69.05,69.62,669291
1723435200,70.15,70.15,68.34,68.51,426582
1723521600,68.97,71.085,68.3579,70.74,353061
1723608000,71.12,71.245,69.5501,70.03,362954
1723694400,71.77,72.56,71.07,71.75,387917
1723780800,71.37,71.735,70.75,71.19,257351
1724040000,71.23,72.96,71.2,72.88,369090
1724126400,72.45,72.755,70.25,70.3,353413
1724212800,71.35,72.63,71.05,72.4,283942
1724299200,72.39,72.95,71.925,72.21,213706
1724385600,72.78,74.49,72.2401,74.03,276650
1724644800,74.79,75.36,73.17,73.21,303454
1724731200,72.51,73.47,72.05,72.83,219345
1724817600,72.3,73.72,72.3,73.1,439379
1724904000,73.8,74.33,72.5,73.48,286513
1724990400,73.98,74.42,73.035,74,392180
1725336000,73,74.405,73,73.24,448859
1725422400,72.82,73.62,72.16,72.42,309522
1725508800,72.72,73.55,71.235,73.11,483142
1725595200,73.47,73.7812,71.57,71.68,462100
1725854400,71.56,71.93,69.96,70.36,359766
1725940800,70.35,70.36,67.72,69.44,360235
1726027200,69.2,69.62,67.28,69.21,542748
1726113600,71.23,71.41,69.48,71.38,466526
1726200000,72.28,73.71,71.7,73.29,397762
1726459200,73.61,74,71.86,71.95,304237
1726545600,73.26,74.6799,72.48,73.92,356690
1726632000,72.54,73.99,71.72,72.3,491703
1726718400,73.62,76.04,72.9,74.58,630506
1726804800,74.42,74.71,73.26,74.49,805271
1727064000,74.48,75.44,74.25,75.22,252135
1727150400,76.26,77.35,75.775,76.07,301110
1727236800,75.97,75.97,73.59,73.62,310578
1727323200,74.31,76.12,73.945,75.76,326683
1727409600,76.99,77.275,75.47,76.5,221746
1727668800,76.01,76.2,73.22,73.48,400940
1727755200,73.48,74.015,71.525,73.74,468368
1727841600,72.94,74.76,72.94,74.28,267328
1727928000,73.38,74.5199,72.66,73.85,370670
1728014400,75.38,76.49,75.04,76.38,268098
1728273600,75.77,76.46,73.535,73.93,297324
1728360000,73.5,74.59,72.5,73.57,234131
1728446400,73.45,74.32,72.66,72.68,240227
1728532800,72.53,73.1065,72.05,72.68,230398
1728619200,72.39,74.03,72.39,73.64,212766
1728878400,73.94,74.99,72.95,74.77,255966
1728964800,74.76,75.79,74.36,75.02,342789
1729051200,76.01,79.72,75.04,79.33,541451
1729137600,78.96,80.38,77.41,80.37,461408
1729224000,80.54,80.54,78.645,79.36,333100
1729483200,79.29,80.08,77.29,77.35,310502
1729569600,77.44,77.44,76.26,76.95,261159
1729656000,76.83,77.615,75.18,75.54,320520
1729742400,76.28,77.1,75,76.69,269574
1729828800,77.29,78.83,77.06,78.2,268210
1730088000,78.91,80,78.71,79.66,380507
1730174400,79.04,80.28,78.88,79.75,293775
1730260800,79.26,81.47,79.26,80.25,352088
1730347200,80.01,80.84,76.325,77.03,446477
1730433600,77.85,80,77.85,78.72,434671
1730696400,78.51,79.3475,77.3575,78.14,296521
1730782800,77.69,79.37,77.02,79.29,357295
1730869200,81.5,85.78,81.375,84.79,962261
1730955600,88.75,100.32,88.3,95.98,1564250
1731042000,95.72,96.39,94.69,95.6,776195
1731301200,96.07,96.27,93.86,94.14,485159
1731387600,93.33,94.67,92.82,93.86,382670
1731474000,94.04,94.94,92.68,92.7,268683
1731560400,93.24,94.84,92.275,92.83,311338
1731646800,92.58,93.21,90.86,91.27,257130
1731906000,91.16,91.21,90.12,90.22,204293
1731992400,88.84,89.795,88.295,89.6,280848
1732078800,89.25,90.51,89.09,90.38,199159
1732165200,90.53,92.3,90.36,91.93,238525
1732251600,92.1,94.5,92.1,94.07,441892
1732510800,95.48,98.89,95.48,98.57,568913
1732597200,98.15,98.15,96.12,96.49,467319
1732683600,96.71,98.825,96.38,96.84,293118
1732856400,98.21,99.42,97.82,99.25,181551
1733115600,98.44,98.775,96.23,97.63,319549
1733202000,97.83,97.83,96.35,96.76,272436
1733288400,95.62,97.335,95.62,97.27,186192
1733374800,97.5,98.76,97.03,97.33,210096
1733461200,98,98.25,95.52,96.72,220172
1733720400,97.59,98.07,95.3,95.5,237453
1733806800,96.55,96.98,94.51,95.5,363059
1733893200,96.77,97.04,95.38,96,240200
1733979600,96.25,96.905,94.72,94.85,179453
1734066000,95.46,95.885,93.08,94.55,283724
1734325200,93.98,95.8,93.98,94.39,209533
1734411600,94.26,94.57,92.93,94.05,305383
1734498000,93.88,94.83,88.875,88.97,398961
1734584400,89.23,90.275,88.5,90.09,378690
1734670800,89.02,91.4,89.02,90.24,681198
1734930000,90.24,90.52,89.3,90.34,211103
1735016400,90.5,91.71,89.5901,91.61,74565
1735189200,90.7,92.195,90.7,91.52,145597
1735275600,90.81,91.9227,89.77,90.63,120802
1735534800,89.56,89.73,87.76,88.95,210983
1735621200,89.9,90.67,89.4401,89.8,225354
1735794000,90.43,90.43,86.8,87.39,385103
1735880400,87.4,88.01,85.7,86.87,396142
1736139600,87.07,88.235,85.8,86.05,551028
1736226000,86.51,86.91,85.345,85.75,331132
1736312400,85.15,85.96,84.562,85.57,285793
1736485200,84.31,85.65,83.14,83.2,247439
1736744400,82.59,83,81.01,82.3,386896
1736830800,83.5,85.8,83.5,85.05,442739
1736917200,87.68,88.745,86.12,86.34,297841
1737003600,86.34,87.62,84.87,85.17,227662
1737090000,86.12,86.53,85.03,85.04,189129
1737435600,85.58,87.1,85.58,86.84,240266
1737522000,86.33,86.38,85.465,86.11,206035
1737608400,85.84,87.23,85.355,86.75,205975
1737694800,86.79,87.35,86.01,86.75,324004
1737954000,86.47,90,86.47,88.27,321040
1738040400,87.8,88.65,87.44,87.65,268853
1738126800,87.9,88.44,85.6,86.9,291090
1738213200,88.12,89.63,87.52,89.11,366895
1738299600,89.13,89.52,86.3,86.77,265752
1738558800,84,85.57,82.4,84.89,320141
1738645200,84.98,84.98,83.765,84.37,282264
