T,O,H,L,C,V
1713844800,12.71,13,12.701,12.95,7013820
1713931200,12.85,13.1,12.72,12.99,6500429
1714017600,12.72,12.785,12.33,12.62,5999214
1714104000,12.74,13.06,12.61,12.64,5770336
1714363200,12.78,13.15,12.78,12.89,7780776
1714449600,12.66,12.9105,12.44,12.46,6384025
1714536000,12.39,12.51,12.055,12.18,5669443
1714622400,12.51,12.65,12.35,12.56,4408586
1714708800,12.85,13.11,12.505,12.61,5091517
1714968000,12.78,12.97,12.59,12.77,5067796
1715054400,12.91,12.99,12.67,12.67,3815398
1715140800,12.425,12.64,12.265,12.59,5223408
1715227200,12.6,12.74,12.32,12.73,4384431
1715313600,12.8,12.8799,12.38,12.43,4611834
1715572800,12.65,13.165,12.63,12.82,8665249
1715659200,13.1,13.375,12.74,12.86,7718527
1715745600,13.02,13.16,12.71,12.79,6810961
1715832000,12.7,13.09,12.66,13.04,4888479
1715918400,12.9,13.03,12.75,12.76,4383642
1716177600,12.75,12.825,12.26,12.32,6205102
1716264000,12.22,12.49,12.195,12.46,6582636
1716350400,12.3,12.4957,12.07,12.33,18803120
1716436800,11.48,12.19,11,11.97,27051668
1716523200,12.19,12.6,11.52,12.34,20023455
1716868800,12.43,13.01,12.09,12.35,13895912
1716955200,12.18,12.54,12.02,12.04,10574921
1717041600,12.05,12.45,11.89,12.33,9143037
1717128000,13.1,13.93,12.83,13.28,21253645
1717387200,13.38,14.0375,13.34,13.81,12589995
1717473600,13.71,13.85,13.11,13.12,7173965
1717560000,13.26,13.48,13.16,13.47,6116152
1717646400,13.5,13.6,13.37,13.57,7869228
1717732800,13.35,13.59,13.35,13.58,9836779
1717992000,13.37,13.37,13.135,13.16,7693575
1718078400,13.62,13.88,13.5,13.54,8188092
1718164800,13.86,14.15,13.68,13.8,6365383
1718251200,13.73,13.89,13.57,13.72,4437072
1718337600,13.61,13.825,13.52,13.64,6944358
1718596800,13.55,13.88,13.1101,13.81,6827011
1718683200,13.77,13.98,13.46,13.67,7916883
1718856000,13.64,13.97,13.635,13.91,5881175
1718942400,13.92,14.43,13.9,14.31,11644315
1719201600,14.27,14.99,14.15,14.71,8839371
1719288000,14.61,14.755,14.06,14.13,7762659
1719374400,14.04,14.14,13.925,14.07,4773131
1719460800,13.75,13.945,13.61,13.8,4874498
1719547200,13.5,13.86,13.33,13.5,8068551
1719806400,13.65,13.89,12.775,12.84,8256700
1719892800,12.84,12.995,12.735,12.83,7035827
1719979200,12.88,13.24,12.84,13,3004016
1720152000,12.98,13.23,12.8144,12.95,5758083
1720411200,13.13,13.49,13.065,13.45,5552219
1720497600,13.38,13.415,12.77,12.98,4824859
1720584000,13.08,13.11,12.675,12.74,5745544
1720670400,13.08,13.45,13.01,13.42,7028371
1720756800,13.67,13.85,13.485,13.75,6286929
1721016000,13.51,13.65,13.325,13.33,5853761
