T,O,H,L,C,V
1713844800,9.35,9.48,9.3,9.39,566261
1713931200,9.32,9.44,9.25,9.42,851163
1714017600,9.33,9.41,9.3,9.3,789585
1714104000,9.38,9.47,9.34,9.41,693209
1714363200,9.44,9.54,9.4,9.43,893089
1714449600,9.25,9.32,9.2,9.24,1609599
1714536000,9.29,9.41,9.17,9.31,724917
1714622400,9.53,9.705,9.435,9.64,852688
1714708800,9.89,10.01,9.86,9.95,1045264
1714968000,9.92,10.0389,9.8801,9.94,585110
1715054400,9.99,9.99,9.715,9.76,952659
1715140800,9.26,9.35,9.18,9.27,2341163
1715227200,8.97,9.005,8.805,8.82,2445163
1715313600,8.88,8.94,8.705,8.75,1565143
1715572800,8.81,8.94,8.79,8.83,646996
1715659200,8.89,8.99,8.845,8.87,874347
1715745600,8.85,8.9675,8.805,8.94,978030
1715832000,8.98,9.09,8.915,9.07,779916
1715918400,9.05,9.145,9.015,9.08,476977
1716177600,9,9.08,8.91,8.93,585652
1716264000,8.94,8.99,8.81,8.84,1355406
1716350400,8.86,8.98,8.82,8.95,708164
1716436800,8.95,8.99,8.85,8.85,1063693
1716523200,9.01,9.01,8.84,8.86,695720
1716868800,8.92,8.95,8.77,8.77,703963
1716955200,8.65,8.7009,8.57,8.58,660464
1717041600,8.61,8.68,8.585,8.67,483638
1717128000,8.46,8.49,8.29,8.37,1983145
1717387200,8.28,8.5,8.27,8.4,1284540
1717473600,8.39,8.51,8.3657,8.49,996511
1717560000,8.67,8.7,8.525,8.57,861619
1717646400,8.6,8.735,8.6,8.65,509667
1717732800,8.56,8.61,8.435,8.48,860083
1717992000,8.41,8.41,8.245,8.27,1032042
1718078400,8.35,8.4975,8.34,8.43,608551
1718164800,8.39,8.39,8.1411,8.23,1114126
1718251200,8.22,8.275,8.14,8.2,657664
1718337600,8.16,8.3701,8.16,8.35,774034
1718596800,8.24,8.24,8.145,8.23,636480
1718683200,8.14,8.27,8.1,8.16,646012
1718856000,8.14,8.225,8.1083,8.19,748837
1718942400,8.2,8.26,8.17,8.21,815931
1719201600,8.25,8.425,8.25,8.35,737288
1719288000,8.3,8.34,8.24,8.31,369856
1719374400,8.18,8.38,8.155,8.36,836575
1719460800,8.3,8.405,8.275,8.33,852297
1719547200,8.27,8.27,8.14,8.21,796373
1719806400,8.19,8.27,8.105,8.2,1368177
1719892800,8.16,8.215,8.015,8.08,568577
1719979200,8.25,8.35,8.21,8.31,451340
1720152000,8.47,8.52,8.39,8.44,969874
1720411200,8.4,8.49,8.33,8.46,636033
1720497600,8.53,8.735,8.53,8.57,1107003
1720584000,8.74,8.8,8.64,8.74,1258677
1720670400,9.01,9.04,8.92,8.96,1424754
1720756800,9.03,9.16,9.03,9.12,1067377
1721016000,9.05,9.06,8.93,8.94,959639
1721102400,9.09,9.13,8.99,9,1234816
1721188800,8.97,9.13,8.95,9.08,1037210
1721275200,9.01,9.01,8.8,8.81,1049481
1721361600,8.94,8.98,8.69,8.71,946360
1721620800,8.8,8.95,8.79,8.88,621740
1721707200,8.88,8.91,8.67,8.68,551489
1721793600,8.62,8.735,8.605,8.67,478478
1721880000,8.68,8.76,8.65,8.65,621327
1721966400,8.67,8.695,8.6,8.62,666436
1722225600,8.56,8.61,8.47,8.58,741513
1722312000,8.46,8.51,8.34,8.35,1060529
1722398400,8.35,8.67,8.336,8.59,964913
1722484800,8.65,8.88,8.65,8.82,1335336
1722571200,8.87,8.87,8.645,8.75,1470080
1722830400,8.49,8.585,8.44,8.51,700329
1722916800,8.57,8.74,8.57,8.67,672767
1723003200,8.8,8.92,8.79,8.86,720482
1723089600,8.87,9.09,8.835,9.05,567045
1723176000,9.24,9.24,9.11,9.19,565380
1723435200,9.28,9.36,9.175,9.18,497789
1723521600,9.27,9.375,9.245,9.36,448987
1723608000,9.38,9.52,9.375,9.42,542663
1723694400,9.43,9.45,9.27,9.28,464366
1723780800,9.45,9.555,9.42,9.53,477562
1724040000,9.56,9.75,9.55,9.63,933795
1724126400,9.59,9.62,9.53,9.55,472394
1724212800,9.68,9.68,9.52,9.6,500319
1724299200,9.43,9.495,9.305,9.32,541961
1724385600,9.39,9.73,9.39,9.68,925053
1724644800,9.59,9.63,9.51,9.51,499523
1724731200,9.49,9.49,9.39,9.4,272872
1724817600,9.32,9.37,9.26,9.32,742394
1724904000,9.17,9.23,9.05,9.21,747088
1724990400,9.04,9.27,9.04,9.25,779153
1725336000,9.37,9.49,9.34,9.46,802288
1725422400,9.5,9.755,9.49,9.68,984323
1725508800,9.86,9.92,9.8,9.87,856109
1725595200,9.95,9.99,9.76,9.79,641507
1725854400,9.68,9.735,9.63,9.72,361884
1725940800,9.66,9.72,9.585,9.64,647972
1726027200,9.69,9.715,9.59,9.67,352650
1726113600,9.61,9.72,9.6,9.72,253412
1726200000,9.85,9.905,9.8,9.82,365476
1726459200,9.99,10.09,9.93,10.08,725132
1726545600,10.07,10.13,10.02,10.08,493759
1726632000,10.12,10.33,10.1,10.21,575464
1726718400,10.23,10.265,10.11,10.12,924763
1726804800,10.12,10.12,9.94,10,1557633
1727064000,9.9,9.95,9.81,9.89,946006
1727150400,10.1,10.165,10.03,10.13,550938
1727236800,10.16,10.17,10.07,10.1,634621
1727323200,10.19,10.23,10.065,10.07,545579
1727409600,10.21,10.295,10.175,10.22,1718482
1727668800,10.24,10.41,10.22,10.27,723937
1727755200,10.27,10.335,10.135,10.21,681526
1727841600,10.27,10.33,10.17,10.25,508131
1727928000,10.13,10.16,9.94,9.95,568708
1728014400,9.88,10.03,9.88,9.96,593836
1728273600,9.95,9.955,9.775,9.79,401719
1728360000,9.77,9.8579,9.73,9.8,526596
1728446400,9.63,9.715,9.595,9.65,497105
1728532800,9.66,9.745,9.62,9.66,518777
1728619200,9.46,9.47,9.34,9.37,634258
1728878400,9.38,9.5391,9.38,9.51,406040
1728964800,9.44,9.49,9.375,9.39,766367
1729051200,9.33,9.645,9.31,9.6,523116
1729137600,9.5,9.67,9.5,9.64,732681
1729224000,9.68,9.695,9.53,9.57,461549
1729483200,9.51,9.63,9.51,9.52,553529
1729569600,9.4,9.45,9.345,9.4,338402
1729656000,9.34,9.425,9.285,9.41,424768
1729742400,9.42,9.53,9.39,9.46,690435
1729828800,9.38,9.44,9.28,9.28,484999
1730088000,9.48,9.51,9.44,9.45,1252778
1730174400,9.47,9.5,9.03,9.07,1734227
1730260800,9.1,9.15,9.07,9.11,894290
1730347200,9.09,9.19,9.06,9.11,1183879
1730433600,9.09,9.14,8.94,8.95,482521
1730696400,9.09,9.23,9.09,9.17,470140
1730782800,9.09,9.225,8.93,9.19,850729
1730869200,9.28,9.39,9.145,9.29,903425
1730955600,9.47,9.509,9.245,9.37,571686
1731042000,9.1,9.11,8.935,9.01,477036
1731301200,9.03,9.19,9,9.17,555384
1731387600,9.06,9.14,8.98,9.05,468378
1731474000,8.98,9.02,8.925,9,479502
1731560400,9,9.025,8.9101,8.93,632687
1731646800,8.98,9.075,8.96,9.04,445332
1731906000,9.03,9.03,8.925,8.98,821604
1731992400,8.92,9.05,8.92,9,556272
1732078800,8.98,9.05,8.96,8.99,334753
1732165200,8.71,8.78,8.665,8.71,813803
1732251600,8.75,8.77,8.675,8.75,532169
1732510800,8.8,8.91,8.77,8.85,564829
1732597200,8.87,8.965,8.87,8.9,471483
1732683600,8.9,8.945,8.59,8.66,1684810
1732856400,8.01,8.265,8.01,8.21,745474
1733115600,8.14,8.27,8.09,8.21,753569
1733202000,8.32,8.48,8.32,8.47,746423
1733288400,8.45,8.53,8.4,8.45,919216
1733374800,8.54,8.665,8.54,8.64,836002
1733461200,8.69,8.72,8.435,8.52,638643
1733720400,8.55,8.5872,8.38,8.38,677325
1733806800,8.52,8.55,8.43,8.48,436271
1733893200,8.52,8.83,8.44,8.68,1677641
1733979600,8.7,8.7,8.225,8.25,4390559
1734066000,8.26,8.28,8.15,8.15,1217034
1734325200,8.16,8.225,8,8,728902
1734411600,8,8.12,7.97,8.04,1264603
1734498000,7.91,7.939,7.66,7.7,1262753
1734584400,7.91,7.97,7.85,7.94,2599703
1734670800,8.04,8.09,7.99,8.04,1544075
1734930000,7.94,7.94,7.72,7.79,1202491
1735016400,7.8,7.88,7.79,7.87,214410
1735189200,7.77,7.85,7.76,7.79,422570
1735275600,7.65,7.685,7.6,7.63,976168
1735534800,7.62,7.63,7.475,7.5,1466144
1735621200,7.51,7.6,7.5,7.55,652944
1735794000,7.49,7.665,7.465,7.65,843803
1735880400,7.6,7.6,7.48,7.5,751468
1736139600,7.64,7.77,7.62,7.74,860249
1736226000,7.91,8.01,7.88,7.88,2370746
1736312400,7.78,7.805,7.71,7.75,765127
1736485200,7.74,7.76,7.65,7.71,774305
1736744400,7.63,7.71,7.6,7.7,634452
1736830800,7.69,7.79,7.69,7.72,890057
1736917200,7.92,8.08,7.815,8.06,854440
1737003600,8.08,8.185,7.93,7.96,1042166
1737090000,7.99,8.11,7.96,8.06,1343414
1737435600,8.09,8.285,8.0599,8.26,714298
1737522000,8.41,8.58,8.37,8.49,722531
1737608400,8.53,8.69,8.515,8.53,987692
1737694800,8.55,8.585,8.48,8.5,448351
1737954000,8.68,8.9,8.65,8.85,887420
1738040400,8.79,8.82,8.675,8.72,934708
1738126800,8.69,8.735,8.64,8.68,457748
1738213200,8.72,8.78,8.665,8.74,674718
1738299600,8.87,8.935,8.81,8.83,1023292
1738558800,8.66,8.88,8.62,8.87,609184
1738645200,8.8,8.97,8.78,8.91,716398
1738731600,8.86,8.93,8.81,8.89,490344
1738818000,8.94,8.94,8.75,8.87,714270
1738904400,8.83,8.85,8.74,8.75,651068
1739163600,8.81,8.81,8.6501,8.72,698730
1739250000,8.94,9.11,8.915,9.04,1113969
1739336400,8.93,9.175,8.93,9.1,716660
1739422800,9.12,9.25,9.07,9.24,1064190
1739509200,9.39,9.445,9.3,9.4,855451
1739854800,9.33,9.39,9.29,9.32,754108
1739941200,9.25,9.278,9.155,9.21,871957
1740027600,9.2,9.2,9.03,9.1,502377
1740114000,9.04,9.25,9.04,9.15,635115
1740373200,9.3,9.365,9.075,9.09,862653
1740459600,9.22,9.3,9.17,9.21,832990
1740546000,8.605,8.74,8.51,8.57,1296089
1740632400,8.28,8.48,8.28,8.47,986423
1740718800,8.3,8.38,8.09,8.17,1014019
1740978000,8.33,8.45,8.27,8.31,774168
