T,O,H,L,C,V
1713844800,7.82,8.18,7.82,7.9,9735352
1713931200,7.74,7.935,7.69,7.84,7995239
1714017600,7.85,7.86,7.24,7.77,10703279
1714104000,7.7,7.79,7.29,7.32,7044627
1714363200,7.36,7.42,7.08,7.12,6617053
1714449600,7.02,7.115,6.9695,7.01,6025170
1714536000,7.04,7.43,7.04,7.3,8352561
1714622400,7.41,7.57,7.31,7.5,4545729
1714708800,7.7,7.845,7.65,7.73,5425542
1714968000,7.79,7.9,7.65,7.67,3529165
1715054400,7.75,7.8,7.6,7.63,3927056
1715140800,7.55,7.6,7.415,7.59,4526925
1715227200,7.61,7.77,7.5085,7.75,3810328
1715313600,7.78,7.86,7.62,7.73,2455223
1715572800,7.84,7.95,7.79,7.83,3728299
1715659200,7.96,8.115,7.94,8.02,3882557
1715745600,8.15,8.26,7.93,7.99,3671570
1715832000,7.95,8,7.79,7.82,3732443
1715918400,7.86,7.9697,7.8,7.92,2805291
1716177600,7.96,7.98,7.72,7.74,2629309
1716264000,7.7,7.82,7.69,7.74,1985995
1716350400,7.7,7.76,7.59,7.66,2168766
1716436800,7.71,7.71,7.33,7.35,2829196
1716523200,7.4,7.42,7.27,7.36,2755147
1716868800,7.44,7.49,7.17,7.21,4009773
1716955200,7.05,7.05,6.75,6.91,8411176
1717041600,7.05,7.115,6.93,6.95,7004893
1717128000,6.92,7.21,6.8545,7.13,7713432
1717387200,7.32,7.32,6.91,6.97,4039293
1717473600,6.89,6.92,6.7201,6.78,3349992
1717560000,6.86,6.86,6.7,6.77,3243412
1717646400,6.77,6.82,6.7,6.74,5587787
1717732800,6.64,7.06,6.505,6.95,10897043
1717992000,6.88,6.88,6.66,6.73,5017846
1718078400,6.62,6.71,6.515,6.7,3911857
1718164800,6.99,7.15,6.77,6.86,9400451
1718251200,6.75,6.7641,6.6,6.69,3436633
1718337600,6.59,6.65,6.495,6.52,5581418
1718596800,6.5,6.78,6.47,6.74,5019427
1718683200,6.72,6.84,6.625,6.73,4816158
1718856000,6.67,6.8,6.61,6.66,2948060
1718942400,6.66,6.755,6.58,6.58,14810503
1719201600,6.61,6.83,6.585,6.74,4375950
1719288000,6.68,6.73,6.6,6.61,3367951
1719374400,6.55,6.64,6.5,6.61,4136790
1719460800,6.61,6.68,6.55,6.67,4334123
1719547200,6.78,7.01,6.75,6.98,8374290
1719806400,6.95,7.14,6.88,6.89,4436296
1719892800,6.89,6.965,6.85,6.91,3955552
1719979200,6.86,6.87,6.7,6.7,3864146
1720152000,6.72,6.73,6.56,6.58,3905884
1720411200,6.61,6.73,6.58,6.62,2927179
1720497600,6.6,6.73,6.5653,6.73,4128577
1720584000,6.78,7.02,6.74,6.99,4651064
1720670400,7.24,7.54,7.17,7.48,7170769
1720756800,7.52,7.5695,7.35,7.36,4216186
1721016000,7.51,7.73,7.48,7.57,5057563
1721102400,7.65,7.93,7.61,7.91,7532975
1721188800,7.78,8.16,7.78,8.06,10437000
1721275200,8,8.3,7.875,7.89,11674045
1721361600,7.89,8.1301,7.81,8.02,5957138
1721620800,7.95,8.13,7.77,8.12,5441101
1721707200,8,8.31,7.99,8.17,6180981
1721793600,8.13,8.24,7.82,7.83,11150262
1721880000,7.64,8.2,7.31,8.07,16939005
1721966400,8.23,8.49,8.13,8.23,6238734
1722225600,8.23,8.285,7.94,8.03,6261050
1722312000,8.12,8.26,8.04,8.2,6154436
1722398400,8.16,8.63,8.02,8.4,10802993
1722484800,8.38,8.515,7.86,7.94,8929175
1722571200,7.64,7.81,7.35,7.75,10900597
1722830400,7.4,7.985,7.18,7.89,11500735
1722916800,7.87,8.095,7.75,7.86,5709242
1723003200,8.04,8.1,7.765,7.8,5033400
1723089600,7.95,8.0289,7.84,7.99,4608094
1723176000,7.94,7.98,7.7312,7.78,3976995
1723435200,7.87,8.02,7.745,7.76,4639254
1723521600,7.92,8.15,7.81,8.11,6322713
1723608000,8.14,8.14,7.885,8.01,4115570
1723694400,8.24,8.34,8.13,8.14,4100270
1723780800,8.12,8.44,8.12,8.4,4418132
1724040000,8.4,8.43,8.29,8.42,3340044
1724126400,8.37,8.39,8.13,8.18,5919387
1724212800,8.27,8.305,8.145,8.23,2786506
1724299200,8.21,8.33,8.135,8.21,2641995
1724385600,8.25,9.01,8.23,8.89,8332607
1724644800,8.99,9.08,8.74,8.74,5609587
1724731200,8.68,8.695,8.5,8.56,3202329
1724817600,8.49,8.665,8.49,8.62,3004226
1724904000,8.69,8.72,8.49,8.58,2999254
1724990400,8.62,8.7,8.45,8.68,3349397
1725336000,8.54,8.692,8.385,8.45,3845682
1725422400,8.44,8.565,8.305,8.38,2853249
1725508800,8.49,8.51,8.205,8.24,4282798
1725595200,8.31,8.355,8.0701,8.12,5533255
1725854400,8.14,8.2,7.98,8.18,6104419
1725940800,8.2,8.2,7.875,8.15,8370970
1726027200,8.03,8.16,7.865,8.1,4430699
1726113600,8.17,8.21,8.04,8.16,2812752
1726200000,8.17,8.54,8.16,8.52,8862862
1726459200,8.55,8.84,8.49,8.72,7899494
1726545600,8.85,9.04,8.72,8.92,7072281
1726632000,8.92,9.36,8.75,9.04,11610748
1726718400,9.28,9.47,9.15,9.34,12062726
1726804800,9.29,9.31,9.04,9.06,19815883
1727064000,9.09,9.17,8.89,9.04,6280711
1727150400,9.09,9.14,8.81,8.83,4703930
1727236800,8.82,8.835,8.58,8.66,7120797
1727323200,8.83,8.87,8.715,8.81,3620605
1727409600,8.91,8.93,8.755,8.77,3591677
1727668800,8.77,9.19,8.73,9.06,5831902
1727755200,8.98,9.01,8.6,8.7,5132447
1727841600,8.69,8.9,8.69,8.74,2370697
1727928000,8.7,8.81,8.57,8.75,2902123
1728014400,8.95,9.025,8.755,8.88,3942543
1728273600,8.82,8.85,8.68,8.84,3338153
1728360000,8.84,8.9,8.75,8.75,3097006
1728446400,8.73,9.08,8.73,8.94,4529673
1728532800,8.86,8.94,8.76,8.86,4152215
1728619200,8.95,9.3,8.9,9.25,6319460
1728878400,9.23,9.3,9.07,9.21,4993424
1728964800,9.29,9.61,9.155,9.26,6239686
1729051200,9.4,9.51,9.33,9.41,3884183
1729137600,9.37,9.525,9.35,9.51,3623344
1729224000,9.52,9.52,9.36,9.38,3605707
1729483200,9.23,9.3602,8.905,8.94,6385329
1729569600,8.95,9.0204,8.885,8.99,3313117
1729656000,8.89,9.12,8.86,9.12,5847911
1729742400,9.25,9.83,8.99,9.6,10817935
1729828800,9.6,9.64,9.26,9.27,5704669
1730088000,9.38,9.61,9.32,9.55,4670837
1730174400,9.5,9.65,9.4165,9.58,4331187
1730260800,9.52,9.99,9.52,9.69,5192399
1730347200,9.71,9.72,9.4,9.47,6676167
1730433600,9.52,9.655,9.37,9.42,3855882
1730696400,9.4,9.435,9.23,9.36,3837042
1730782800,9.4,9.55,9.38,9.52,3202609
1730869200,10.34,10.62,10.31,10.52,16238559
1730955600,10.38,10.42,10.03,10.05,5500451
1731042000,9.69,10.04,9.5,9.96,43012285
1731301200,10.3,10.49,10.18,10.24,22553274
