T,O,H,L,C,V
1713844800,1.45,1.49,1.43,1.48,364710
1713931200,1.48,1.59,1.48,1.58,538261
1714017600,1.54,1.7,1.54,1.66,1009983
1714104000,1.69,1.7,1.51,1.58,1354563
1714363200,1.58,1.79,1.58,1.72,916296
1714449600,1.69,1.71,1.62,1.69,358069
1714536000,1.69,1.76,1.66,1.74,278061
1714622400,1.78,1.92,1.75,1.91,1445049
1714708800,1.93,1.94,1.87,1.91,1279649
1714968000,1.91,1.98,1.9,1.93,796387
1715054400,1.93,2.02,1.9,1.98,1513670
1715140800,1.96,2,1.92,1.98,870761
1715227200,1.98,1.99,1.868,1.93,594423
1715313600,1.95,1.95,1.825,1.92,1315831
1715572800,1.91,1.98,1.9,1.9,483030
1715659200,1.9,1.98,1.9,1.95,477602
1715745600,1.98,2.04,1.915,2.02,1435853
1715832000,2.05,2.085,1.995,2.02,949535
1715918400,2.01,2.06,2,2.05,479595
1716177600,2.1,2.1,1.92,1.94,577313
1716264000,1.94,1.955,1.875,1.9,911462
1716350400,1.89,1.915,1.83,1.91,574486
1716436800,1.91,1.91,1.76,1.77,1040121
1716523200,1.79,1.83,1.76,1.79,860231
1716868800,1.81,1.9,1.785,1.84,583102
1716955200,1.8,1.87,1.8,1.82,505913
1717041600,1.81,2.1,1.81,2.09,2719923
1717128000,2.06,2.13,1.94,1.94,1526317
1717387200,1.96,2.21,1.96,2.12,1693293
1717473600,2.14,2.22,2.07,2.19,1063057
1717560000,2.19,2.3,2.18,2.28,1045508
1717646400,2.25,2.33,2.205,2.28,1036378
1717732800,2.23,2.285,2.185,2.24,666090
1717992000,2.23,2.4,2.21,2.37,640994
1718078400,2.39,2.39,2.3,2.32,755445
1718164800,2.37,2.38,2.3003,2.33,419037
1718251200,2.35,2.38,2.315,2.37,486463
1718337600,2.38,2.38,2.24,2.25,538560
1718596800,2.23,2.245,2.13,2.14,534941
1718683200,2.1,2.15,2.025,2.08,934881
1718856000,2.05,2.14,2.03,2.04,526810
1718942400,2.06,2.18,2.03,2.05,1046950
1719201600,2.03,2.4,2.03,2.32,1431631
1719288000,2.31,2.3599,2.19,2.24,491579
1719374400,2.26,2.27,2.13,2.17,538227
1719460800,2.17,2.2,2.06,2.08,892794
1719547200,2.08,2.15,2.032,2.095,960849
1719806400,2.11,2.16,2.05,2.06,285399
1719892800,2.05,2.19,2.05,2.18,297086
1719979200,2.19,2.37,2.17,2.27,550620
1720152000,2.23,2.25,2.2,2.24,286463
1720411200,2.23,2.35,2.12,2.32,1156322
1720497600,2.222,2.47,2.222,2.41,2126835
1720584000,2.4,2.44,2.22,2.25,1335809
1720670400,2.21,2.3288,2.06,2.31,2166297
1720756800,2.3,2.43,2.29,2.31,814295
1721016000,2.31,2.31,2.16,2.17,437257
1721102400,2.18,2.27,2.18,2.24,798492
1721188800,2.21,2.24,2.17,2.18,243989
1721275200,2.18,2.22,2.105,2.13,392075
1721361600,2.11,2.16,2.085,2.09,622394
1721620800,2.12,2.23,2.1,2.16,394489
1721707200,2.13,2.15,2.07,2.09,232295
1721793600,2.08,2.15,2,2.02,661440
1721880000,2.06,2.08,1.98,1.99,350748
1721966400,1.98,2.04,1.955,1.98,350329
1722225600,2.01,2.08,1.975,1.99,335768
1722312000,1.94,2,1.835,1.84,734221
1722398400,1.87,2.09,1.85,2.07,1747150
1722484800,2.03,2.06,1.96,1.98,663854
1722571200,1.99,2.04,1.84,1.85,591200
1722830400,1.84,1.845,1.71,1.76,710679
1722916800,1.76,1.84,1.76,1.8,305866
1723003200,1.85,1.905,1.76,1.77,413111
1723089600,1.79,1.865,1.78,1.84,346055
1723176000,1.83,2.06,1.78,2.05,932125
1723435200,2.03,2.03,1.84,1.855,996178
1723521600,1.89,1.89,1.765,1.83,850085
1723608000,1.81,1.815,1.73,1.73,614457
1723694400,1.76,1.8,1.72,1.77,649073
1723780800,1.77,1.8299,1.75,1.79,245254
1724040000,1.81,1.915,1.81,1.85,483142
1724126400,1.85,1.8501,1.795,1.81,146924
1724212800,1.82,2,1.805,1.9,1019171
1724299200,1.93,1.95,1.85,1.94,479889
1724385600,1.96,2.13,1.93,2.1,1276421
1724644800,2.09,2.18,2.015,2.08,1052240
1724731200,2.12,2.12,2,2,577363
1724817600,2.13,2.38,2.1,2.36,5392168
1724904000,2.39,2.59,2.25,2.48,2832456
1724990400,2.465,2.8,2.465,2.78,4136655
1725336000,2.66,2.765,2.5,2.71,2184999
