T,O,H,L,C,V
1713844800,76.87,79.79,76.42,79.17,7385659
1713931200,89.79,94.39,81.84,84.57,28787710
1714017600,83,92.489,81.9,90.35,20852369
1714104000,92.87,95.32,92.56,93.49,15253921
1714363200,93.18,94.86,91.19,94.8,14543688
1714449600,93.75,95.7008,91.33,93,11015254
1714536000,92.13,93,86.7906,88.52,10960567
1714622400,90.47,92.44,87.36,92.17,6046460
1714708800,94.18,94.88,92.56,93.01,4749009
1714968000,94.39,97.28,94.39,97.26,5701256
1715054400,95.9,97.49,94.85,94.91,5752139
1715140800,94.72,98.08,94.1,97.68,6006444
1715227200,97.6,99.44,95.55,97.94,6894418
1715313600,99.6,100.298,95.02,95.4,8692825
1715572800,95.42,96.63,93.74,94.8,4466604
1715659200,94.37,98.95,93.1,98.73,4871983
1715745600,101.02,104.76,101.01,104.6,8483772
1715832000,102.47,103.75,97.21,97.29,8234320
1715918400,98.68,98.94,95.0501,96.81,8078398
1716177600,97.62,101.3,97.62,99.32,6056028
1716264000,97.04,100.18,96.5,99.13,4538442
1716350400,100,101.95,99.1,100.13,5919712
1716436800,105,105.64,101.09,101.24,10831070
1716523200,101.6,109.2708,101.2204,106.17,10019554
1716868800,108.11,109,103.3,105.16,9810405
1716955200,104.6,105.43,103.11,103.21,7080660
1717041600,102.85,104.47,101.64,102.28,4814548
1717128000,100.4,100.7041,92.4,98.07,17944395
1717387200,98.2,98.39,92.65,96.11,9698080
1717473600,93.95,94.41,89.13,92.09,13986404
1717560000,93.57,98.36,93.34,97.08,9545783
1717646400,96.1,97.29,87.16,88,20215575
1717732800,87.87,90.8,85.14,87.68,13592787
1717992000,87.51,92.5,87.5,91.3,7952646
1718078400,90.75,91.1,88.6,89.3,6583924
1718164800,92.11,95.2399,89.38,90.17,9862622
1718251200,91.43,95.92,90.52,95.31,9510661
1718337600,94.76,95.45,90.32,91.48,8047177
1718596800,91.89,92.1,86.88,89.55,9299171
1718683200,89.09,96.36,87.75,95.34,11453474
1718856000,95.13,97.5037,89.658,90.49,10777024
1718942400,89.4,90.89,86.01,90.62,12112569
1719201600,89.5,90.15,87.04,89.14,8391953
1719288000,89.53,91.81,88.51,91.72,6723292
1719374400,90.2,90.99,85.675,87.01,8985197
1719460800,87,88.12,86.27,86.88,6727015
1719547200,87,89.33,84.78,86.57,23351582
1719806400,87.41,87.62,82.81,86.66,8693946
1719892800,86.11,89.07,85.665,88,7714418
1719979200,88.06,93.42,87.93,93.42,7859609
1720152000,93,94.5999,91.11,91.78,5806595
1720411200,92.75,94.45,91.8,92.33,4309213
