T,O,H,L,C,V
1713844800,54.55,58.4,54.55,57.75,3647442
1713931200,57.19,58.33,52.29,52.92,6794360
1714017600,50.76,52.38,50.56,50.95,3948621
1714104000,50.58,52.51,49.25,52.01,3781233
1714363200,51.91,52.5867,51.0201,51.17,4551909
1714449600,52.135,52.92,50.105,50.15,4950919
1714536000,50.32,53.37,49.48,50.53,7020633
1714622400,60,60,55.32,58.64,14143812
1714708800,61.73,63.64,60.32,63.59,8825370
1714968000,64,68.64,63.154,68.44,7101986
1715054400,68.4,69.68,66.47,69.55,5803799
1715140800,67.95,68.35,65.76,68.21,4354720
1715227200,68.53,73.47,67.96,72.94,5340132
1715313600,73.17,73.37,69.62,70.72,4104051
1715572800,72.97,76.175,71.275,71.37,6033378
1715659200,72.755,74.42,71.14,71.28,4365780
1715745600,73.99,74.49,70.8915,71.06,3553235
1715832000,71.02,71.15,68.24,68.67,3425370
1715918400,68.9,68.9792,66.88,67.1,2713540
1716177600,67.46,68.865,66.5,67.11,3040156
1716264000,66,66.82,63.32,64.24,4227310
1716350400,64.22,65.25,61.94,62.58,2676944
1716436800,62.51,62.82,60.32,61.43,3199019
1716523200,61.93,63.2999,61.03,61.18,3330516
1716868800,62.12,62.37,59.17,59.58,3663127
1716955200,58.49,59.89,57.77,58.1,2733350
1717041600,58.94,59.23,58.01,59.09,3107904
1717128000,59.37,60.98,58.7,59.49,3571991
1717387200,60.81,61.095,57.31,57.92,4301648
1717473600,57.42,57.55,56.13,56.37,3749345
1717560000,56.86,59.14,56.08,58.77,3760226
1717646400,57.23,60.24,57.23,59.44,2832520
1717732800,57.79,57.9,56.055,56.45,3285044
1717992000,55.82,57.47,55.56,57.05,2785433
1718078400,56.67,59.07,56.11,58.06,4234970
1718164800,61.97,62.43,59.1,59.45,4665278
1718251200,60.16,60.17,54.19,54.57,4984289
1718337600,53.3,53.92,51.45,52.62,4741707
1718596800,52.63,54.75,52.6,53.29,2692549
1718683200,52.95,53.44,51.78,52.21,2863782
1718856000,51.85,52.4822,50.855,52.3,3234937
1718942400,51.25,52.39,51.04,52.25,2617738
1719201600,52.46,53.07,50.92,50.98,3445351
1719288000,50.72,51,49.55,49.8,3058840
1719374400,49.61,51.34,49,50.23,2916591
1719460800,50.73,52.42,50.63,52.25,3969642
1719547200,52.605,52.91,50.68,52.73,5424324
1719806400,52.8,52.97,50.14,50.55,2717206
1719892800,50.8,51.64,49.7856,51.54,2583080
1719979200,51.54,52.55,51,51.49,1593117
1720152000,51.34,52.495,50.85,51.45,1740610
1720411200,51.72,53.31,50.95,52.99,3452472
1720497600,52.19,53.43,51.57,52.82,2225701
1720584000,53.29,53.7,51.35,53.41,2928964
1720670400,55.95,56.45,54.17,55.25,4123389
1720756800,55.74,58.42,55.6678,56.89,4494838
1721016000,56.09,56.4,53.47,53.57,4656044
1721102400,54.09,57.36,54.09,57.23,4279240
1721188800,55.45,57.31,52.98,54.04,3820580
1721275200,55,57.01,51.83,52.02,5004218
1721361600,51.77,52.9,51.02,51.37,2867742
1721620800,52.13,53.12,50.53,51.14,3029718
1721707200,50.96,53.375,50.74,52.62,4452337
1721793600,51.5,52.07,47.9332,48.04,4812162
1721880000,47.58,50.85,47.25,49.12,4884827
1721966400,50.13,53.78,50.13,53.02,5022546
1722225600,53.825,54.89,52.6,54,5698156
1722312000,54.88,55.22,52.4,54.05,4581003
1722398400,54.49,55.69,53.32,54.43,4912917
1722484800,49.88,54.92,48.285,50.01,12448934
1722571200,48.29,49.22,46.79,47.77,5973354
1722830400,45.44,47.62,44.05,44.38,6190044
1722916800,44.19,44.69,43.24,43.55,4537423
1723003200,44.9,44.9,40.39,40.43,5341580
1723089600,40.09,41.81,40,41.11,3892249
1723176000,40.87,41.25,39.47,39.49,4139238
1723435200,39.33,39.89,38.02,38.21,4795932
1723521600,38.58,42.68,38.4,42.11,5671050
1723608000,42.6,42.6,40.17,40.19,4149250
1723694400,42.26,44.65,42.24,44.15,5699611
1723780800,43.87,44.65,43.4144,44.29,3073662
1724040000,44.52,44.65,43.55,44.08,2776029
1724126400,43.91,44.0499,41.795,42.26,3744371
1724212800,43.06,43.82,42.41,43.79,3202229
1724299200,43.22,43.32,41.41,41.78,3432894
1724385600,42.34,45.85,42.04,45.56,6233655
1724644800,44.89,46.09,44.23,44.48,2507819
1724731200,44.065,44.065,42.39,43.54,2930090
1724817600,43.35,43.45,41.66,42.41,2655178
1724904000,43.03,43.4298,42,42.12,2649403
1724990400,42.52,42.9432,41.42,42.55,3077027
1725336000,41.81,43.18,40.53,40.9,3985788
1725422400,40.7,43.275,40.1177,41.9,4230416
1725508800,41.89,43.65,41.81,42.72,3675899
1725595200,42.69,44.41,42.13,42.61,3199371
1725854400,42.99,44.35,42.42,43.18,4063490
1725940800,43.15,43.57,40.97,43.37,5213298
1726027200,43.32,45.28,41.93,44.7,4295440
1726113600,44.6,45.075,42.59,44.78,3875583
1726200000,47.32,49.65,46.76,47.35,7174072
1726459200,47.16,49.46,47.15,48.03,3696637
1726545600,49.32,51.15,48.66,50.45,4163259
1726632000,50.9,54.0256,49.82,50.75,5849861
1726718400,53.37,55.575,53.26,54.33,7268549
1726804800,54.07,54.07,51.955,52.85,4758835
1727064000,52.99,53.6,51.63,53.04,2697507
1727150400,54.42,54.6,53.3,54.03,3750814
1727236800,53.8,53.8,51.17,51.67,4304938
1727323200,52.81,54.27,52.26,54.16,5149147
