T,O,H,L,C,V
1713844800,8.32,8.63,8.27,8.44,25151137
1713931200,8.35,8.4,8.26,8.38,20324163
1714017600,8.28,8.3401,8.115,8.29,24682142
1714104000,8.19,8.2,8.06,8.11,19754363
1714363200,8.18,8.295,8.11,8.15,17655387
1714449600,8.07,8.12,7.35,7.36,83395813
1714536000,7.35,7.81,7.34,7.62,43588109
1714622400,7.67,8.01,7.65,7.95,36795747
1714708800,7.99,8.28,7.91,7.97,35712311
1714968000,8.07,8.08,7.91,7.96,29714170
1715054400,7.95,8.04,7.76,7.77,25168883
1715140800,7.72,7.93,7.61,7.8,30591532
1715227200,7.57,8.07,7.51,8.04,52027034
1715313600,8.15,8.4,8.09,8.15,35600500
1715572800,8.3,8.585,8.25,8.38,28351785
1715659200,8.49,8.68,8.435,8.56,30873736
1715745600,8.69,8.7,8.15,8.2,33133107
1715832000,8.24,8.29,8,8.23,25945216
1715918400,8.22,8.22,8.02,8.05,21230745
1716177600,8.05,8.12,7.99,8.09,18270909
1716264000,8.09,8.11,7.88,7.89,37074630
1716350400,7.865,8.08,7.7502,8.06,36801040
1716436800,8.06,8.07,7.68,7.7,37917218
1716523200,7.7398,7.78,7.63,7.725,23370921
1716868800,7.73,7.905,7.64,7.87,29957459
1716955200,7.75,7.87,7.62,7.66,21184544
1717041600,7.69,8.13,7.61,8.08,40553599
1717128000,8.16,8.575,8.105,8.24,60338297
1717387200,8.46,8.545,8.22,8.33,23507776
1717473600,8.29,8.38,8.18,8.24,21686045
1717560000,8.27,8.37,8.08,8.3,23190407
1717646400,8.24,8.58,8.17,8.34,29863411
1717732800,8.22,8.33,8.16,8.27,14029031
1717992000,8.2,8.26,8.05,8.12,15619043
1718078400,8.06,8.19,7.97,8.04,20703131
1718164800,8.18,8.27,7.75,7.81,28802980
1718251200,7.77,7.785,7.27,7.29,48132899
1718337600,7.29,7.385,7.21,7.24,22879072
1718596800,7.22,7.24,7.11,7.16,24107356
1718683200,7.14,7.27,6.96,6.99,24310331
1718856000,6.99,7.16,6.94,7.04,32441762
1718942400,7.08,7.26,7.04,7.18,56623912
1719201600,7.2,7.37,7.08,7.31,21739623
1719288000,7.23,7.26,7.1,7.24,16322572
