T,O,H,L,C,V
1713844800,157.26,160.305,155.39,159.16,396180
1713931200,159.7,162,157.5675,159.59,427696
1714017600,157.88,159.5,154.8433,157.3,674924
1714104000,157.18,157.99,155,155.8,1269166
1714363200,157.57,158.98,154.905,158.15,1381957
1714449600,156.43,158.54,152.69,152.75,596588
1714536000,151.97,157.87,151.3,154.4,800325
1714622400,158.145,172.57,158.145,165.08,1871862
1714708800,168.28,169.17,166.73,167.7,754885
1714968000,171.08,172.93,169.865,172.89,880448
1715054400,173.99,180.729,173.88,180.48,1013479
1715140800,172.91,176.13,169.5,173.68,1757415
1715227200,174.87,176.59,173.86,175.25,992840
1715313600,176.03,176.47,174.14,175.88,562478
1715572800,176.69,178.7775,176.28,177.83,853963
1715659200,179.73,181.145,178.625,179.6,780062
1715745600,181.93,186.34,181.495,186.31,1003354
1715832000,185.32,186.97,180.85,181.93,1163978
1715918400,182.53,185.68,181.41,185.05,1107752
1716177600,185.83,190,184.8,188,793070
1716264000,186.88,189.01,185.905,188.3,846759
1716350400,188.2,190.18,187.02,187.86,787707
1716436800,191.44,191.82,186.455,186.62,615875
1716523200,188.05,191.995,186.19,191.18,920111
1716868800,191.17,191.17,184.4301,185.52,588044
1716955200,180.22,180.57,176.35,176.85,1351444
1717041600,177.51,182.36,177.5,178.86,1245210
1717128000,179.73,181.78,176.26,179.49,780249
1717387200,181.46,181.48,174.45,177.17,764839
1717473600,175.38,177.11,171.015,172.6,740339
1717560000,173.41,178.16,172.61,177.98,721972
1717646400,176.79,178.695,175.31,175.39,879668
1717732800,174.27,176.47,173.35,176.38,724183
1717992000,174.46,181,174.46,179.74,1126166
1718078400,178.78,178.78,174.72,175.11,603121
1718164800,179.29,183.78,177.76,178.03,669826
1718251200,176.43,177.35,174.21,174.63,414511
1718337600,170.19,170.19,161.5,166.59,1124629
1718596800,166.59,167.11,163.88,165.39,550837
1718683200,164.91,165.31,161.82,163.72,812531
1718856000,163.99,168.78,162.76,164.04,992502
1718942400,163.64,164.5599,160.91,164.18,2443707
1719201600,163.91,166.63,163.06,163.89,569770
1719288000,163.6,163.71,157.87,160.29,880484
1719374400,158.82,160,156.77,157.6,658381
1719460800,157.42,160.11,156.45,158.3,511494
1719547200,159.23,161.855,157.395,158.52,1061558
