T,O,H,L,C,V
1713844800,115.25,118.41,114.69,118.09,1031384
1713931200,121.915,126.21,119.37,125.01,1482774
1714017600,123.69,124.95,121.815,123.65,931780
1714104000,123.62,129.7,123.115,127.97,1077906
1714363200,128.61,129.51,126.302,129.25,669628
1714449600,128.33,128.33,123.07,123.62,1106933
1714536000,123.15,124.19,118.42,118.85,1098081
1714622400,120.15,123.67,118.95,122.27,599986
1714708800,123.02,124.76,121.5,122.6,553471
1714968000,124.22,126.32,123.99,124.59,599425
1715054400,124.14,126.7299,124.14,124.51,534851
1715140800,123.04,124.76,121.96,122.6,634272
1715227200,123.02,125.83,122.561,125.37,638384
1715313600,125.68,127.21,121.6,121.81,497918
1715572800,123.05,124.26,121.37,122.75,406051
1715659200,124.04,124.87,122.6,124.46,470221
1715745600,125,125.6549,121.855,125.1,421015
1715832000,125.1,125.99,122.4625,122.85,740043
1715918400,123.92,124.1,122.19,123.8,558270
1716177600,123.8,128.49,123.8,125.13,1051964
1716264000,125.01,126.71,123.39,123.65,500199
1716350400,123.65,123.785,114.72,117.59,1304873
1716436800,118.82,119.79,113.96,114.81,852256
1716523200,115.64,117.47,114.27,115.15,529507
1716868800,117.48,121.68,117,120.79,817054
1716955200,119.16,119.99,116.74,118.82,499070
1717041600,117.96,121.2799,117.96,118.64,458492
1717128000,118.56,120.56,117.32,120.34,596155
1717387200,120.73,121.06,111.37,114.55,935538
1717473600,112.92,113.23,109.85,111.07,1040895
1717560000,111.89,112.35,110.4714,111.7,741598
1717646400,111.67,112.31,110.59,111.07,447267
1717732800,110.94,113.42,109.96,112.47,806545
1717992000,113.23,116.66,112.96,116.3,512149
1718078400,115.23,115.97,113.25,114.29,521837
1718164800,117.17,117.99,114.16,115.41,638986
1718251200,114.25,114.495,111.615,113.06,654596
1718337600,111.98,112.165,109.48,111.55,701010
1718596800,111.75,113.53,111.23,113.39,633095
1718683200,114.46,116.5,113.77,115.5,1066020
1718856000,116.39,117.26,115.49,116.21,1132362
1718942400,116.43,116.83,114.83,116.09,1167405
1719201600,116.8,121.6,116.38,120.26,1440723
1719288000,119.84,121.9849,118.932,121.26,710437
1719374400,121.24,121.56,118.925,119.67,672919
1719460800,121.02,123,119.85,123,880194
1719547200,123.39,124.93,122.23,122.45,8957597
1719806400,123,123.67,120.91,121.69,857437
1719892800,122.41,124.95,122,124.53,642440
1719979200,124.92,127.2,124.3,125.53,498229
1720152000,124.89,125.49,121.03,121.78,710632
1720411200,121.38,122.99,121.09,121.98,498585
1720497600,121.91,122.82,119.89,120.01,419638
1720584000,120.58,122.94,119.0298,122.79,437956
1720670400,123.49,126.7,122.89,126.21,414729
1720756800,127,130.61,126.45,127.72,970614
1721016000,129.2,133.71,128,132.74,997664
1721102400,132.94,135,132.03,134.26,774997
1721188800,133.42,133.94,127.87,128.55,729607
1721275200,128.04,130.46,126.74,130.02,770750
1721361600,128.94,131.98,127.13,130.7,818506
1721620800,130.59,133.49,129.6001,132.23,799634
1721707200,133.13,134.39,131.5563,133.79,946972
1721793600,124.19,128.43,119.685,121.55,2942994
1721880000,120.59,123.045,115.6,117.76,2210278
1721966400,118.71,121.49,116.1,117.38,1673325
1722225600,117.79,121.69,114.06,115.12,1189344
1722312000,114.87,115,111.92,114.69,1242329
1722398400,116.75,118.37,115.27,117.86,750818
1722484800,117.27,118.06,109.08,111.92,1071354
1722571200,109.84,110.01,104.915,105.67,1070952
1722830400,99.04,102.32,96.84,100.51,1537473
1722916800,99.97,105.34,99.14,103.39,935492
1723003200,106.08,108.38,101.18,102.14,1196691
1723089600,103.69,107.01,102.37,106.39,779723
1723176000,106.12,108.68,105.3,108.31,842152
1723435200,109.6,110.29,107.29,107.51,1030658
1723521600,107.41,108.53,106,107.4,1195145
1723608000,107.5,107.96,105.26,106.02,878653
1723694400,107.77,109.63,106.66,108.65,812914
1723780800,108.33,108.75,107.13,107.69,716097
1724040000,107.99,110.08,107.6,108.09,639425
1724126400,108.18,108.18,102.83,102.99,783223
1724212800,104.14,105.939,102.82,104.05,1086960
1724299200,104.52,104.99,103.46,104.23,437181
1724385600,105.44,108.42,105.44,108.01,414372
1724644800,109.63,111.23,108.42,108.63,391168
1724731200,107.89,108.435,106.905,107.62,283385
1724817600,106,106.62,102.965,104.07,686722
1724904000,105.57,106.47,104.385,104.72,726290
1724990400,103.93,105.1,103.22,104.94,580018
1725336000,100.74,101.96,96.78,97.42,786299
1725422400,97.78,98.95,95.64,95.85,702736
1725508800,96.57,96.82,93.16,93.3,827337
1725595200,92.89,94.25,89.74,90.05,964008
1725854400,90.74,92.38,89.63,90.95,938942
1725940800,90.36,90.42,86.66,87.89,770031
1726027200,88.42,90.8999,86.73,89.7,811254
1726113600,90.48,92.56,89.7,90.1,739124
1726200000,90.98,92.5,90.31,91.53,1085889
1726459200,92.69,93.83,91.18,92.69,732810
1726545600,93.35,94.435,92.775,93.9,643781
1726632000,93.9,94.47,91.43,91.5,851871
1726718400,94.86,95.33,93.155,93.32,1200902
1726804800,94.07,96.65,93.06,95.77,3106038
1727064000,95.81,97.22,94.675,96.04,554396
1727150400,97.95,98.21,94.2,94.46,807534
1727236800,93.5,93.5,86.9,87.12,1445772
1727323200,85.13,85.779,83.06,84.06,1595420
1727409600,84.94,86.38,84.3736,85.17,1076361
1727668800,84.29,86.25,83.53,84.92,794060
1727755200,84.36,87.78,84,86.97,820203
1727841600,87.78,88.22,85.64,86.71,737882
1727928000,86.9,90.2,86.07,89.84,1102533
1728014400,91.15,92.1,90.22,91.6,804699
1728273600,92.03,92.837,91.47,92.19,712365
1728360000,91.08,91.2,88.55,90.88,668686
1728446400,89.93,92.18,89.51,92.16,962721
1728532800,92.99,95.18,91.49,93.79,1182580
1728619200,93.71,95.58,93.71,94.33,874625
1728878400,93.01,93.28,91.65,93.13,587868
1728964800,90.51,92.555,89.21,90.74,1085530
1729051200,91.3,92.5,90.94,91.71,698280
1729137600,91.97,92.69,90.77,91.76,1122407
1729224000,90.42,90.58,84.82,85.22,1658113
1729483200,86.36,86.475,84.11,84.73,1358371
1729569600,84.9,84.9,83.53,83.97,1182274
1729656000,88.32,89,80.54,81.16,2739610
1729742400,81.65,82.11,77.29,77.31,1513236
1729828800,77.53,80.86,77.53,80.35,1717479
1730088000,77.86,80.29,77.6,80,1229674
1730174400,80.21,80.595,77.76,79.16,1264424
1730260800,78.56,79.5537,78.24,78.55,839644
1730347200,79.18,79.55,77.24,79,1347221
1730433600,79.57,79.95,77,77.5,795961
1730696400,78.43,80.5699,78.26,79.79,972103
1730782800,81.27,82.64,80.46,81.78,1067980
1730869200,88,90.53,84.4408,89.59,1099530
1730955600,89.37,89.83,87.61,88.28,1008141
1731042000,88,88.6275,86.53,87.49,678055
1731301200,87.25,90.86,86.7,90.55,891035
1731387600,90.44,91.82,89.2,89.45,754361
1731474000,89.37,89.77,85.21,85.23,1191633
1731560400,85.16,86.19,81.83,83.5,1088783
1731646800,83.66,84.91,80.99,81.86,726137
1731906000,82.97,84.15,82.25,83.36,574596
1731992400,82.26,83.68,81.8,82.32,616993
1732078800,82.32,83.46,81.8,82.43,737404
1732165200,82.84,85.72,82.84,85.32,850124
1732251600,86.19,87.63,85.43,85.83,1055908
1732510800,86.45,86.82,83.32,84.38,772406
1732597200,84.45,84.91,81.46,81.99,461780
1732683600,82.03,84.15,82,82.54,472246
1732856400,82.58,83.65,82.16,82.3,350439
1733115600,82.58,84.035,81.605,83.64,605452
1733202000,84,84.98,82.7601,84.85,706527
1733288400,85.4,85.4,82.82,84.8,900077
1733374800,84.82,86.6442,82.55,82.72,622028
1733461200,83.15,83.15,76.84,77.58,700492
1733720400,78.99,80.25,77.45,77.63,757240
1733806800,77.56,78.575,76.39,76.74,626396
1733893200,77.9,81.0101,77,80.52,918433
1733979600,80.09,80.44,78.01,78.04,669058
1734066000,77.01,77.78,75.79,76.09,568833
1734325200,75.9,76.49,73.55,73.74,902564
1734411600,72.75,72.79,71.13,71.62,1147759
1734498000,71.88,73.67,69.3,69.86,968561
1734584400,71.11,71.42,68.33,68.56,1209301
1734670800,68,69.23,66.23,67.1,3214747
1734930000,66.89,68.51,66.89,68.07,745017
1735016400,68.28,68.47,66.48,68.07,393174
1735189200,68.27,68.59,67,68.03,398490
1735275600,67.72,69.425,67.25,68.58,533236
1735534800,67.96,70.12,67.45,69.47,538513
1735621200,70.02,72.6,69.9,71.63,789526
1735794000,72.54,73.76,71.53,72.29,651549
1735880400,72.88,73.335,71.535,73.02,497325
1736139600,72.66,75.3172,72.66,73.51,577394
1736226000,73.87,75.72,73.2429,74.8,797028
1736312400,73.98,73.98,71.0575,72.13,626694
1736485200,73.15,74.9,69.99,70.19,790964
1736744400,70.19,71.67,68.09,70.23,1812702
1736830800,70.34,70.9071,68.16,69.75,1219912
1736917200,70.38,71.65,70.16,71.08,1263353
1737003600,70.91,71.72,68.46,70.24,1302443
1737090000,71.1,74.55,71,73.99,1808224
1737435600,75.15,75.27,73.15,73.26,1431877
1737522000,72.48,72.77,70.84,71,1082283
1737608400,71.76,72.175,69.95,70.31,811253
1737694800,70.58,71.66,69.9425,70.23,954753
1737954000,69.44,70.95,68.1701,68.86,1283344
1738040400,69.18,69.18,65.41,66.19,1192936
1738126800,66.62,67.18,65.58,65.74,965131
1738213200,66.58,66.58,63.71,64.61,1849951
1738299600,64.25,65.484,61.97,62.95,1601910
1738558800,61.88,64.46,60.45,63.84,1740337
1738645200,64.06,65.57,63.03,65,1991675
1738731600,66.34,67.02,64.95,65.25,1925667
