T,O,H,L,C,V
1713844800,78.97,81.88,78.815,80.29,229975
1713931200,80.09,80.97,79.71,80.06,245245
1714017600,78.82,80.11,78.37,79.93,192560
1714104000,80.23,81.72,79.96,80.62,203652
1714363200,81.11,82.1,81.1,81.13,249616
1714449600,80.41,81.08,78.75,78.8,407875
1714536000,79.07,82.53,77.87,80.3,292609
1714622400,81.07,81.63,78.49,80.04,401687
1714708800,87.55,91.2,80.98,81.68,623445
1714968000,82.73,83.29,81.15,81.88,434573
1715054400,81.65,83.2,80.8,82.06,265617
1715140800,81.31,81.9044,79.95,80.15,235513
1715227200,79.97,82.665,79.36,82.54,298867
1715313600,82.89,82.89,80.97,82.26,253394
1715572800,83.09,83.45,82,83.23,178400
1715659200,84.66,86,83.6,84.33,320551
1715745600,85.76,86.44,83.31,84.13,316440
1715832000,83.99,86.3,82.72,85.1,269893
1715918400,85.3,85.3,84.1,84.83,198674
1716177600,84.59,86,84.52,85.49,253367
1716264000,84.98,84.98,82.89,82.9,157011
1716350400,82.63,83.125,81.09,81.77,219731
1716436800,81.95,82.31,79.6,80.72,238680
1716523200,80.64,80.83,79.18,79.5,229467
1716868800,80.12,80.36,77.59,78.33,256436
1716955200,77.46,79,77.31,77.52,204795
1717041600,77.06,77.27,75.77,76.31,310647
1717128000,76.68,77.5,75.22,76.97,337027
1717387200,77.87,78.49,75.175,75.9,222434
1717473600,75.6,76.605,74.96,75.33,245670
1717560000,76.11,76.11,74.67,75.56,301625
1717646400,75.26,78.11,75.26,77.71,400129
1717732800,77.15,77.45,75.98,77.09,276813
1717992000,76.57,77.155,74.64,75.35,375549
1718078400,75.01,75.01,73.32,73.5,366344
1718164800,75.54,77.8,75.425,75.86,363547
1718251200,75.68,76.14,73.75,74.17,214665
1718337600,73.62,74.8,73.62,74.47,230182
1718596800,73.85,74.19,72.35,72.5,275707
1718683200,72.22,72.62,70.01,70.22,506488
1718856000,69.82,70.96,69.455,70.76,544731
1718942400,70.97,73.89,70.84,73.07,857980
1719201600,72.88,74.01,72.161,72.31,357735
1719288000,72.36,73,71.61,72.23,402415
1719374400,71.97,74.14,71.44,73.46,308348
