T,O,H,L,C,V
1713844800,62.46,63.1,62.46,62.89,91908
1713931200,62.51,64.48,62.5,64.34,91460
1714017600,63.98,64.51,63.48,63.67,92416
1714104000,63.93,64.5,63.66,63.66,47635
1714363200,63.51,64.25,63.38,63.58,148729
1714449600,63.57,63.94,63.13,63.13,63035
1714536000,63.13,63.715,62.5,62.99,100036
1714622400,63.16,64.01,63.16,63.85,66841
1714708800,63.93,63.93,62.94,63.17,66330
1714968000,63.07,63.43,62.87,63.41,45697
1715054400,63.78,64.45,63.13,63.13,98074
1715140800,62.76,64.08,62.76,63.66,77118
1715227200,64.05,65.91,63.45,65.85,94521
1715313600,65.55,65.55,64.67,65.09,107800
1715572800,65.72,67.33,65.66,65.66,91012
1715659200,66.81,69,66.81,68.91,150319
1715745600,69.1,69.1,67.885,68.52,134112
1715832000,68.72,69.32,68.285,68.73,82051
1715918400,68.63,68.86,68.01,68.53,56668
1716177600,68.13,68.165,65.55,65.74,98990
1716264000,65.83,66.715,65.48,66.63,68648
1716350400,66.61,66.91,65.82,66.75,75285
1716436800,66.61,66.61,65.19,65.69,66736
1716523200,66.18,66.185,65.49,65.67,49596
1716868800,65.54,66.0668,64.4,64.52,70420
1716955200,64.42,65.54,64.2,64.51,65461
1717041600,64.65,65.51,64.65,65.08,64311
1717128000,65.28,66.22,65.28,65.55,103355
1717387200,66.04,66.52,65.535,65.93,81773
1717473600,65.72,65.775,64.07,64.31,156343
1717560000,64.46,64.84,63.09,63.38,64860
1717646400,63.29,64.03,63.03,64.01,56799
1717732800,63.78,63.78,62.6,62.82,64781
1717992000,62.78,63.21,62.52,63.2,62033
1718078400,62.85,63.43,62.25,63.42,60855
1718164800,64.36,64.36,62.84,62.87,69596
1718251200,62.67,63.28,62.35,62.36,69881
1718337600,62.01,62.25,60.925,62.21,78033
1718596800,61.77,62.15,61.2,62.11,78847
1718683200,62.26,62.435,61.635,62.27,60799
1718856000,62.24,63.59,62.06,62.82,74977
1718942400,62.87,63.8,62.87,63.19,218016
1719201600,63.17,64.33,63.111,63.14,84687
1719288000,63.01,63.135,62.37,62.38,42345
1719374400,62.02,62.61,61.855,62.58,59552
1719460800,62.38,62.73,61.715,62.65,56636
1719547200,62.96,63.32,62.06,62.77,195181
1719806400,62.77,63.295,62.34,62.74,77658
1719892800,62.91,63.59,62.08,62.16,94918
1719979200,62.44,62.44,61.59,62.09,131216
1720152000,61.95,62.18,61.63,62.16,97541
1720411200,62.41,62.91,62.11,62.79,80178
1720497600,62.53,63.03,61.58,62.09,81270
1720584000,62.42,63.2,62.18,62.92,84385
1720670400,63.88,66.64,63.29,66.53,153349
1720756800,66.99,67.71,66.47,66.96,84346
1721016000,67.51,68,66.16,66.22,97497
1721102400,66.9,69.18,66.9,69,110369
1721188800,69,71.35,69,71.25,121606
1721275200,70.77,72.4,70.71,71.72,86533
1721361600,71.89,71.89,70.355,71.08,82448
1721620800,71.23,72.19,70.515,71.94,81099
1721707200,71.92,73.08,71.5,72.47,93873
1721793600,72.67,73.315,71.99,72.17,61487
1721880000,72.63,74.66,72.63,74.36,84516
1721966400,74.95,75.26,73.92,74.92,73652
1722225600,74.96,74.96,73.84,74.68,49131
1722312000,75.08,75.45,74.45,74.89,91377
1722398400,74.56,76.62,73.97,75.45,83697
1722484800,75.39,76.6226,73.895,74.36,87673
1722571200,72.93,74.19,72.51,72.95,73569
1722830400,70.65,70.71,68.675,69.5,155443
1722916800,69.44,69.57,67.95,68.92,108722
1723003200,69.39,69.51,67.95,69.12,96116
1723089600,69.1,69.76,67.36,67.47,83725
1723176000,67.66,67.66,66.49,67.38,102039
1723435200,67.27,67.31,65.09,65.24,82813
1723521600,65.55,65.92,64.78,65.5,70452
1723608000,65.81,65.81,64.39,64.46,44767
1723694400,65.68,67.03,65.085,65.35,92131
1723780800,65.33,67.29,65.33,66.47,73917
1724040000,66.44,66.669,65.75,66.17,74174
1724126400,66.46,66.46,65.32,65.33,62693
1724212800,66,66,64.96,65.23,50405
1724299200,65.36,65.36,64.25,64.68,69295
1724385600,64.39,66.58,63.7,66,88222
1724644800,66.64,67.53,66.23,66.29,70909
1724731200,66.35,67.11,65.85,66.48,45244
1724817600,66.58,67.25,66,66.7,44510
1724904000,67.17,67.17,65.95,66.68,79808
1724990400,67.07,67.65,67,67.58,57192
1725336000,66.97,68.08,66.97,68.03,63587
1725422400,68.05,68.52,67.56,67.86,60672
1725508800,68.33,68.45,67.25,67.52,90677
1725595200,67.62,68,67.19,67.85,62327
1725854400,67.66,68.16,66.77,66.92,68250
1725940800,67.14,67.96,67.02,67.77,58695
1726027200,67.31,67.31,66.52,66.75,77148
1726113600,66.9,67.73,66.9,67.61,61833
1726200000,68.25,70.83,68.25,70.44,95845
1726459200,70.76,71.14,70.19,70.22,61975
1726545600,70.78,71.315,69.85,69.9,60352
1726632000,69.8,71.63,69.46,70.24,80009
1726718400,70.87,71.31,70.36,71.31,81989
1726804800,70.77,71.25,69.25,69.41,275686
1727064000,69.24,69.24,67.72,67.92,69306
1727150400,67.73,68.67,67.51,68.23,67460
1727236800,68.5,68.5,67.365,68.27,44738
1727323200,68.77,69.19,68.49,68.57,62057
1727409600,69.07,70.085,68.56,68.8,51975
1727668800,68.97,69.61,68.66,68.93,83455
1727755200,68.57,68.57,67.34,68.24,64929
1727841600,67.87,67.975,66.01,66.03,62894
1727928000,65.64,66.08,64.27,64.86,63540
1728014400,65.49,67.29,65.49,66.4,91250
1728273600,66.03,66.09,64.34,64.9,59748
1728360000,65.19,65.49,64.915,65.39,42199
1728446400,65.58,66.24,64.88,65.19,53486
1728532800,64.54,65.21,63.5,64.33,55275
1728619200,64.63,65.36,64.63,65.18,49496
1728878400,65,65,64.04,64.43,48426
1728964800,64.34,66.66,64.34,65.24,71484
1729051200,65.69,66.57,65.485,65.81,65484
1729137600,65.81,66.9,65.02,66.8,75025
1729224000,67.06,67.06,65.55,65.93,40572
1729483200,66.27,66.45,64.44,64.47,50998
1729569600,64.72,64.72,63.71,64.46,43257
1729656000,63.84,64.35,62.94,64.31,70278
