T,O,H,L,C,V
1713844800,37.1875,38.4778,37.1875,38.4778,36284
1713931200,38.25,39.04,37.85,38.38,35992
1714017600,37.04,39.6725,37.04,39.165,31136
1714104000,38.0601,39.48,38.0601,38.62,41722
1714363200,38.8965,39.38,38.6138,39.25,29302
1714449600,37.78,39.28,37.21,37.21,94234
1714536000,39.76,39.76,37.07,37.17,27216
1714622400,37.75,37.91,37.22,37.27,38133
1714708800,37.01,38.0075,37.01,37.79,38594
1714968000,37.2,38.95,37.01,38.81,41928
1715054400,38.68,38.8,37.84,38.57,39088
1715140800,37.55,39.68,37.55,39.16,22865
1715227200,38.164,40.77,38.164,39.73,40784
1715313600,41.1299,41.1299,40.142,41.02,24569
1715572800,40.07,41.11,40.07,40.63,20351
1715659200,39.53,40.5467,39.461,39.87,18140
1715745600,39.48,41.38,39.48,40.525,39276
1715832000,40.53,41.31,39.82,40.9164,25286
1715918400,41.4,41.4,40.26,40.78,16120
1716177600,40.6,41.295,40.6,40.9,26474
1716264000,40.6,40.8067,40.05,40.165,20573
1716350400,39.48,40.11,39.227,40.11,81478
1716436800,39.868,40.28,39.36,39.36,23664
1716523200,40.74,40.74,38.35,39.02,67362
1716868800,38.35,39.0575,38.256,38.26,24081
1716955200,38.19,38.28,37.36,37.558,38944
1717041600,37.0685,37.9,36.849,37.29,45942
1717128000,37.2505,38.09,37.17,37.45,48259
1717387200,36.5,37,33.62,34.04,181049
1717473600,34.105,35.1,34.005,34.49,177827
1717560000,34.9,36.73,34.66,35.26,92896
1717646400,36.6,36.6,34.96,35.01,70258
1717732800,34.305,35.57,33.75,34.04,73725
1717992000,33.46,34.23,33.46,34.04,47004
1718078400,33.8395,34.185,33.41,33.51,69329
1718164800,33.16,33.31,32.42,32.55,89502
1718251200,34,34,32.56,32.85,129053
1718337600,32.53,33,32.2,32.82,149148
1718596800,32.99,33.07,32.24,32.89,88096
1718683200,32.85,33.9,32.85,33.2,253077
1718856000,33.92,33.92,33.19,33.8,124374
1718942400,33.95,34.2389,33.35,33.89,85425
1719201600,35.19,35.19,33.32,33.8,112397
1719288000,33.57,34.46,33.364,34.34,119399
1719374400,33.545,34.5,33.545,33.77,58763
1719460800,33.55,33.809,33.34,33.62,40860
1719547200,33.4565,34.18,33.4565,34.02,102929
1719806400,34.05,34.21,33.8,34.22,47591
1719892800,33.51,34.2,33.35,33.69,49271
1719979200,33.9,34.72,33.9,33.93,17848
1720152000,33.8,34.73,33.64,34.05,42928
1720411200,33.4,34.49,33.4,34.24,37744
1720497600,34.2495,35.68,34.05,35.5,140265
1720584000,35.55,36.35,35.55,36.09,292381
1720670400,35.55,36.94,35.23,36.78,108540
1720756800,37.51,38.89,36.23,38.65,215285
1721016000,38.82,38.82,35.89,37.44,58539
1721102400,37.738,38.69,37,37.16,216553
1721188800,37.16,37.16,35.9813,36.69,42662
1721275200,35.48,37.168,35.15,35.42,28085
1721361600,36.22,36.73,35.19,35.24,95315
1721620800,35.02,35.73,35.02,35.58,142026
1721707200,35.285,35.74,34.692,35.02,250519
1721793600,34.68,35.045,34.03,34.92,213420
1721880000,34,35.1,33.6395,34.14,270447
1721966400,34,34.28,33.16,33.16,324394
1722225600,33.4,33.68,32.95,33.68,188958
1722312000,34.3,34.3,32.8,33.01,182417
1722398400,32.51,33.49,32.51,33.4,92185
1722484800,33.45,33.52,32.24,32.3,96417
1722571200,32.24,32.4,31.4,31.4,139658
1722916800,29,31.51,29,31.21,668589
1723003200,31.44,32.05,31.44,31.67,366799
1723089600,32.09,32.65,31.45,32.523,208111
1723176000,32.55,33.05,32.51,32.84,108637
1723435200,32.86,33.126,32.75,32.85,50302
1723521600,32.615,33.39,32.38,33.3275,121329
1723608000,33.0344,33.63,33.02,33.305,66248
1723694400,33.67,34.2475,33.02,33.79,274371
1723780800,33.85,34.0075,33.68,33.855,39808
1724040000,32.96,33.84,32.96,33.5,42210
1724126400,32.96,33.21,32.65,33.02,81559
1724212800,32.63,33.4,32.55,32.55,95317
1724299200,32.985,32.99,32.26,32.99,2135
1724385600,32.39,33.24,32.01,33.19,37769
1724644800,33.1598,33.61,32.11,32.55,56350
1724731200,32.3,32.33,31.47,31.72,528877
1724817600,31.12,32.32,31.11,31.41,75370
1724904000,31.285,31.78,31.04,31.04,108561
1724990400,32.48,32.48,31.51,32,50555
1725336000,30.6,32.485,30.6,31.22,142038
1725422400,30.76,31.62,30.38,30.52,98952
1725508800,30.32,30.5,29.87,30.18,96028
1725595200,29.3901,30.4,29.3901,29.92,45043
1725854400,29.92,30.8484,29.92,30.8,63962
1725940800,29.66,30.44,29.56,29.98,84840
1726027200,29.67,31.4,29.67,30.75,131267
1726113600,30.96,31.57,30.81,31.01,162228
1726200000,31.405,31.95,31.34,31.57,71124
1726459200,29.83,32.55,29.79,31.37,248851
1726545600,31.35,32.63,31.35,32.34,261021
1726632000,32.43,32.43,31.2,31.58,335700
1726718400,31,32.12,31,31.77,75239
1726804800,31,31.61,31,31.45,77329
1727064000,31.5,31.5,30.9,31.37,43852
1727150400,31.235,32.13,30.8701,31.38,37402
1727236800,30.6701,31.865,30.6701,30.9,44955
1727323200,30.53,31.55,30.21,30.47,83522
1727409600,30.3,30.56,29.5,29.8,178657
1727668800,31.74,31.74,29.65,30.3,73107
1727755200,31.6,31.85,29.63,30,389904
1727841600,30,30.5,29.55,29.625,70529
1727928000,29.55,30.3,29.39,29.84,78181
1728014400,30,30.7245,30,30.53,56767
1728273600,30.36,30.955,29.91,29.98,71007
1728446400,30,30,28.91,28.91,251550
1728532800,29.485,30.65,28.95,30.56,70465
1728619200,30.6001,30.89,30.28,30.8,69221
1728878400,30,30.8,30,30.302,57481
1728964800,30.05,30.11,29.52,30.11,151811
1729051200,29.65,30.11,29.25,29.72,85478
1729137600,29.805,30.2,29.27,29.98,167179
1729224000,30.26,30.52,29.71,30.28,50152
1729483200,30.28,30.28,29.71,30.14,100227
1729569600,30.14,30.3105,30.04,30.29,43148
1729656000,29.66,31.19,29.3,31.19,102420
1729742400,30.38,30.91,29.67,29.67,230659
1729828800,29.08,29.865,28.5,28.7,167718
1730088000,28.5,28.9,27.88,28.63,122146
1730174400,27.79,28.695,27.7,27.82,282273
1730260800,28.57,28.57,27.11,27.32,131714
1730347200,28.44,28.44,27.25,27.47,86647
1730433600,27.5,28.16,27.3,27.69,51146
1730696400,27.555,28.3,27.555,28.19,90410
1730782800,29.04,29.04,27.28,27.83,81270
1730869200,28.49,28.49,26.22,28.08,203668
1730955600,28.55,29.07,28.09,28.49,75238
1731042000,28.49,28.49,27.36,27.92,185800
1731301200,27.54,27.86,27.14,27.86,97909
