T,O,H,L,C,V
1713844800,51.11,52.5,50.95,52.48,1602907
1713931200,52.25,52.7298,51.73,52.56,1627737
1714017600,52.22,54,51.42,53.73,2560302
1714104000,54.25,54.45,53.23,54,1500584
1714363200,54.13,54.31,52.6,53.56,2079753
1714449600,52,52.72,51.8,52.14,2030093
1714536000,52.53,53.91,52.27,52.97,1674731
1714622400,52.46,53.3,52.2,53.03,1129193
1714708800,53.54,53.7,52.02,52.69,1788139
1714968000,53.77,54.09,53.2,53.77,1156554
1715054400,53.59,53.9299,53.44,53.85,882853
1715140800,53.17,54.4703,53.17,54.36,1116360
1715227200,54.82,56.01,54.67,55.78,2071666
1715313600,57,57.33,54.32,54.94,2600076
1715572800,54.81,54.99,54.09,54.57,1344906
1715659200,54.88,55.4,54.67,55.36,1484567
1715745600,56,56.42,54.72,55.92,1853614
1715832000,55.81,56.37,55.24,55.83,1192643
1715918400,56.5,57.06,56.09,57.01,1778346
1716177600,57,57.87,56.18,57.78,1794668
1716264000,57.34,57.85,56.98,57.82,1209127
1716350400,57.51,57.68,56.02,56.61,1784232
1716436800,56.62,57.07,55.38,55.68,1543891
1716523200,56.15,56.51,55.7114,56.41,1017762
1716868800,57.36,57.53,56.78,57.46,1107898
1716955200,56.92,57.14,55.885,55.98,1096939
1717041600,55.95,56.9,55.95,56.17,1130005
1717128000,56.38,57.02,54.69,55.11,3439946
1717387200,55.32,55.73,54.641,55.08,1632709
1717473600,54.41,54.41,52.23,52.79,2404592
1717560000,53.15,53.935,52.71,53.66,1608055
1717646400,53.61,55.65,53.565,55.59,1148128
1717732800,53.8,54.14,52.355,52.59,2449319
1717992000,52.83,53.91,52.83,53.81,1970501
1718078400,53.24,53.38,52.61,53.33,1362991
1718164800,54.52,54.5591,53.16,53.52,1359446
1718251200,53.16,53.71,52.5,52.88,710671
1718337600,53.36,53.38,52.28,52.94,965840
1718596800,52.59,52.97,52.18,52.69,1156269
1718683200,52.56,53.1499,52.31,52.69,1272261
1718856000,53.04,54.59,53.04,53.87,1130688
1718942400,53.88,54,52.34,53.01,4251183
1719201600,53.37,53.73,53.01,53.31,988751
1719288000,53.12,53.49,52.83,53.29,806852
1719374400,52.75,53.45,52.45,52.85,1133693
1719460800,53.35,53.46,52.7,52.98,867306
1719547200,53.28,53.37,51.98,52.42,942035
1719806400,52.5,52.9395,51.96,52.04,679831
1719892800,52.39,53.24,52.12,52.61,1254722
1719979200,53.26,54.9,53.26,54.52,723646
1720152000,55.66,56.34,55.2,55.81,1216667
1720411200,55.55,56.165,55.19,56.15,2559661
1720497600,56.22,56.44,55.6576,56.07,923830
1720584000,56.78,58.38,56.54,58.33,1703693
1720670400,59.6,59.67,58.03,59.29,1943699
1720756800,58.82,59.75,58.7,59.59,1012135
1721016000,59.73,60.03,58.855,59.49,1112085
1721102400,59.97,62.19,59.45,62.16,2732246
1721188800,62.2,63.06,61.23,61.35,1845263
1721275200,61.5,61.726,60.28,60.94,1222675
1721361600,59.6,60.785,59,60.04,900384
1721620800,59.56,60.4,59.38,60,820931
1721707200,60.01,60.6,59.69,60.34,898269
1721793600,60.74,61.43,59.92,59.94,1549939
1721880000,58.31,59.38,57.9,58.74,1471165
1721966400,59.19,59.38,58.19,58.3,1431867
1722225600,58.51,58.93,58,58.64,1057191
1722312000,58.64,59.49,58.38,58.88,983112
1722398400,59.78,60.02,58.82,59.76,1291598
1722484800,59.87,59.89,57.79,58.47,1196604
1722571200,58.91,60.2,57.25,57.67,1920192
1722830400,54.26,56.78,53.39,56.11,1629685
1722916800,55.63,55.8975,54.13,55.01,2700502
1723003200,55.78,55.88,53.05,53.4,2310112
1723089600,53.8,55.11,53.6,54.37,1857855
1723176000,55,55.99,54.12,55.81,960724
1723435200,56.02,57.61,56.02,57.17,1319712
1723521600,57.06,58.35,57.01,58.19,4778126
1723608000,58.01,58.15,57.04,57.63,1266743
1723694400,57.86,57.98,56.3314,57.77,1188535
1723780800,58.13,59.17,58.04,59.05,1582730
1724040000,59.1,60.73,58.66,60.5,1969966
1724126400,61.2,62.24,61.2,61.67,2076855
1724212800,61.3,62.05,61.05,61.89,2139346
1724299200,60.98,61.67,60.8002,60.99,1206295
1724385600,61.5,62.61,61.25,62.11,1569572
1724644800,62.53,62.56,61.85,62.3,887039
1724731200,61.75,62.5,61.42,62.43,959812
1724817600,61.48,61.89,61.05,61.39,1090020
1724904000,61.47,62.1,61.375,61.66,912224
1724990400,61.56,61.925,61.24,61.81,751036
1725336000,61.24,61.24,58.99,59.72,1482743
1725422400,59.48,60.3199,59.06,59.68,1130800
1725508800,60.73,60.76,59.785,59.88,727493
1725595200,59.75,59.76,57.64,57.98,1420901
1725854400,58,58.77,58,58.56,755779
1725940800,58.64,59.44,57.96,59.41,1155818
1726027200,59.47,59.47,58.16,59.27,938305
