T,O,H,L,C,V
1713844800,49.66,49.85,49.52,49.63,249782
1713931200,49.72,50.28,49.67,50.25,276980
1714017600,49.44,50.14,49.11,50.11,366131
1714104000,50.65,51.25,50.55,50.94,425200
1714363200,51.35,51.57,51.26,51.57,134432
1714449600,51.29,51.36,50.325,50.35,142889
1714536000,50.56,50.94,50.2,50.24,90540
1714622400,50.38,50.64,50.07,50.52,103700
1714708800,51.36,51.67,50.97,51.07,136066
1714968000,51.3,51.355,51,51.2,74129
1715054400,52.2,52.28,51.59,51.69,168242
1715140800,51.82,52.31,51.75,52.2,89591
1715227200,52.12,52.28,51.96,52.28,96810
1715313600,52.71,53,52.63,52.95,85730
1715572800,53.06,53.245,52.865,52.94,57160
1715659200,53.28,53.42,53.03,53.23,65981
1715745600,53.2,53.6,53.04,53.59,75297
1715832000,53.99,54.21,53.85,53.9,83998
1715918400,53.75,53.931,53.42,53.51,187258
1716177600,53.91,53.99,53.63,53.69,81184
1716264000,53.2,53.28,52.97,53.04,69818
1716350400,52.23,52.34,51.76,51.85,88936
1716436800,52.46,52.55,51.62,51.8,100818
1716523200,52.31,52.655,52.3001,52.55,51565
1716868800,53.09,53.2,52.73,52.83,87110
1716955200,51.9,51.92,51.2,51.2,102782
1717041600,52.19,52.3746,52.14,52.3,61024
1717128000,52.45,52.505,51.78,52.34,92985
1717387200,52.55,52.58,51.83,52.18,67302
1717473600,51.38,51.97,51.37,51.9,61142
1717560000,51.77,51.82,51.43,51.54,67515
1717646400,50.48,51.4,50.48,51.33,66467
1717732800,49.07,49.4323,48.87,48.94,60214
1717992000,48.68,49.0299,48.61,48.98,49919
1718078400,48.32,48.35,47.79,48.01,117393
1718164800,49.14,49.18,48.69,48.89,87694
1718251200,47.95,48.06,47.217,47.66,119508
1718337600,46.66,46.8399,46.35,46.76,75682
1718596800,46.86,47.198,46.7,47.01,97659
1718683200,47.04,47.24,46.9,46.96,195791
1718856000,47.61,48.07,47.42,47.92,182269
1718942400,47.53,47.76,46.77,47.76,717500
1719201600,48.38,48.78,48.2309,48.3,152270
1719288000,47.43,47.48,46.95,47.13,98500
1719374400,46.15,47.03,45.98,46.64,196859
1719460800,47.02,47.165,46.69,46.8,93347
1719547200,45.71,45.945,45.54,45.78,125274
1719806400,45.88,46.04,45.35,45.49,118673
1719892800,44.76,45.49,44.75,45.47,711230
1719979200,46.39,46.72,46.333,46.69,146081
1720152000,47.64,47.76,47.3,47.72,243783
1720411200,48.39,48.43,47.78,48.14,230379
1720497600,47.69,47.74,47.2,47.37,169362
1720584000,46.9,47.08,46.61,46.75,164376
1720670400,46.87,47.415,46.87,47.27,116307
1720756800,47.32,47.769,47.31,47.6,78673
1721016000,47.47,47.65,47.29,47.33,80616
1721102400,47.18,47.69,47.11,47.64,108009
1721188800,47.25,47.38,47.11,47.27,134744
1721275200,48.39,48.63,48.02,48.16,755276
1721361600,48.21,48.35,47.93,48.12,912069
1721620800,48.58,48.72,48.28,48.65,135095
1721707200,48.33,48.69,48.29,48.48,78066
1721793600,48.33,48.41,47.66,47.74,148653
1721880000,46.87,47.72,46.78,47.39,161547
1721966400,47.76,48.3099,47.76,48.17,114482
1722225600,47.7,47.7324,47.4,47.67,107993
1722312000,47.89,48.3,47.88,48.21,244904
1722398400,48.21,48.75,48.12,48.34,228556
1722484800,48.24,48.28,46.56,46.72,170520
1722571200,45.89,46.19,45.63,45.96,141433
1722830400,44.73,45.58,44.66,45.22,192952
1722916800,45.19,45.81,45.12,45.43,256275
1723003200,44.87,45.05,43.7401,43.75,247519
1723089600,43.73,43.9,43.49,43.74,179040
1723176000,43.53,43.62,43.02,43.23,249113
1723435200,43.81,44.07,43.625,43.68,208433
1723521600,43.78,44.1,43.73,44.09,122068
1723608000,44.25,44.39,44,44.14,108078
1723694400,45.03,45.65,44.99,45.61,242212
1723780800,45.5,45.8,45.47,45.77,160253
1724040000,46.13,46.5,46.11,46.29,250662
1724126400,45.92,46.16,45.9,46.09,239602
1724212800,46.27,46.315,46.04,46.28,81481
1724299200,46.76,46.76,46.42,46.42,65196
1724385600,46.81,47.56,46.72,47.4,64742
1724644800,47.53,47.83,47.37,47.44,70966
1724731200,47.78,47.96,47.74,47.91,71607
1724817600,47.59,47.81,47.41,47.65,84925
1724904000,47.65,47.93,47.48,47.78,85771
1724990400,47.47,47.77,47.43,47.77,71619
1725336000,46.95,47.05,46.34,46.49,122646
1725422400,45.69,47.12,45.67,46.48,544396
1725508800,48.85,49.31,48.76,49.21,217730
1725595200,49,49.3,48.28,48.35,220626
1725854400,48.39,48.65,48.12,48.52,158326
1725940800,48.57,48.57,48.03,48.34,131265
1726027200,48.32,48.485,47.73,48.38,141119
1726113600,48.4,48.75,48.28,48.61,116736
1726200000,49.17,49.34,48.67,48.68,136541
1726459200,48.99,49.22,48.91,49.22,80958
1726545600,49.72,49.74,49.11,49.2,75613
1726632000,49.8,50.44,49.71,49.92,113502
1726718400,51.32,51.41,50.89,51.15,152519
1726804800,51.21,51.34,50.925,50.99,143343
1727064000,51.13,51.24,50.8165,51.23,111690
1727150400,50.86,51.35,50.85,51.32,98159
1727236800,50.99,51.03,50.48,50.51,101468
1727323200,51.44,51.65,51.295,51.58,78166
1727409600,52.08,52.365,52.005,52.11,75448
1727668800,51.61,51.66,50.92,51.16,75418
1727755200,52.98,52.98,51.32,51.77,259905
1727841600,51.51,51.55,51.12,51.22,441744
1727928000,50.32,50.73,50.2763,50.72,125659
1728014400,51.29,51.48,51.14,51.46,82137
1728273600,51.13,51.205,50.74,50.85,82391
1728360000,50.59,50.6742,50.195,50.42,212985
1728446400,50.53,50.99,50.43,50.98,115122
1728532800,50.52,50.63,50.22,50.29,90739
1728619200,49.18,49.44,49.18,49.38,107178
1728878400,48.99,49.39,48.96,49.35,72134
1728964800,49.72,49.945,49.46,49.47,88085
1729051200,49.94,50.33,49.91,50.29,83612
1729137600,50.81,51.32,50.61,51.32,109005
1729224000,51.49,51.49,51.09,51.26,107880
1729483200,50.81,51.055,50.44,50.44,97263
1729569600,50.26,50.29,49.78,50.18,123141
1729656000,51.85,53.2,51.69,52.91,188005
1729742400,53.56,53.59,53.335,53.38,218026
1729828800,53.54,53.64,53,53.06,164719
1730088000,53.83,54.3,53.69,53.85,128040
1730174400,54.11,54.45,53.9953,54.33,101388
1730260800,53.44,53.87,53.26,53.29,86366
1730347200,53.14,53.14,52.14,52.49,119289
1730433600,53.11,53.59,53,53.24,133479
1730696400,54.01,54.17,53.48,53.6,85358
1730782800,54.2,54.65,54.17,54.43,107469
1730869200,55.46,55.63,54.88,55.34,138686
1730955600,55.67,55.74,55.27,55.64,109044
1731042000,54.63,54.83,54.4,54.55,178364
1731301200,54.82,54.87,54.32,54.34,126228
1731387600,53.58,53.66,52.49,52.75,148248
1731474000,52.34,52.48,52.0699,52.16,111895
1731560400,52.83,53.36,52.76,52.84,140850
1731646800,53.02,53.06,50.82,51.45,344068
1731906000,51.28,51.83,51.23,51.61,155256
1731992400,51.18,51.65,51.11,51.59,116993
1732078800,51.25,51.41,50.98,51.41,95514
1732165200,51.29,51.5999,51.14,51.48,133384
1732251600,51.8,52.425,51.8,52.37,110282
1732510800,52.73,53.25,52.72,53.2,134236
1732597200,53.48,53.87,53.11,53.77,257669
1732683600,53.46,54,53.34,53.71,433628
1732856400,54.32,55.12,54.18,54.67,173644
1733115600,54.77,54.8292,54.35,54.81,178960
1733202000,55.1,55.1,54.705,54.96,197297
1733288400,54.6,54.94,54.45,54.59,131090
1733374800,54.44,54.84,54.43,54.6,108960
1733461200,55.19,55.27,54.84,55.15,124950
1733720400,57.37,57.37,56.41,56.55,239450
1733806800,56.07,56.1876,55.75,55.8,131909
1733893200,56.06,56.39,55.81,56.37,313519
1733979600,56.35,56.59,56,56,89766
1734066000,56.24,56.36,55.75,55.98,198660
1734325200,55.57,55.9,55.48,55.59,109049
1734411600,54.78,54.84,54.06,54.25,121507
1734498000,54.11,54.23,52.69,52.78,96010
1734584400,52.95,53.15,52.58,52.58,113848
1734670800,52,52.685,52,52.29,249333
1734930000,51.87,52.08,51.67,52.07,200272
1735016400,52.13,52.29,51.93,52.13,39478
1735189200,51.94,52.2545,51.94,52.07,72929
1735275600,52.1,52.26,51.755,52.04,103762
1735534800,51.65,51.65,51.23,51.36,121247
1735621200,51.72,52.01,51.05,51.4,71333
1735794000,51.68,51.74,50.965,51.07,84760
1735880400,51.15,51.22,50.34,50.4,156972
1736139600,49.11,49.54,48.86,49.09,294711
1736226000,47.8,48.09,46.495,46.6,618457
1736312400,46.09,46.235,45.81,45.91,352162
1736485200,44.96,44.97,43.94,43.97,211952
1736744400,43.8,44.16,43.64,43.83,255561
1736830800,43.99,44.23,43.66,43.97,347094
1736917200,44.72,44.8,44.2,44.47,261215
1737003600,44.15,44.74,44.11,44.63,175588
1737090000,45.38,45.75,45,45.11,238744
1737435600,45.74,45.865,45.37,45.64,221441
1737522000,45.89,45.89,45.07,45.15,257833
1737608400,44.85,44.95,44.58,44.66,168017
1737694800,45.77,46.23,45.56,45.93,270602
1737954000,45.91,46.53,45.87,46.53,248561
1738040400,46.94,47.16,46.46,46.79,267107
1738126800,46.71,47.13,46.535,46.81,226476
1738213200,48.05,48.6101,47.88,48.31,243148
1738299600,47.84,48.11,47.39,47.48,177531
1738558800,47.07,47.745,47.04,47.4,168761
1738645200,47.44,47.935,47.42,47.83,128713
1738731600,48.31,48.85,48.11,48.85,154315
1738818000,48.68,49.02,48.595,48.77,122931
1738904400,48.96,48.96,48.38,48.64,128359
1739163600,48.73,48.89,48.52,48.87,87175
1739250000,48.56,48.98,48.55,48.96,74266
1739336400,48.18,48.51,47.9005,48.44,100504
1739422800,48.71,48.89,48.505,48.86,110359
1739509200,48.84,49.12,48.27,48.27,148569
1739854800,48.88,48.95,48.56,48.95,135051
1739941200,48.07,48.42,47.92,48.17,113106
1740027600,48.03,48.26,47.3,47.62,110980
1740114000,47.71,47.76,47.24,47.47,88812
1740373200,47.81,48.36,47.62,48.22,182040
1740459600,48.29,48.579,47.89,48.46,187011
1740546000,48.34,49.0499,48.34,48.55,140019
1740632400,40.86,41.3,40.4767,41.06,505419
1740718800,40.53,40.9232,40.14,40.56,1024009
1740978000,40.92,40.95,39.785,39.96,1023103
1741064400,39.3,39.99,39.015,39.22,288011
1741150800,38.99,39.77,38.895,39.65,306259
1741237200,40.25,40.85,40.06,40.34,247011
1741323600,40.91,41.63,40.05,41.63,427206
1741579200,41.52,41.87,40.86,41.26,282933
1741665600,41.31,41.32,40.42,40.89,304786
1741752000,41.07,41.136,40.695,40.83,210291
