T,O,H,L,C,V
1713844800,38.39,38.57,37.63,37.78,2495797
1713931200,37.78,38.24,37.465,38.19,1779088
1714017600,38.03,38.275,37.52,37.96,1722605
1714104000,38.03,38.86,37.81,38.72,2039278
1714363200,39.03,39.2,38.7201,39.15,1647176
1714449600,38.59,38.93,36.9,36.96,3638627
1714536000,36.81,37.18,36.295,36.61,3422733
1714622400,37.26,37.95,36.6,37.6,3698428
1714708800,38.9,38.98,37.11,37.35,3328319
1714968000,38.43,38.68,38.12,38.3,1689587
1715054400,38.44,39.64,38.15,39.17,4973355
1715140800,39.56,39.57,38.58,39.34,1844102
1715227200,39.5,40.63,39.5,40.57,2386578
1715313600,40.57,40.76,39.93,40.37,2083270
1715572800,40.81,40.81,39.29,39.3,1372566
1715659200,39.87,39.88,39.445,39.6,1540910
1715745600,40.15,40.24,39.53,40,1577900
1715832000,39.91,40.03,39.45,39.61,1465389
1715918400,39.6,40.71,39.52,40.65,2021221
1716177600,41,41.705,40.84,41.55,1748198
1716264000,41.55,42.36,41.55,41.87,1786083
1716350400,41.66,41.995,40.25,40.4,3455840
1716436800,40.67,40.915,39.24,39.39,1363533
1716523200,39.57,39.67,38.98,39.27,1391842
1716868800,37.87,39.865,37.87,38.96,1373130
1716955200,38.65,39.485,38.36,38.95,1299188
1717041600,39.07,39.75,39.06,39.39,1077545
1717128000,39.56,39.855,39.13,39.43,1332593
1717387200,39.55,39.81,38.59,39.38,1464107
1717473600,38.91,39.58,38.245,38.33,1649602
1717560000,38.5,39.03,38.04,38.84,1068802
1717646400,38.73,38.99,38.36,38.5,1084299
1717732800,38.2,38.9,38.0104,38.3,1361926
1717992000,38.01,38.28,37.6,38.1,1874114
1718078400,37.88,38.04,36.84,37.9,2655793
1718164800,38.69,39.66,38.46,38.51,3602251
1718251200,38.48,38.83,37.82,38.66,2449262
1718337600,38.18,38.96,37.71,37.85,1053570
1718596800,37.8,38.7,37.7,38.49,1601943
1718683200,38.34,38.555,37.95,38.12,2754450
1718856000,37.96,39.24,37.87,39.17,1424072
1718942400,39.23,39.72,38.54,39.59,2450252
1719201600,39.7,39.92,39.205,39.26,1208909
1719288000,39.4,39.4,37.8,38.45,1804819
1719374400,38.18,38.42,37.64,37.84,2100367
1719460800,37.86,38.01,37.46,37.95,2407940
1719547200,38.22,38.46,37.56,37.64,4223281
1719806400,37.78,38.45,36.78,37.3,1792259
1719892800,37.33,38.075,36.515,36.99,1728159
1719979200,37.05,37.79,36.76,37.51,1000865
1720152000,37.17,37.32,35.65,35.84,2940581
1720411200,36.22,36.48,35.76,36.2,2047713
1720497600,36.25,36.71,35.5,36.36,2434000
1720584000,36.52,36.8,35.96,36.39,1799868
1720670400,36.95,38.68,36.83,38.02,3650751
1720756800,38.52,38.55,38,38.29,1535155
1721016000,38.29,39.17,38.06,38.85,1723139
1721102400,38.99,40.7,38.75,40.44,2678890
1721188800,39.98,40.885,39.89,39.97,2009369
1721275200,39.93,41.45,39.755,40.83,3308946
1721361600,40.87,41.13,40,41.01,2020551
1721620800,41.27,42.065,40.91,41.9,2169792
1721707200,41.8,42.38,41.43,42.21,2009895
1721793600,42.18,42.48,40.87,40.99,2488483
1721880000,41.25,43.8,41.11,43.24,3971795
1721966400,42.56,42.99,40.43,41,3856204
1722225600,41.07,41.46,40.72,41.36,1787499
1722312000,41.54,41.845,40.43,40.96,1752342
1722398400,41.37,41.62,40.325,41,1573015
1722484800,40.79,41.21,39.52,39.81,2435737
1722571200,37.59,38.2,35.34,35.5,6341824
1722830400,34.83,36.18,34.1,34.55,4644170
1722916800,34.56,35.41,34.05,34.7,2984240
1723003200,35.18,35.665,33.23,33.49,2580762
1723089600,33.55,34.38,33.48,33.97,2531899
1723176000,33.95,34.805,33.69,34.71,1664299
1723435200,34.71,34.99,34.02,34.12,981097
1723521600,34.39,34.85,33.85,34.82,1324396
1723608000,35,35.14,34.485,34.55,844504
1723694400,35.3,36.97,35.3,36.61,1727454
1723780800,36.56,37.04,35.99,36.03,1765064
1724040000,36.04,37.045,35.72,37.01,1460542
1724126400,36.96,37.72,36.73,37.03,1131434
1724212800,37.21,37.64,36.78,37.47,1832169
1724299200,37.6,37.94,36.95,37.19,1356094
1724385600,37.07,39.02,37.04,38.93,1825974
1724644800,39.31,40.19,39.05,39.25,1552205
1724731200,38.87,39.21,38.54,38.81,747963
1724817600,38.52,38.59,38.1,38.25,741733
1724904000,38.63,38.63,37.84,38.01,1082492
1724990400,38.32,38.66,38.01,38.54,845824
1725336000,38.36,38.4,37.23,37.25,1391648
1725422400,37.32,37.37,36.57,37.16,1578887
1725508800,37.35,37.35,36.535,36.71,1150347
1725595200,36.71,37.56,36.255,36.27,1742508
1725854400,36.31,36.93,36.18,36.51,1309981
1725940800,36.67,38.06,36.205,37.8,2132179
1726027200,37.85,38.41,36.69,38.35,1470577
1726113600,38.66,39.5,38.08,39.25,1250213
1726200000,39.95,40.04,38.97,39.16,1398774
1726459200,39.28,40.005,38.92,39.4,1250771
1726545600,39.76,40.48,39.425,40.19,1263271
1726632000,40.85,41.31,38.09,39.17,9962944
1726718400,39.44,39.67,37.7112,38.85,6322661
1726804800,39.08,40.43,38.88,39.8,3641419
1727064000,39.91,40.87,39.91,40.45,3258008
1727150400,40.61,41.51,40.29,40.99,3121499
1727236800,40.99,41.58,39.62,39.62,3562112
1727323200,39.92,40.34,38.24,39.1,2704105
1727409600,39.52,39.82,38.45,38.57,1602191
1727668800,38.32,38.44,37.175,37.6,2894352
1727755200,37.53,37.935,36.99,37.24,1492724
1727841600,36.98,37.57,36.94,37.41,1094708
1727928000,37.14,37.955,36.97,37.71,1716209
1728014400,38.3,38.41,37.5,37.59,1082180
1728273600,37.5,37.595,36.93,37.19,1573361
1728360000,37,37.2002,36.475,36.49,1386196
1728446400,36.55,37.13,36.28,36.82,2672000
1728532800,36.76,37.45,36.26,36.39,1643695
1728619200,36.32,36.76,35.85,36.15,3394277
1728878400,36.26,36.53,35.68,36.35,2755876
1728964800,36.38,36.8575,36.28,36.29,3110244
1729051200,36.34,37.32,36.225,37.29,2989584
1729137600,37.2,37.24,36.37,36.69,1918792
1729224000,37.18,37.41,36.58,37.33,2494078
1729483200,37.42,37.805,37.11,37.69,2175730
1729569600,37.37,38.25,37.37,38.19,1887475
1729656000,37.99,38.4,37.395,37.83,1672472
1729742400,37.3,37.6,36.57,37.57,2804284
1729828800,37.98,39.71,37.61,38.97,3720443
1730088000,39.1,40.215,39.04,39.79,2386647
1730174400,39.53,40.14,39.045,39.17,2834878
1730260800,38.96,39.875,38.7275,38.88,2551420
1730347200,34,35.5,32.705,33.14,15479477
1730433600,33.35,36.58,33.35,36.54,8952897
1730696400,36.38,37.54,36.14,36.86,4133334
1730782800,37.06,37.87,36.44,37.85,3625268
1730869200,42.15,42.15,39.65,39.8,10769227
1730955600,39.99,40.1,38.94,39.68,4191175
1731042000,39.44,39.78,38.71,39.19,4405740
1731301200,39.24,39.78,38.1,38.14,3268152
1731387600,38.19,38.45,37.08,37.65,3192238
1731474000,37.38,38.59,36.94,36.96,2270827
1731560400,36.74,37.045,34.795,34.98,4731279
1731646800,35.31,35.52,34.12,34.38,3801793
1731906000,34.56,35.39,34.25,35.19,4611121
1731992400,35.31,35.99,34.72,35.14,2264668
1732078800,35.27,35.895,34.675,34.93,1702012
1732165200,35.07,35.71,34.75,35.44,2049250
1732251600,35.59,36.46,35.47,36.3,2038623
1732510800,36.56,38.92,36.56,38.715,4195023
1732597200,38.71,38.75,37.8201,38.52,1879950
1732683600,38.52,39.37,38,38.19,1530148
1732856400,38.32,38.77,38.015,38.24,758684
1733115600,38.06,38.38,37.86,38.21,1624798
1733202000,38.2,38.54,37.66,37.7,1748636
1733288400,37.52,39.8099,37.39,39.21,2764163
1733374800,39.15,39.24,38.5,38.69,2209281
1733461200,38.75,39.81,38.61,39.16,1917931
1733720400,39.48,39.62,38.53,38.6,1701150
1733806800,38.56,38.71,36.945,37,1988773
1733893200,37.01,37.52,36.33,36.36,1690742
1733979600,36.32,36.7,35.8,35.86,1405897
1734066000,35.8,36.16,35.035,35.12,5386139
1734325200,34.88,35.85,34.68,35.2,3381347
1734411600,36.78,38,35.91,36.48,3635352
1734498000,36.54,36.62,33.98,34.2,3251554
1734584400,34.35,34.56,32.83,32.93,3080423
1734670800,32.75,34.02,32.57,33.58,2689159
1734930000,33.38,33.93,33.2325,33.84,1453496
1735016400,33.71,33.97,33.24,33.8,583993
1735189200,33.75,34.36,33.35,34.21,960294
1735275600,34.08,34.555,33.39,33.69,966071
1735534800,33.33,33.65,32.69,33.36,1695391
1735621200,33.55,33.66,33.09,33.45,1714699
1735794000,33.85,34.265,33.1,33.33,1464954
1735880400,33.18,33.95,33.14,33.95,1022090
1736139600,34.51,34.965,34.245,34.32,1237514
1736226000,34.46,34.62,33.9,34.13,1183105
1736312400,33.78,34.3,33.62,34.02,1924279
