T,O,H,L,C,V
1713844800,2.04,2.1,2.04,2.06,9737
1713931200,2.06,2.13,2.06,2.13,345706
1714017600,2.27,2.27,2.07,2.12,39610
1714104000,2.28,2.28,2.1401,2.22,1562259
1714363200,2.25,2.27,2.22,2.22,82151
1714449600,2.27,2.27,2.16,2.2,43155
1714536000,2.105,2.21,2.105,2.205,22828
1714622400,2.25,2.34,2.23,2.34,57132
1714708800,2.35,2.36,2.32,2.36,1103361
1714968000,2.35,2.38,2.3,2.345,94673
1715054400,2.45,2.45,2.29,2.29,38898
1715140800,2.4,2.46,2.28,2.45,580264
1715227200,2.46,2.5,2.45,2.49,66960
1715313600,2.58,2.58,2.47,2.478,98344
1715572800,2.47,2.54,2.47,2.51,48167
1715659200,2.455,2.55,2.39,2.52,63054
1715745600,2.5495,2.55,2.5,2.55,81413
1715832000,2.5,2.57,2.5,2.57,54726
1715918400,2.58,2.58,2.5,2.5502,22803
1716177600,2.59,2.64,2.54,2.56,65945
1716264000,2.4999,2.5,2.455,2.46,94640
1716350400,2.45,2.49,2.405,2.46,33371
1716436800,2.49,2.49,2.4,2.41,28758
1716523200,2.38,2.39,2.32,2.335,24793
1716868800,2.45,2.45,2.292,2.3,26225
1716955200,2.01,2.35,2.01,2.25,67895
1717041600,2.25,2.3,2.25,2.3,49007
1717128000,2.27,2.3,2.216,2.24,22340
1717387200,2.31,2.35,2.27,2.28,25507
1717473600,2.11,2.43,2.11,2.264,11303
1717560000,2.28,2.39,2.22,2.23,14000
1717646400,2.305,2.31,2.2465,2.31,22157
1717732800,2.31,2.31,2.22,2.22,34583
1717992000,2.22,2.25,2.18,2.25,60158
1718078400,2.246,2.25,2.19,2.2,5293
1718164800,2,2.2886,2,2.2014,977907
1718251200,2.215,2.25,2.1905,2.215,25210
1718337600,2.23,2.23,2.15,2.2,18919
1718596800,2.2,2.24,2.18,2.24,14232
1718683200,2.205,2.24,2.16,2.22,25043
1718856000,2.25,2.34,2.25,2.3,26067
1718942400,2.1,2.37,2.1,2.31,20550
1719201600,2.09,2.3594,2.09,2.33,91041
1719288000,2.33,2.33,2.28,2.288,3094
1719374400,2.28,2.29,2.23,2.235,35468
1719460800,2.23,2.36,2.1,2.13,19709
1719547200,2.39,2.39,2.1,2.18,22326
1719806400,1.936,2.116,1.936,2.1135,11436
1719892800,2.14,2.175,2.11,2.11,21046
1719979200,2.12,2.204,2.12,2.2,8817
1720152000,2.2,2.21,2.11,2.14,69633
1720411200,2.14,2.14,2.1,2.106,10568
1720497600,2.11,2.128,2.07,2.085,64991
1720584000,2.06,2.08,2.06,2.068,197329
1720670400,2.08,2.1992,2.08,2.168,23975
1720756800,2.17,2.18,2.15,2.17,8980
1721016000,2.22,2.22,2.07,2.15,46519
1721102400,2.138,2.15,2.0806,2.1,13023
1721188800,2.15,2.15,2.1,2.1,6810
1721275200,2.13,2.18,2.08,2.14,52920
1721361600,2.108,2.15,2.108,2.15,2085
1721620800,2.14,2.2392,2.14,2.21,74117
1721707200,2.21,2.21,2.14,2.14,17067
1721793600,2.1258,2.14,2.0735,2.14,3739
1721880000,2.14,2.14,2.0703,2.11,7418
1721966400,2.1,2.12,2.08,2.115,4841
1722225600,2.07,2.0788,2.07,2.0788,1185
1722312000,2.1,2.2,2.08,2.08,5851
1722398400,2.08,2.16,2.0765,2.101,16883
1722484800,2.1,2.12,2.08,2.1,7855
1722571200,2.07,2.074,2,2.046,29535
1722916800,1.858,2.03,1.858,2.03,56989
1723003200,2.03,2.038,2.01,2.012,12013
1723089600,2.0375,2.11,2.01,2.11,103628
1723176000,2.05,2.07,2.03,2.03,28172
1723435200,2.09,2.11,2.04,2.04,54232
1723521600,2.15,2.18,2.1,2.16,14890
1723608000,2.21,2.21,2.129,2.16,4950
1723694400,2.16,2.2319,2.041,2.23,57950
1723780800,2.22,2.23,2.22,2.23,54900
1724040000,2.25,2.3275,2.25,2.3275,60127
1724126400,2.28,2.28,2.25,2.2797,20601
1724212800,2.435,2.435,2.28,2.35,67066
1724299200,2.1,2.45,2.1,2.4388,507578
1724385600,2.2,2.42,2.2,2.418,23673
1724644800,2.42,2.42,2.35,2.36,61202
1724731200,2.36,2.45,2.28,2.43,21397
1724817600,2.4001,2.4325,2.37,2.37,19286
1724904000,2.351,2.445,2.351,2.4,20617
1724990400,2.45,2.49,2.29,2.49,574888
1725336000,2.345,2.5,2.345,2.43,3830
1725422400,2.16,2.41,2.16,2.41,57380
1725508800,2.4,2.4545,2.37,2.37,5287
1725595200,2.36,2.36,2.34,2.34,93451
1725854400,2.425,2.49,2.37,2.37,4219
1725940800,2.4,2.4,2.34,2.34,1086
1726027200,2.436,2.436,2.4,2.4,4440
1726113600,2.31,2.4788,2.31,2.41,18480
1726200000,2.43,2.455,2.38,2.4545,35310
1726459200,2.35,2.5,2.35,2.47,15117
1726545600,2.46,2.502,2.46,2.47,35135
1726632000,2.478,2.53,2.45,2.4705,10998
1726718400,2.4915,2.57,2.4915,2.57,513569
1726804800,2.56,2.569,2.537,2.5447,7471
1727064000,2.57,2.685,2.57,2.6605,519373
1727150400,2.35,2.88,2.35,2.818,1085306
1727236800,2.9,2.9,2.6,2.6609,27703
1727323200,2.83,2.83,2.72,2.83,29265
1727409600,2.84,2.85,2.73,2.8275,522622
1727668800,2.85,2.89,2.8415,2.8415,40665
