T,O,H,L,C,V
1713844800,10.4,10.4,10.3,10.39,72324
1713931200,10.51,10.6,10.5,10.6,77443
1714017600,10.61,10.61,10.45,10.6075,89437
1714104000,10.99,11.1,10.93,11.09,175366
1714363200,11.23,11.25,11.1,11.22,300628
1714449600,11.06,11.1,10.88,10.9,136715
1714536000,10.85,11.08,10.85,10.89,45557
1714622400,11.35,11.6,11.2,11.555,169995
1714708800,11.7,11.75,11.61,11.75,125263
1714968000,11.63,11.66,11.5,11.54,80608
1715054400,11.48,11.49,11.4,11.45,115472
1715140800,12.07,12.25,12.05,12.2,226882
1715227200,12.41,12.45,12.27,12.39,146202
1715313600,12.51,12.55,12.32,12.37,166042
1715572800,12.45,12.57,12.43,12.53,208640
1715659200,12.5,12.58,12.47,12.51,206300
1715745600,12.6,12.74,12.55,12.69,156131
1715832000,12.6,12.8,12.51,12.7,144234
1715918400,12.72,12.83,12.6,12.8,72861
1716177600,12.7,12.7,12.57,12.59,81359
1716264000,12.09,12.35,12.08,12.29,214871
1716350400,12.29,12.36,12.23,12.23,71089
1716436800,12.23,12.38,11.9,11.97,170475
1716523200,11.66,11.69,11.57,11.64,175856
1716868800,11.55,11.55,11.37,11.4,87818
1716955200,11.2,11.3,11.2,11.27,71907
1717041600,11.24,11.45,11.15,11.45,83265
1717128000,11.16,11.23,11.01,11.11,127676
1717387200,11.48,11.55,11.29,11.355,174304
1717473600,11.37,11.37,11.285,11.33,110271
1717560000,11.49,11.49,11.25,11.37,56706
1717646400,11.43,11.5,11.3972,11.43,56692
1717732800,11.15,11.15,10.96,11.01,92162
1717992000,11.03,11.1,10.99,11.1,36814
1718078400,10.945,10.976,10.9,10.95,103835
1718164800,10.95,11.02,10.88,10.915,175377
1718251200,11.13,11.29,11.05,11.05,48376
1718337600,10.9,10.95,10.8,10.9,38523
1718596800,10.97,11.1,10.96,11.08,55273
1718683200,11.09,11.1815,11.05,11.1815,137629
1718856000,11.71,11.79,11.63,11.67,85118
1718942400,11.57,11.62,11.51,11.545,39908
1719201600,11.54,11.6,11.47,11.545,70605
1719288000,11.5,11.5,11.2,11.22,59308
1719374400,11.35,11.38,11.2,11.24,56832
1719460800,10.68,10.68,10.45,10.488,145773
1719547200,10.5,10.56,10.47,10.4745,44841
1719806400,10.4,10.55,10.4,10.515,62685
1719892800,10.65,10.7,10.52,10.68,73802
1719979200,10.98,10.98,10.77,10.885,47593
