T,O,H,L,C,V
1713844800,31.55,32.91,31.55,32.9,27530
1713931200,33.375,33.77,33.17,33.56,54765
1714017600,33.345,33.82,32.31,33.65,19142
1714104000,33.362,35.4,33.362,34.06,12033
1714363200,34.34,34.63,34.11,34.63,13421
1714449600,34.7,34.7,34.01,34.01,18086
1714536000,33.11,34.77,33.11,34.42,9718
1714622400,35.51,36.485,35.47,36.4,21740
1714708800,35.33,36.79,35.33,36.79,12490
1714968000,36.8,36.8,35,36.04,27695
1715054400,35.33,36.74,35.33,36.54,15968
1715140800,34.57,36,34.57,35.89,9451
1715227200,37.91,37.91,36.96,37.39,16224
1715313600,38.07,40.58,38.07,39.12,18001
1715572800,40.42,40.42,37.86,39.35,7949
1715659200,40.46,40.46,37.97,39.16,14659
1715745600,38.06,39.75,38.06,39.75,25403
1715832000,41.19,41.19,38.88,40.65,24004
1715918400,38.24,39.982,38.24,39.88,10271
1716177600,40.43,40.55,39.3,40.54,12330
1716264000,39.8,39.8,38.76,38.95,10371
1716350400,39.275,39.4135,38.93,39.01,9772
1716436800,39.04,40.28,37.85,38.29,9528
1716523200,37.55,39.61,37.18,38.58,12249
1716868800,39.6,39.6,37.97,38.15,13241
1716955200,36.38,37.58,36.38,37.48,23035
1717041600,38.135,38.51,37.95,38.39,17783
1717128000,35.81,36.94,35.81,36.81,17407
1717387200,37.035,38.21,36.33,36.8,7715
1717473600,36.29,37.6425,36.29,37.2,13915
1717560000,37.4,38.15,37.4,37.96,32774
1717646400,36.3,38.53,35.87,36.92,11232
1717732800,35.0001,36.02,35.0001,35.5,9592
1717992000,34.96,35.92,34.96,35.76,10830
1718078400,35.68,35.68,34.25,34.37,16636
1718164800,33.17,34.57,33.17,33.95,18522
1718251200,35.07,35.6975,34.98,35.03,26176
1718337600,34.04,35.35,34.04,35.05,22313
1718596800,35.13,35.13,33.93,34.22,12920
1718683200,33.33,35.29,33.13,34.46,39056
1718856000,33.74,34.85,33.74,34.6,13456
1718942400,33.93,34.0099,33.71,33.81,18866
1719201600,34.265,34.74,33.16,34.26,23783
1719288000,34.39,34.39,33.3,34.13,9489
1719374400,34.89,34.89,33.01,33.605,12893
1719460800,33.05,33.14,32,32.93,13328
1719547200,34,34,31.91,32.68,17197
