T,O,H,L,C,V
1715313600,26,29.36,25.51,28.26,9709808
1715572800,30.1,32.243,29,29.04,5322878
1715659200,29.2,29.7,26.4,27.63,2833706
1715745600,27.4,27.77,25.3001,26.74,1995134
1715832000,26.23,27.45,25.55,26.61,1258647
1715918400,26.31,26.68,25.73,26,875754
1716177600,26.3,27.5592,25.74,27.11,750792
1716264000,26.73,28.945,26.53,27.04,933098
1716350400,27.21,27.35,25.77,26.61,710994
1716436800,26.1,26.99,25.82,25.92,448692
1716523200,26.13,26.36,23.1701,23.38,1109785
1716868800,23.82,24.83,22.26,24.63,1379536
1716955200,24.23,24.73,23.46,23.52,379084
1717041600,23.52,25.66,23.25,24.64,786486
1717128000,24.56,25.49,24.1,25.2,247700
1717387200,25.59,25.95,24.82,25.62,288266
1717473600,25.81,26.3,25.28,25.67,535355
1717560000,25.67,26.4,23.5702,23.84,660444
1717646400,23.94,24.69,23.54,24.04,361963
1717732800,23.99,24.4,23.6,23.74,278586
1717992000,23.7,24.9,23.125,23.66,318835
1718078400,24.56,24.68,21.42,22.12,1328528
1718164800,22.05,23,20.26,22.02,1203051
1718251200,22.12,22.39,21.39,21.39,344761
1718337600,21.21,21.39,20.375,21.06,481360
1718596800,20.96,21.205,20.04,20.47,349456
1718683200,20.38,21.66,20.37,21.38,196054
1718856000,21.83,22.55,20.74,22.53,358790
1718942400,21.83,22.11,21.15,21.16,209760
1719201600,21.07,21.62,21.01,21.26,300941
1719288000,21.08,21.4,21,21.28,179941
1719374400,21.01,22.09,21,21.65,235639
1719460800,21.54,21.54,20.05,20.18,253532
1719547200,20.21,20.3925,18.33,18.84,914155
1719806400,19.19,19.32,16.89,18.24,1889612
1719892800,18.15,18.49,17.62,18,320117
1719979200,18.3,19.91,18.1501,19.67,773687
1720152000,19.34,19.47,17.6,17.95,687408
1720411200,17.95,18.28,17.68,17.68,404785
1720497600,17.61,18.16,17.0117,17.89,290866
1720584000,17.97,18.43,17.122,18.3,496311
1720670400,18.5,19.5,18.45,19.15,501406
1720756800,19.41,19.7,18.98,19.54,239621
1721016000,19.12,19.86,18.22,19,360536
1721102400,19,19.88,18.792,19.63,296946
1721188800,19.41,19.41,18.33,18.71,213365
1721275200,18.7,19.084,17.95,18.32,141228
1721361600,18.09,18.2399,17.63,17.7,154533
1721620800,17.83,18.94,17.71,18.78,290700
1721707200,18.25,19.7048,17.94,18.63,687698
1721793600,18.18,18.18,17.05,17.19,360130
1721880000,17.51,17.8,16.8,17.27,331682
1721966400,17.48,17.8,17.11,17.25,376808
1722225600,17.41,17.99,17.3,17.82,240400
