T,O,H,L,C,V
1713844800,15.2,15.58,15,15.12,472340
1713931200,15.89,16.12,15.485,15.66,434002
1714017600,15.44,15.82,15.05,15.74,515424
1714104000,15.83,16.05,15.65,15.91,364581
1714363200,16.07,16.69,15.9,16.12,421922
1714449600,16.02,16.61,15.671,15.8,544189
1714536000,15.81,16.24,15.73,15.9,372844
1714622400,17.25,17.25,16.06,16.59,1151495
1714708800,16.2,16.5,15.8016,16.25,293029
1714968000,16.85,17.41,16.64,16.91,569841
1715054400,16.79,16.96,16.2887,16.68,383810
1715140800,16.88,17.06,16.44,16.57,487226
1715227200,20.05,21.49,19.76,21.01,4134390
1715313600,20.4,21.18,19.99,20.08,1891104
1715572800,21.4,22.35,21.26,21.52,654977
1715659200,21.52,21.82,21,21.55,397885
1715745600,21.58,21.69,20.75,20.85,631179
1715832000,20.39,20.39,19.42,19.93,565888
1715918400,19.84,20.01,19.31,19.4,463667
1716177600,19.93,21.07,19.93,20.84,825927
1716264000,19.99,20.46,19.5,20.01,294198
1716350400,19.85,20.65,19.845,20.16,334296
1716436800,19.42,19.48,18.575,19.06,582097
1716523200,18.2,18.5,17.41,17.92,878622
1716868800,18.18,18.65,18.05,18.46,267131
1716955200,17.73,18.09,17.52,17.96,356007
1717041600,17.97,18.51,17.62,18.19,965527
1717128000,18.42,19.19,17.74,17.78,1628385
1717387200,18.19,18.95,17.51,18,645291
1717473600,19.41,19.975,18.81,19.29,908705
1717560000,19.14,19.6099,18.743,19.09,393806
1717646400,19.1,19.16,18.68,19,471141
1717732800,18.93,20.055,18.93,20,563821
1717992000,19.81,20.18,19.36,20,344014
1718078400,20.03,20.165,19.64,20.04,336017
1718164800,20.36,20.6,19.54,20,335499
1718251200,20.02,20.12,19.37,19.69,619207
1718337600,19.38,19.39,18.55,18.69,302382
1718596800,18.83,19.1,18.4056,18.98,304613
1718683200,18.74,19.045,18.27,18.82,243488
1718856000,18.01,18.41,17.63,18,849303
1718942400,18.12,18.65,17.59,18.57,671820
1719201600,18.39,18.91,18.18,18.75,461168
1719288000,18.36,18.72,18.11,18.52,404170
1719374400,18.19,18.25,17.71,17.97,515558
1719460800,17.12,17.9,17.12,17.52,485499
1719547200,17.13,17.6,16.955,17.33,475314
1719806400,17.22,18.04,17,17.29,280511
1719892800,17.37,17.77,16.93,17.37,297748
1719979200,17.44,17.775,17.17,17.22,192047
1720152000,17.21,17.62,17.03,17.32,261929
1720411200,17,17.48,16.89,16.97,276272
1720497600,16.51,16.82,16.2,16.62,541979
1720584000,16.62,17.3495,16.5,17.05,441986
1720670400,17.34,17.945,17.1,17.84,391467
1720756800,18.27,18.87,17.95,18.04,743051
1721016000,17.98,18.23,17.545,18,455821
1721102400,18.23,18.88,18.015,18.58,1351932
1721188800,18.3,18.93,18.12,18.74,673567
1721275200,18.95,19.48,18.675,18.8,807840
1721361600,18.56,18.77,18.09,18.66,401497
1721620800,18.67,20.15,18.67,19.7,670504
1721707200,19.45,19.6,19.16,19.39,360222
1721793600,19,19.38,18.79,19.08,501685
1721880000,18.94,19.23,18.63,18.87,502825
1721966400,19.18,19.58,18.6,18.86,769583
1722225600,18.93,19.075,18.47,18.79,463406
1722312000,18.51,18.755,18.12,18.37,568336
1722398400,18.85,19.49,18.805,19.03,619240
1722484800,18.87,19.205,18.3,18.44,814153
1722571200,18.32,18.48,17.8,18.21,920667
1722830400,17.34,17.96,17.07,17.64,412460
1722916800,18.26,19.2,17.97,18.11,1176579
1723003200,20.5,20.5,16.14,16.65,1406497
1723089600,17.01,17.64,16.77,17.25,577378
1723176000,17.07,17.36,16.01,16.26,581522
1723435200,16.2,16.64,16.05,16.27,295217
1723521600,16.27,16.42,16.01,16.25,231622
