T,O,H,L,C,V
1713844800,24.92,24.98,24.805,24.96,195436
1713931200,24.5925,24.63,24.3881,24.435,73462
1714017600,24.1525,24.3334,24.1013,24.255,134056
1714104000,23.895,24.165,23.895,24.035,103748
1714363200,24.315,24.495,24.285,24.375,206654
1714449600,24.055,24.39,24.055,24.1825,117108
1714536000,23.455,24.335,23.455,24.065,83036
1714622400,24.15,24.3,24.055,24.225,131996
1714708800,24.325,24.475,24.18,24.305,96662
1714968000,24.59,24.65,24.5425,24.65,102648
1715054400,24.705,24.9,24.705,24.85,140022
1715140800,25.105,25.12,25.01,25.085,70208
1715227200,25.165,25.265,25.1401,25.265,85764
1715313600,25.14,25.3,25.1066,25.29,257302
1715572800,25.145,25.1588,24.9713,25.005,98832
1715659200,24.84,25.015,24.84,25.015,205614
1715745600,25.06,25.095,25.005,25.076,126560
1715832000,25.61,25.99,25.61,25.94,214104
1715918400,25.95,26.0391,25.88,26.01,154800
1716177600,25.825,26.055,25.825,25.83,71614
1716264000,25.86,26.0221,25.86,26.02,88688
1716350400,25.745,25.83,25.709,25.755,111694
1716436800,25.8425,25.862,25.69,25.75,87690
1716523200,25.64,25.7875,25.61,25.725,74558
1716868800,25.81,25.81,25.625,25.655,104018
1716955200,25.695,25.79,25.695,25.725,108218
1717041600,25.81,26.035,25.77,25.92,149196
1717128000,26.08,26.285,26.08,26.285,129582
1717387200,26.31,26.535,26.2538,26.505,189798
1717473600,26.495,26.505,26.355,26.485,119030
1717560000,26.5925,26.61,26.459,26.545,88346
1717646400,26.715,26.8763,26.655,26.845,91324
1717732800,26.6,26.765,26.6,26.68,68978
1717992000,26.565,26.595,26.42,26.505,71746
1718078400,26.235,26.25,26.08,26.18,254630
1718164800,26.66,26.66,26.4007,26.42,86802
1718251200,26.415,26.47,26.33,26.46,92388
1718337600,26.37,26.535,26.28,26.485,91102
1718596800,26.575,26.78,26.52,26.745,100482
1718683200,26.975,27.17,26.945,27.1,104408
1718856000,27.1,27.32,26.935,27.32,89522
1718942400,27.165,27.165,26.975,26.995,85504
1719201600,27.1,27.36,27.1,27.315,80846
1719288000,27.265,27.265,27.05,27.075,241586
1719374400,26.775,26.802,26.705,26.765,101730
1719460800,26.78,26.875,26.66,26.695,106826
1719547200,26.62,26.715,26.555,26.685,752556
1719806400,26.9,26.9,26.65,26.7175,181160
1719892800,26.345,26.42,26.225,26.42,185212
1719979200,26.26,26.31,26.185,26.265,97230
1720152000,26.19,26.2988,26.08,26.28,83074
1720411200,26.53,26.57,26.4275,26.475,81206
1720497600,26.6125,26.625,26.49,26.525,93934
1720584000,26.625,26.82,26.615,26.755,62166
1720670400,26.975,27.032,26.795,26.795,86598
1720756800,26.985,26.985,26.88,26.9,97690
1721016000,26.88,26.935,26.755,26.765,81872
1721102400,26.465,26.7,26.4075,26.65,101852
1721188800,26.74,26.97,26.74,26.965,85166
1721275200,27.155,27.215,26.795,26.87,96628
1721361600,26.64,26.66,26.475,26.535,141282
1721620800,26.62,26.74,26.575,26.645,132690
1721707200,26.555,26.6788,26.53,26.57,68928
1721793600,26.8625,26.895,26.68,26.68,64878
1721880000,26.8825,27.0125,26.88,26.905,91620
1721966400,26.9825,27.1585,26.9825,27.12,81146
1722225600,27.045,27.06,26.8575,26.985,94170
1722312000,27.305,27.41,27.22,27.355,65422
