symbol,price,price_change,price_percent_change
,65.04,19.36,42.38
,67.39,18.42,37.61
,15.94,4.08,34.4
,3.21,0.77,31.56
,6.39,1.5,30.67
,3.1,0.66,27.05
,14.84,2.74,22.64
,4.23,0.78,22.61
,3.36,0.58,20.86
,8.38,1.43,20.58
,74.16,12.61,20.49
,2.8,0.38,15.7
,3.52,0.47,15.57
,4.73,0.54,12.89
,3.45,0.39,12.75
,3.87,0.43,12.5
,3.54,0.38,12.03
,4.2,0.45,12.0
,4.86,0.52,11.98
,4.78,0.51,11.94
,2.25,0.24,11.94
,8.96,0.94,11.72
,6.9,0.72,11.65
,5.38,0.56,11.62
,11.83,1.23,11.6
,76.95,7.74,11.18
,3.69,0.37,11.14
,14.6,1.45,11.03
,7.39,0.72,10.79
,20.3,1.96,10.69
,5.36,0.51,10.52
,4.84,0.46,10.5
,9.65,0.9,10.29
,8.5,0.79,10.25
,6.38,0.58,10.0
,13.45,1.22,9.98
,20.2,1.83,9.96
,4.34,0.39,9.87
,2.36,0.21,9.77
,7.76,0.69,9.68
,26.67,2.3,9.44
,5.26,0.44,9.13
,6.73,0.55,8.9
,2.59,0.21,8.82
,19.87,1.6,8.76
,8.15,0.65,8.67
,6.15,0.49,8.66
,3.56,0.28,8.54
,7.51,0.58,8.37
,2.22,0.17,8.29
,37.62,2.86,8.23
,4.1,0.31,8.18
,3.92,0.29,8.15
,4.35,0.33,8.07
,27.97,2.07,7.99
,2.32,0.17,7.91
,19.36,1.37,7.62
,13.02,0.92,7.6
,6.29,0.44,7.52
,22.77,1.59,7.51
,2.44,0.17,7.49
,15.26,1.04,7.31
,2.36,0.16,7.27
,15.92,1.07,7.21
,5.05,0.33,6.99
,2.92,0.19,6.96
,5.87,0.38,6.92
,11.93,0.77,6.9
,15.5,1.0,6.9
,8.48,0.55,6.87
,4.84,0.31,6.84
,45.3,2.89,6.81
,30.01,1.9,6.76
,3.48,0.22,6.75
,36.18,2.27,6.69
,10.46,0.66,6.68
,2.4,0.15,6.67
,11.3,0.7,6.65
,40.33,2.51,6.64
,5.8,0.36,6.62
,6.5,0.4,6.56
,92.03,5.62,6.5
,4.16,0.25,6.39
,5.17,0.31,6.38
,3.01,0.18,6.36
,5.7,0.34,6.34
,8.96,0.53,6.29
,3.74,0.21,6.09
,5.4,0.31,6.09
,96.86,5.54,6.07
,7.0,0.4,6.06
,3.35,0.19,6.01
,6.04,0.34,5.96
,2.31,0.13,5.96
,57.54,3.22,5.93
,10.61,0.59,5.89
,6.89,0.38,5.84
,2.37,0.13,5.8
,2.38,0.13,5.78
,10.86,0.59,5.74
