symbol,price,price_change,price_percent_change
TNXP,,4.54,24.96
ALNY,,29.01,11.44
NFE,,0.78,7.58
CYTK,,2.96,6.87
SMCI,,2.47,6.32
ROOT,,9.93,6.51
RIVN,,0.68,6.25
CELH,,1.68,5.38
W,,1.57,4.98
RDDT,,5.44,5.00
IONQ,,1.04,4.92
TEM,,2.07,4.30
BA,,8.43,4.88
CPRX,,1.06,4.57
ASTS,,1.14,4.62
GME,,1.06,4.51
ROKU,,3.27,4.43
ACHR,,0.36,4.35
SIG,,2.24,3.98
DSNKY,,0.96,4.01
JOBY,,0.24,3.71
AEO,,0.45,3.84
MUFG,,0.56,3.91
RBLX,,2.17,3.75
WGS,,3.55,3.67
PTON,,0.22,3.45
TSLA,,8.81,3.73
PINS,,1.08,3.44
ZK,,0.91,3.47
GRND,,0.54,3.17
