,Unnamed: 0,Volume,Last,Chg,% Chg
0,Boxlight Corp. (BOXL),1.8M,3.1,1.05,51.22
1,GDEV Inc. (GDEV),263.6K,20.9,6.64,46.56
2,Pony AI Inc. ADR (PONY),6.2M,23.61,5.73,32.05
3,Celsius Holdings Inc. (CELH),62.2M,32.62,7.09,27.77
4,Vicor Corp. (VICR),1.3M,63.67,11.81,22.77
5,Solaris Energy Infrastructure Inc. (SEI),3.6M,35.96,6.62,22.56
6,OSR Holdings Inc. (OSRH),24.8M,4.22,0.77,22.32
7,ACELYRIN Inc. (SLRN),12.6M,2.6,0.43,19.82
8,Farmer Bros. Co. (FARM),1.5M,3.04,0.44,16.92
9,Mercer International Inc. (MERC),1.4M,7.69,1.11,16.87
10,DouYu International Holdings Ltd. ADR (DOYU),1.3M,7.2,1.0,16.13
11,U-BX Technology Ltd. (UBXG),185.9K,3.5,0.48,15.89
12,Youxin Technology Ltd. Cl A (YAAS),125.8K,2.62,0.33,14.41
13,Diginex Ltd. (DGNX),263.4K,50.0,6.2,14.16
14,Innodata Inc. (INOD),12.8M,61.91,7.35,13.47
15,Tencent Music Entertainment Group ADR (TME),24.7M,14.38,1.55,12.08
16,World Kinect Corp. (WKC),2.3M,30.73,3.13,11.34
17,BitFuFu Inc. (FUFU),324.1K,5.35,0.52,10.77
18,The9 Ltd. ADR (NCTY),208.4K,16.47,1.59,10.69
19,SiNtx Technologies Inc. (SINT),5.5M,5.31,0.51,10.62
20,Avalon GloboCare Corp. (ALBT),97.3K,5.42,0.52,10.61
21,B. Riley Financial Inc. (RILY),4.8M,3.4,0.32,10.39
22,Cyngn Inc. (CYN),1.7M,7.76,0.69,9.76
23,Callan JMB Inc. (CJMB),331.9K,5.53,0.49,9.72
24,SAG Holdings Ltd. (SAG),548.5K,3.05,0.27,9.71
25,Sow Good Inc. (SOWG),85.4K,3.0,0.27,9.69
26,Aurora Mobile Ltd. ADR (JG),197.3K,11.8,1.03,9.56
27,Zai Lab Ltd. ADR (ZLAB),2.1M,33.78,2.79,9.0
28,Sabre Corp. (SABR),15.9M,4.52,0.37,8.92
29,Agora Inc. ADR (API),1.8M,6.16,0.49,8.64
30,Huize Holding Ltd. ADR (HUIZ),61.1K,3.78,0.29,8.46
31,Firefly Neuroscience Inc. (AIFF),6.9M,7.79,0.59,8.19
32,Armlogi Holding Corp. (BTOC),168.5K,2.66,0.2,8.13
33,StealthGas Inc. (GASS),456.4K,5.98,0.43,7.75
34,Viking Therapeutics Inc. (VKTX),15.7M,34.07,2.44,7.71
35,Ascentage Pharma Group International ADR (AAPG),167.4K,21.17,1.5,7.63
36,Astronics Corp. (ATRO),1.1M,20.2,1.42,7.56
37,MercadoLibre Inc. (MELI),1.3M,2260.0,149.53,7.09
38,MeiraGTx Holdings PLC (MGTX),953.5K,7.3,0.47,6.88
39,CeriBell Inc. (CBLL),320.3K,24.69,1.58,6.84
40,Universal Display Corp. (OLED),2.0M,157.3,9.96,6.76
41,AMN Healthcare Services Inc. (AMN),3.0M,27.58,1.74,6.73
42,Axsome Therapeutics Inc. (AXSM),1.5M,137.75,8.65,6.7
43,Xinyuan Real Estate Co. Ltd. ADR (XIN),82.2K,3.04,0.19,6.56
44,BJ's Restaurants Inc. (BJRI),794.0K,38.05,2.31,6.46
45,Federal Agricultural Mortgage Corp. Cl C (AGM),73.8K,208.09,12.42,6.35
46,Hesai Group ADR (HSAI),6.9M,19.63,1.12,6.05
47,Tantech Holdings Ltd. (TANH),3.1M,3.17,0.18,6.02
48,iRhythm Technologies Inc. (IRTC),1.8M,119.44,6.77,6.01
49,Big Tree Cloud Holdings Ltd. (DSY),66.6K,2.17,0.12,5.9
50,Ryerson Holding Corp. (RYI),395.9K,24.3,1.35,5.88
51,Verona Pharma PLC ADR (VRNA),2.1M,67.96,3.77,5.87
52,Q32 Bio Inc. (QTTB),450.3K,2.57,0.14,5.76
53,Alibaba Group Holding Ltd. ADR (BABA),73.6M,143.75,7.78,5.72
54,PDD Holdings Inc. ADR (PDD),16.8M,131.34,6.93,5.57
55,Lufax Holding Ltd. ADR (LU),5.6M,3.1,0.16,5.44
56,Dingdong (Cayman) Ltd. ADR (DDL),1.2M,3.71,0.19,5.4
57,China Yuchai International Ltd. (CYD),2.0M,20.0,1.02,5.37
58,e.l.f. Beauty Inc. (ELF),3.0M,74.92,3.81,5.36
59,Moderna Inc. (MRNA),21.2M,35.53,1.8,5.34
60,Owlet Inc. (OWLT),62.9K,5.22,0.26,5.24
61,Intelligent Bio Solutions Inc. (INBS),329.6K,2.21,0.11,5.24
62,Precipio Inc. (PRPO),79.6K,10.14,0.5,5.19
63,Novo Nordisk A/S ADR (NVO),15.1M,88.08,4.34,5.18
64,Clear Secure Inc. (YOU),4.1M,23.55,1.16,5.18
65,One Stop Systems Inc. (OSS),1.4M,3.92,0.19,5.09
66,HUTCHMED (China) Ltd. ADR (HCM),137.9K,16.11,0.78,5.09
67,Arcturus Therapeutics Holdings Inc. (ARCT),435.8K,17.77,0.85,5.02
68,Nvni Group Ltd. (NVNI),398.1K,2.51,0.12,5.02
69,Exelixis Inc. (EXEL),3.5M,36.85,1.76,5.02
70,CS Disco Inc. (LAW),431.1K,5.25,0.25,5.0
71,Alvotech (ALVO),188.8K,12.28,0.58,4.96
72,Vigil Neuroscience Inc. (VIGL),759.3K,3.03,0.14,4.84
73,MP Materials Corp. (MP),4.7M,24.3,1.12,4.83
74,RLX Technology Inc. ADR (RLX),15.3M,2.43,0.11,4.74
75,LexinFintech Holdings Ltd. ADR (LX),6.1M,9.36,0.42,4.7
76,Tuya Inc. ADR (TUYA),16.6M,4.06,0.18,4.64
77,Applied Digital Corp. (APLD),64.5M,10.65,0.47,4.62
78,BeiGene Ltd. ADR (ONC),811.1K,255.37,11.17,4.57
79,N-able Inc. (NABL),953.0K,10.3,0.45,4.57
80,Primo Brands Corp. (PRMB),3.8M,34.07,1.48,4.54
81,Safe Pro Group Inc. (SPAI),80.2K,4.02,0.17,4.42
82,Scholastic Corp. (SCHL),472.5K,20.6,0.87,4.41
83,Clearwater Analytics Holdings Inc. (CWAN),5.1M,31.26,1.32,4.41
84,Sandisk Corp. (SNDKV),1.3M,50.37,2.11,4.37
85,Agios Pharmaceuticals Inc. (AGIO),1.0M,35.22,1.47,4.36
86,Grid Dynamics Holdings Inc. (GDYN),2.7M,21.37,0.89,4.35
87,J&J Snack Foods Corp. (JJSF),140.4K,129.29,5.33,4.3
88,Rayonier Advanced Materials Inc. (RYAM),687.1K,7.38,0.3,4.24
89,B&G Foods Inc. (BGS),2.0M,6.67,0.27,4.22
90,Kenvue Inc. (KVUE),25.7M,23.32,0.93,4.15
91,Reitar Logtech Holdings Ltd. (RITR),103.8K,2.77,0.11,4.14
92,Li Auto Inc. ADR (LI),12.8M,27.46,1.09,4.13
93,Denny's Corp. (DENN),1.6M,5.32,0.21,4.11
94,Rocket Cos. Inc. (RKT),5.3M,13.25,0.52,4.08
95,Hershey Co. (HSY),4.1M,172.86,6.76,4.07
96,Coca-Cola Femsa S.A.B. de C.V. ADR (KOF),325.7K,88.39,3.45,4.06
97,Cyclerion Therapeutics Inc. (CYCN),153.5K,2.82,0.11,4.06
98,Maravai LifeSciences Holdings Inc. (MRVI),5.5M,4.11,0.16,4.05
99,Mondelez International Inc. Cl A (MDLZ),16.3M,64.67,2.5,4.02
