,Unnamed: 0,Volume,Last,Chg,% Chg
0,TTEC Holdings Inc. (TTEC),17.0M,4.99,1.72,52.6
1,CervoMed Inc. (CRVO),2.8M,13.58,3.6,36.07
2,Alumis Inc. (ALMS),2.8M,9.84,2.6,35.91
3,Alaunos Therapeutics Inc. (TCRT),13.6M,2.8,0.64,29.63
4,Tivic Health Systems Inc. (TIVC),951.1K,3.25,0.73,28.97
5,Cognyte Software Ltd. (CGNT),2.0M,9.95,1.73,21.05
6,Bionano Genomics Inc. (BNGO),210.5K,3.75,0.65,20.97
7,Vishay Precision Group Inc. (VPG),1.1M,28.26,4.75,20.2
8,Hub Cyber Security Ltd. (HUBC),387.7K,3.62,0.61,20.17
9,TuHURA Biosciences Inc. (HURA),204.1K,3.48,0.57,19.59
10,Silence Therapeutics PLC ADR (SLN),268.9K,2.89,0.47,19.42
11,DBV Technologies S.A. ADR (DBVT),484.5K,7.7,1.24,19.2
12,Inotiv Inc. (NOTV),761.5K,2.87,0.46,19.09
13,Micropolis Holding Co. (MCRP),175.3K,3.45,0.55,18.97
14,Jinxin Technology Holding Co. ADR (NAMI),50.2K,2.95,0.45,18.0
15,zSpace Inc. (ZSPC),84.2K,8.78,1.32,17.69
16,Mainz Biomed N.V. (MYNZ),127.5K,3.44,0.51,17.41
17,CoreWeave Inc. Cl A (CRWV),48.9M,61.36,8.79,16.72
18,Hyperscale Data Inc. (GPUS),83.0K,2.7,0.39,16.63
19,Sionna Therapeutics Inc. (SION),294.6K,11.83,1.67,16.44
20,Clene Inc. (CLNN),57.2K,3.0,0.42,16.28
21,Red Cat Holdings Inc. (RCAT),7.4M,7.42,1.03,16.12
22,Vision Marine Technologies Inc. (VMAR),2.0M,5.07,0.68,15.39
23,Monopar Therapeutics Inc. (MNPR),69.3K,38.53,5.1,15.26
24,authID Inc. (AUID),980.1K,5.52,0.73,15.24
25,Karyopharm Therapeutics Inc. (KPTI),92.3K,4.06,0.52,14.69
26,Galecto Inc. (GLTO),107.0K,3.23,0.41,14.54
27,Junee Ltd. (JUNE),158.2K,10.81,1.36,14.39
28,Palvella Therapeutics Inc. (PVLA),68.2K,26.97,3.38,14.33
29,Telomir Pharmaceuticals Inc. (TELO),481.2K,3.13,0.39,14.23
30,Amylyx Pharmaceuticals Inc. (AMLX),760.6K,3.78,0.44,13.17
31,New Fortress Energy LLC Cl A (NFE),8.8M,8.57,0.99,13.06
32,Bakkt Holdings Inc. (BKKT),398.0K,10.26,1.18,13.0
33,Petco Health & Wellness Co. Inc. (WOOF),15.3M,3.34,0.38,12.84
34,Aardvark Therapeutics Inc. (AARD),92.8K,9.35,1.06,12.79
35,Siyata Mobile Inc. (SYTA),827.2K,2.39,0.27,12.74
36,Exagen Inc. (XGN),262.6K,4.43,0.5,12.72
37,X Financial ADR (XYF),491.1K,16.0,1.8,12.68
38,AngioDynamics Inc. (ANGO),2.5M,10.86,1.2,12.42
39,Park Ha Biological Technology Co. Ltd. (PHH),562.0K,13.25,1.46,12.38
40,Ocular Therapeutix Inc. (OCUL),1.9M,7.34,0.8,12.23
41,Yoshiharu Global Co. (YOSH),97.9K,16.43,1.74,11.84
42,Denali Therapeutics Inc. (DNLI),3.7M,13.74,1.45,11.8
43,Auddia Inc. (AUUD),129.1K,4.32,0.45,11.63
44,Aclarion Inc. (ACON),135.5K,12.61,1.3,11.49
45,Outset Medical Inc. (OM),59.2K,12.15,1.24,11.37
46,Avidity Biosciences Inc. (RNA),3.2M,29.77,3.03,11.33
47,Adverum Biotechnologies Inc. (ADVM),154.9K,4.26,0.43,11.23
48,Intuitive Machines Inc. Cl A (LUNR),9.0M,8.3,0.83,11.18
49,SpringWorks Therapeutics Inc. (SWTX),2.5M,46.52,4.64,11.08
50,BranchOut Food Inc. (BOF),216.9K,2.41,0.24,11.06
51,Zenas BioPharma Inc. (ZBIO),157.8K,8.43,0.83,10.92
