,Unnamed: 0,Volume,Last,Chg,% Chg
0,Redfin Corp. (RDFN),872.0K,9.77,3.95,67.87
1,Checkpoint Therapeutics Inc. (CKPT),61.9M,3.98,1.51,61.13
2,Protagonist Therapeutics Inc. (PTGX),5.2M,55.95,17.6,45.89
3,Bally's Corp. (BALY),86.1K,17.3,5.18,42.74
4,Mineralys Therapeutics Inc. (MLYS),15.2M,14.96,4.44,42.21
5,Trevi Therapeutics Inc. (TRVI),57.7M,6.07,1.77,41.16
6,Pheton Holdings Ltd. Cl A (PTHL),495.0K,3.18,0.89,38.48
7,Atlantic International Corp. (ATLN),58.4K,4.87,1.3,36.41
8,LZ Technology Holdings Ltd. Cl B (LZMH),703.6K,15.66,3.62,30.07
9,Dogwood Therapeutics Inc. (DWTX),11.0M,8.44,1.84,27.88
10,Skyline Builders Group Holding Ltd. Cl A (SKBL),399.0K,10.85,2.18,25.14
11,SolarBank Corp. (SUUN),626.1K,4.49,0.8,21.68
12,CTRL Group Ltd. (MCTR),255.5K,5.75,0.95,19.79
13,Currenc Group Inc. (CURR),755.3K,2.63,0.38,16.89
14,Wang & Lee Group Inc. (WLGS),694.1K,4.42,0.62,16.32
15,Veren Inc. (VRN),65.8M,5.7,0.79,16.09
16,Medicus Pharma Ltd. (MDCX),170.2K,3.4,0.35,11.48
17,Karyopharm Therapeutics Inc. (KPTI),233.1K,7.66,0.77,11.18
18,Pro-Dex Inc. (PDEX),101.8K,44.37,4.29,10.7
19,Nuvectis Pharma Inc. (NVCT),167.9K,7.62,0.69,9.96
20,WK Kellogg Co. (KLG),2.4M,21.97,1.92,9.58
21,Embecta Corp. (EMBC),910.7K,13.96,1.21,9.49
22,908 Devices Inc. (MASS),1.7M,3.02,0.26,9.42
23,Electrovaya Inc. (ELVA),140.8K,2.45,0.21,9.37
24,iHuman Inc. ADR (IH),156.0K,2.27,0.19,9.13
25,Xeris Biopharma Holdings Inc. (XERS),6.1M,4.59,0.35,8.25
26,Magic Software Enterprises Ltd. (MGIC),386.4K,12.85,0.95,7.98
27,Carter's Inc. (CRI),3.3M,43.96,3.23,7.93
28,Dave & Buster's Entertainment Inc. (PLAY),1.6M,20.81,1.51,7.85
29,QuantaSing Group Ltd. ADR (QSG),83.2K,2.66,0.19,7.69
30,Rimini Street Inc. (RMNI),888.6K,3.96,0.28,7.61
31,Mueller Water Products Inc. (MWA),5.4M,26.9,1.85,7.39
32,ODP Corp. (ODP),952.6K,17.81,1.2,7.22
33,Staar Surgical Co. (STAA),2.0M,19.65,1.31,7.14
34,Kratos Defense & Security Solutions Inc. (KTOS),7.2M,29.18,1.89,6.93
35,Oncocyte Corp. (OCX),217.1K,4.17,0.27,6.92
36,Belpointe PREP LLC (OZ),57.1K,78.04,5.04,6.9
37,Beacon Roofing Supply Inc. (BECN),4.7M,118.52,7.42,6.68
38,GH Research PLC (GHRS),421.6K,11.2,0.7,6.67
39,Core Natural Resources Inc. (CNR),1.3M,71.58,4.26,6.33
40,WillScot Holdings Corp. (WSC),8.8M,29.76,1.69,6.02
41,Belite Bio Inc. ADR (BLTE),169.1K,66.95,3.76,5.95
42,Arq Inc. (ARQ),421.6K,5.17,0.29,5.94
43,OFS Capital Corp. (OFS),238.8K,9.45,0.52,5.82
44,Polar Power Inc. (POLA),171.8K,3.15,0.17,5.7
45,Toro Co. (TTC),2.2M,77.24,3.99,5.45
46,TTEC Holdings Inc. (TTEC),649.8K,3.73,0.19,5.37
47,Regeneron Pharmaceuticals Inc. (REGN),1.6M,744.83,37.32,5.27
48,2seventy bio Inc. (TSVT),583.7K,2.8,0.14,5.26
49,Aris Water Solutions Inc. (ARIS),1.2M,28.04,1.31,4.9
50,Stevanato Group S.p.A. (STVN),621.0K,22.6,1.04,4.82
51,e.l.f. Beauty Inc. (ELF),4.8M,74.04,3.36,4.75
52,AES Corp. (AES),20.8M,11.78,0.53,4.71
53,ProFrac Holding Corp. (ACDC),605.2K,7.38,0.33,4.68
54,Oruka Therapeutics Inc. (ORKA),225.5K,10.94,0.48,4.59
55,NextEra Energy Inc. (NEE),25.3M,76.16,3.33,4.57
56,Amplify Energy Corp. (AMPY),1.1M,3.96,0.17,4.49
57,Park Ha Biological Technology Co. Ltd. (PHH),409.4K,8.03,0.34,4.46
58,Insperity Inc. (NSP),861.0K,94.21,3.85,4.26
59,Aldeyra Therapeutics Inc. (ALDX),747.1K,6.62,0.27,4.25
60,Equinor ASA ADR (EQNR),5.5M,24.15,0.98,4.23
61,Medifast Inc. (MED),253.4K,15.04,0.6,4.16
62,National Beverage Corp. (FIZZ),353.5K,42.56,1.69,4.14
63,Service Corp. International (SCI),2.6M,84.16,3.3,4.08
64,Clearway Energy Inc. Cl A (CWEN.A),457.7K,26.97,1.05,4.05
65,Western Midstream Partners L.P. (WES),1.9M,40.49,1.57,4.03
66,Harley-Davidson Inc. (HOG),5.5M,27.14,1.05,4.02
67,ICF International Inc. (ICFI),451.3K,88.0,3.35,3.96
68,Etsy Inc. (ETSY),7.0M,48.65,1.85,3.95
69,Sandisk Corp. (SNDK),5.2M,53.0,2.0,3.92
70,Claros Mortgage Trust Inc. (CMTG),2.1M,3.19,0.12,3.91
71,Mayville Engineering Co. Inc. (MEC),197.9K,14.92,0.56,3.9
72,Apogee Therapeutics Inc. (APGE),976.3K,37.54,1.4,3.87
73,Hooker Furnishings Corp. (HOFT),131.5K,12.88,0.48,3.87
74,Sight Sciences Inc. (SGHT),679.2K,2.45,0.09,3.81
75,Array Technologies Inc. (ARRY),6.0M,6.38,0.23,3.74
76,Anavex Life Sciences Corp. (AVXL),909.1K,8.99,0.32,3.69
77,Clearway Energy Inc. Cl C (CWEN),1.5M,28.63,1.01,3.66
78,Infinity Natural Resources Inc. (INR),385.2K,16.22,0.57,3.64
79,Cracker Barrel Old Country Store Inc. (CBRL),1.7M,44.34,1.52,3.55
80,Range Resources Corp. (RRC),2.9M,36.46,1.24,3.52
81,Tonix Pharmaceuticals Holding Corp. (TNXP),2.3M,13.47,0.45,3.46
82,Revolve Group Inc. (RVLV),2.0M,24.87,0.83,3.45
83,Lantheus Holdings Inc. (LNTH),1.6M,110.01,3.67,3.45
84,Advance Auto Parts Inc. (AAP),4.3M,36.58,1.21,3.42
85,American Vanguard Corp. (AVD),211.9K,4.84,0.16,3.42
86,Brookfield Renewable Corp. (BEPC),1.4M,28.61,0.94,3.4
87,EPWK Holdings Ltd. Cl A (EPWK),271.8K,4.89,0.16,3.38
88,South Bow Corp. (SOBO),2.1M,24.86,0.81,3.37
89,Peabody Energy Corp. (BTU),5.0M,12.9,0.42,3.37
90,DaVita Inc. (DVA),1.5M,151.9,4.88,3.32
91,Bristol Myers Squibb Co. (BMY),20.3M,63.11,2.02,3.31
92,Ormat Technologies Inc. (ORA),1.4M,72.93,2.29,3.24
93,Cable One Inc. (CABO),222.1K,286.45,8.8,3.17
94,National CineMedia Inc. (NCMI),1.2M,5.38,0.17,3.16
95,Acushnet Holdings Corp. (GOLF),791.6K,70.67,2.16,3.15
96,Antero Resources Corp. (AR),6.9M,34.69,1.05,3.12
97,Vince Holding Corp. (VNCE),116.7K,2.35,0.07,3.07
98,ATN International Inc. (ATNI),137.0K,20.5,0.61,3.07
99,CME Group Inc. Cl A (CME),4.4M,262.28,7.71,3.03
