,Unnamed: 0,Volume,Last,Chg,% Chg
0,American Rebel Holdings Inc. (AREB),59.2M,18.32,14.36,362.63
1,SOBR Safe Inc. (SOBR),852.5K,4.83,1.36,39.15
2,Regencell Bioscience Holdings Ltd. (RGC),129.6K,33.4,9.1,37.45
3,iCoreConnect Inc. (ICCT),69.3M,5.67,1.44,34.01
4,USA Rare Earth Inc. (USAR),6.9M,8.02,1.52,23.38
5,PAMT Corp. (PAMT),135.5K,13.51,2.4,21.6
6,MarketWise Inc. (MKTW),53.3K,10.73,1.5,16.25
7,Local Bounti Corp. (LOCL),119.6K,3.25,0.43,15.25
8,Alumis Inc. (ALMS),517.2K,9.84,1.29,15.16
9,Antelope Enterprise Holdings Ltd. (AEHL),279.9K,2.4,0.3,14.47
10,MicroAlgo Inc. (MLGO),4.4M,20.84,2.39,12.95
11,Lion Group Holding Ltd. ADR (LGHL),243.3K,3.55,0.4,12.7
12,Universe Pharmaceuticals Inc. (UPC),206.6K,3.22,0.34,11.98
13,Waton Financial Ltd. (WTF),2.3M,6.53,0.67,11.44
14,Foghorn Therapeutics Inc. (FHTX),181.1K,3.51,0.36,11.43
15,Guess? Inc. (GES),1.6M,10.98,0.94,9.36
16,Cloudastructure Inc. Cl A (CSAI),770.8K,4.85,0.4,8.99
17,On Holding AG (ONON),13.1M,40.76,3.12,8.27
18,Victoria's Secret & Co. (VSCO),5.8M,16.02,1.15,7.73
19,Installed Building Products Inc. (IBP),249.5K,175.98,12.19,7.44
20,Intercont (Cayman) Ltd. (NCT),386.1K,6.17,0.42,7.3
21,Caesarstone Ltd. (CSTE),79.0K,2.55,0.17,7.14
22,Kohl's Corp. (KSS),14.0M,7.11,0.47,7.08
23,Columbia Sportswear Co. (COLM),1.1M,71.84,4.65,6.92
24,Helport AI Ltd. (HPAI),50.8K,6.77,0.43,6.78
25,Gap Inc. (GAP),11.3M,19.02,1.18,6.61
26,Arhaus Inc. (ARHS),1.8M,7.52,0.47,6.59
27,Nxu Inc. (NXU),102.1K,2.49,0.15,6.41
28,TopBuild Corp. (BLD),341.9K,302.39,18.17,6.39
29,Skechers USA Inc. Cl A (SKX),3.8M,52.04,3.08,6.29
30,Journey Medical Corp. (DERM),221.8K,7.0,0.41,6.22
31,Hovnanian Enterprises Inc. Cl A (HOV),76.8K,100.22,5.84,6.19
32,D.R. Horton Inc. (DHI),4.4M,129.84,7.54,6.16
33,Blaize Holdings Inc. (BZAI),192.3K,2.16,0.12,5.89
34,Crocs Inc. (CROX),2.1M,101.57,5.6,5.84
35,Novavax Inc. (NVAX),4.2M,5.92,0.32,5.71
36,C3is Inc. (CISS),364.4K,3.66,0.2,5.63
37,Dream Finders Homes Inc. (DFH),393.0K,22.49,1.18,5.54
38,Carter's Inc. (CRI),876.4K,37.53,1.96,5.51
39,GameStop Corp. Cl A (GME),10.5M,22.26,1.16,5.5
40,Simulations Plus Inc. (SLP),317.9K,25.09,1.27,5.35
41,Nike Inc. Cl B (NKE),42.5M,58.54,2.96,5.33
42,Wolverine World Wide Inc. (WWW),1.1M,11.7,0.58,5.22
43,Deckers Outdoor Corp. (DECK),4.7M,106.13,5.25,5.2
44,Abercrombie & Fitch Co. (ANF),3.1M,73.74,3.48,4.95
45,Oxford Industries Inc. (OXM),324.3K,57.46,2.63,4.8
46,Urban Outfitters Inc. (URBN),2.6M,47.39,2.15,4.75
