,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,WRD,WeRide Inc.,,9.80 +0.96 (+10.86%),0.96,+10.86%,2.39M,1.945M,2.699B,-,-46.59%,
1,IMPUY,Impala Platinum Holdings Limited,,5.16 +0.49 (+10.49%),0.49,+10.49%,163732,211921,4.971B,-,-6.97%,
2,SMPL,The Simply Good Foods Company,,36.44 +3.26 (+9.81%),3.26,+9.81%,1.093M,974122,3.682B,25.85,2.44%,
3,HMY,Harmony Gold Mining Company Limited,,14.15 +1.18 (+9.10%),1.18,+9.10%,5.598M,7.413M,9.073B,16.45,46.39%,
4,XIACY,Xiaomi Corporation,,26.30 +2.20 (+9.13%),2.2,+9.13%,115137,947167,141.613B,41.09,116.53%,
5,IAG,IAMGOLD Corporation,,6.30 +0.49 (+8.35%),0.49,+8.35%,15.841M,12.618M,3.618B,4.20,60.50%,
6,DJTWW,Trump Media & Technology Group Corp.,,11.84 +0.94 (+8.62%),0.94,+8.62%,51224,82046,3.781B,-,36.94%,
7,TKAMY,thyssenkrupp AG,,9.51 +0.72 (+8.03%),0.72,+8.03%,21368,159991,6.313B,-,55.40%,
8,CDE,"Coeur Mining, Inc.",,5.17 +0.36 (+7.48%),0.36,+7.48%,9.237M,19.753M,3.304B,34.47,1.91%,
9,ONTO,Onto Innovation Inc.,,113.35 +7.75 (+7.34%),7.75,+7.34%,920819,1.052M,5.585B,27.92,-42.71%,
10,ANGPY,Anglo American Platinum Limited,,5.38 +0.37 (+7.40%),0.37,+7.40%,94421,125519,8.757B,23.39,-29.33%,
11,DJT,Trump Media & Technology Group Corp.,,17.83 +1.17 (+7.02%),1.17,+7.02%,6.291M,7.293M,3.934B,-,-51.37%,
12,EGO,Eldorado Gold Corporation,,16.68 +1.05 (+6.72%),1.05,+6.72%,1.389M,2.046M,3.429B,11.42,2.16%,
13,AU,AngloGold Ashanti plc,,35.38 +2.22 (+6.68%),2.22,+6.68%,3.669M,2.651M,17.813B,15.18,43.92%,
14,OLN,Olin Corporation,,19.09 +1.13 (+6.29%),1.13,+6.29%,1.321M,1.943M,2.197B,20.98,-68.17%,
15,DAL,"Delta Air Lines, Inc.",,38.03 +2.15 (+5.99%),2.15,+5.99%,14.07M,11.182M,24.566B,7.14,-22.40%,
16,MPNGY,Meituan,,36.20 +2.20 (+6.47%),2.2,+6.47%,54624,513595,117.722B,23.35,30.82%,
17,TFPM,Triple Flag Precious Metals Corp.,,19.53 +1.18 (+6.46%),1.18,+6.46%,251076,276900,3.932B,-,16.07%,
18,KGC,Kinross Gold Corporation,,12.64 +0.68 (+5.69%),0.68,+5.69%,9.914M,21.9M,15.553B,16.42,87.46%,
19,AVAV,"AeroVironment, Inc.",,127.68 +6.65 (+5.49%),6.65,+5.49%,244526,471227,3.603B,110.07,-17.91%,
20,GFI,Gold Fields Limited,,21.20 +1.16 (+5.79%),1.16,+5.79%,3.313M,3.607M,19.405B,15.36,15.97%,
21,AGI,Alamos Gold Inc.,,25.92 +1.42 (+5.80%),1.42,+5.80%,2.396M,3.133M,10.916B,37.57,61.61%,
22,INTC,Intel Corporation,,19.15 +1.02 (+5.60%),1.02,+5.60%,65.1M,107.315M,83.483B,-,-51.26%,
23,GT,The Goodyear Tire & Rubber Company,,8.91 +0.43 (+5.07%),0.43,+5.07%,3.292M,6.127M,2.54B,37.12,-33.07%,
24,ORLA,Orla Mining Ltd.,,8.70 +0.41 (+4.95%),0.41,+4.95%,627602,1.103M,2.813B,32.22,102.20%,
25,ARM,Arm Holdings plc,,90.18 +4.36 (+5.08%),4.36,+5.08%,3.638M,6.018M,95.05B,118.66,-31.44%,
26,BVN,Compañía de Minas Buenaventura S.A.A.,,13.60 +0.66 (+5.05%),0.66,+5.05%,735242,1.083M,3.712B,9.38,-19.73%,
27,PAAS,Pan American Silver Corp.,,22.81 +1.09 (+4.99%),1.09,+4.99%,2.833M,3.435M,8.265B,73.56,14.14%,
28,CAMT,Camtek Ltd.,,54.88 +2.56 (+4.89%),2.56,+4.89%,252351,574275,2.502B,22.68,-34.71%,
29,STVN,Stevanato Group S.p.A.,,19.36 +0.79 (+4.25%),0.79,+4.25%,161595,360808,5.283B,41.19,-35.97%,
30,AMD,"Advanced Micro Devices, Inc.",,81.80 +3.59 (+4.59%),3.59,+4.59%,30.803M,39.259M,132.895B,81.80,-53.21%,
31,WK,Workiva Inc.,,64.72 +2.81 (+4.54%),2.81,+4.54%,467119,775200,3.632B,-,-22.02%,
32,LYFT,"Lyft, Inc.",,10.43 +0.46 (+4.61%),0.46,+4.61%,7.983M,19.698M,4.36B,173.83,-45.82%,
