,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,VRN,Veren Inc.,,5.78 +0.08 (+1.40%),0.08,+1.40%,459891,17.717M,3.536B,18.06,-24.70%,
1,LUV,Southwest Airlines Co.,,32.00 +3.82 (+13.56%),3.82,+13.56%,1.772M,8.382M,18.965B,42.11,-2.02%,
2,HSAI,Hesai Group,,19.35 +3.34 (+20.83%),3.34,+20.83%,1.851M,3.372M,2.466B,-,210.27%,
3,XPEV,XPeng Inc.,,25.48 +2.53 (+11.02%),2.53,+11.02%,1.163M,10.758M,24.178B,-,122.38%,
4,MTN,"Vail Resorts, Inc.",,165.29 +11.71 (+7.66%),11.71,+7.66%,32080,584950,6.188B,24.06,-32.12%,
5,MWA,"Mueller Water Products, Inc.",,27.05 +0.15 (+0.56%),0.15,+0.56%,37563,1.396M,4.236B,31.09,72.33%,
6,KTOS,"Kratos Defense & Security Solutions, Inc.",,29.35 +0.17 (+0.60%),0.17,+0.60%,81838,2.183M,4.487B,266.86,62.74%,
7,BECN,"Beacon Roofing Supply, Inc.",,118.60 +0.08 (+0.07%),0.08,+0.07%,9140,896331,7.304B,20.88,37.22%,
8,WSC,WillScot Holdings Corporation,,29.99 +0.23 (+0.75%),0.23,+0.75%,43293,2.567M,5.504B,199.90,-35.63%,
9,BILI,Bilibili Inc.,,22.99 +1.18 (+5.39%),1.18,+5.39%,388099,6.781M,10.228B,-,71.87%,
10,GDS,GDS Holdings Limited,,38.40 +1.99 (+5.46%),1.99,+5.46%,131823,2.915M,7.524B,-,371.02%,
11,STVN,Stevanato Group S.p.A.,,22.60 +1.04 (+4.82%),1.04,+4.82%,4019,377277,6.168B,48.09,-20.51%,
12,AES,The AES Corporation,,11.90 +0.12 (+1.02%),0.12,+1.02%,230001,15.137M,8.462B,5.02,-26.10%,
13,BEKE,KE Holdings Inc.,,23.53 +1.07 (+4.74%),1.07,+4.74%,506947,8.092M,30.97B,48.03,54.97%,
14,SMCAY,SMC Corporation,,19.62 +0.77 (+4.08%),0.77,+4.08%,77577,663025,25.368B,23.08,-33.40%,
15,CWEN-A,"Clearway Energy, Inc.",,27.04 +0.07 (+0.26%),0.07,+0.26%,7849,195379,5.674B,36.05,32.53%,
16,NEE-PR,"NextEra Energy, Inc.",,43.22 +1.63 (+3.92%),1.63,+3.92%,104391,130323,--,-,19.77%,
17,APGE,"Apogee Therapeutics, Inc.",,37.74 +0.20 (+0.53%),0.2,+0.53%,2692,564698,2.192B,-,-45.86%,
18,OLCLY,"Oriental Land Co., Ltd.",,21.80 +0.74 (+3.51%),0.74,+3.51%,15949,113912,36.382B,45.42,-34.89%,
19,TNXP,Tonix Pharmaceuticals Holding Corp.,,13.10 -0.37 (-2.74%),-0.37,-2.74%,66593,2.01M,73.235M,-,-98.72%,
20,BEPC,Brookfield Renewable Corporation,,28.58 -0.03 (-0.12%),-0.03,-0.12%,12270,1.015M,5.16B,21.81,16.54%,
21,FRO,Frontline plc,,15.72 +0.58 (+3.83%),0.58,+3.83%,222406,3.398M,3.5B,7.05,-33.25%,
22,SOBO,South Bow Corporation,,25.18 +0.32 (+1.31%),0.32,+1.31%,6940,816579,5.256B,16.57,11.53%,
23,DVA,DaVita Inc.,,151.76 -0.13 (-0.09%),-0.13,-0.09%,12039,882084,12.141B,14.16,9.12%,
24,BMY,Bristol-Myers Squibb Company,,62.87 -0.24 (-0.38%),-0.24,-0.38%,494047,11.863M,127.583B,-,16.01%,
25,ORA,"Ormat Technologies, Inc.",,72.81 -0.12 (-0.16%),-0.12,-0.16%,7342,679143,4.405B,35.69,11.31%,
26,EXE,Expand Energy Corporation,,99.50 +0.99 (+1.00%),0.99,+1.00%,33667,3.013M,23.155B,-,18.33%,
27,GOLF,Acushnet Holdings Corp.,,71.03 +0.36 (+0.51%),0.36,+0.51%,9091,491705,4.257B,21.08,13.45%,
28,AR,Antero Resources Corporation,,35.28 +0.59 (+1.69%),0.59,+1.69%,35921,4.683M,10.977B,195.97,32.51%,
29,NTOIY,Neste Oyj,,5.0000 +0.1500 (+3.09%),0.15,+3.09%,44509,169279,7.755B,-,-64.18%,
30,CME,CME Group Inc.,,262.73 +0.45 (+0.17%),0.45,+0.17%,29591,1.894M,94.393B,27.14,20.45%,
31,ENLT,Enlight Renewable Energy Ltd,,16.96 -0.15 (-0.88%),-0.15,-0.88%,260,19301,2.017B,47.11,0.29%,
