,Unnamed: 0,Volume,Last,Chg,% Chg
0,Dogwood Therapeutics Inc. (DWTX),25.9M,6.6,2.17,48.98
1,Willdan Group Inc. (WLDN),607.3K,41.8,9.58,29.73
2,NetClass Technology Inc. Cl A (NTCL),140.0K,10.27,2.06,25.09
3,Visionary Holdings Inc. (GV),71.7M,6.05,1.16,23.72
4,BioXcel Therapeutics Inc. (BTAI),2.5M,3.37,0.63,22.99
5,GEN Restaurant Group Inc. Cl A (GENK),2.2M,6.25,1.16,22.79
6,LZ Technology Holdings Ltd. Cl B (LZMH),950.3K,12.04,2.21,22.54
7,Yoshiharu Global Co. (YOSH),360.4K,13.97,2.56,22.44
8,American Public Education Inc. (APEI),393.4K,23.5,4.25,22.08
9,Junee Ltd. (JUNE),66.4K,5.0,0.9,21.95
10,Ameresco Inc. Cl A (AMRC),2.0M,11.09,1.8,19.38
11,Gap Inc. (GAP),30.5M,23.15,3.67,18.84
12,Coffee Holding Co. Inc. (JVA),973.5K,9.57,1.47,18.15
13,Wolfspeed Inc. (WOLF),31.7M,5.95,0.91,18.06
14,Pro-Dex Inc. (PDEX),157.1K,40.08,6.04,17.74
15,Tuya Inc. ADR (TUYA),9.5M,4.03,0.59,17.15
16,MeridianLink Inc. (MLNK),731.4K,21.49,3.06,16.6
17,AerSale Corp. (ASLE),1.8M,8.24,1.17,16.55
18,Claros Mortgage Trust Inc. (CMTG),1.7M,3.07,0.43,16.29
19,Array Technologies Inc. (ARRY),10.4M,6.15,0.86,16.26
20,Domo Inc. Cl B (DOMO),944.1K,8.18,1.13,16.03
21,Hain Celestial Group Inc. (HAIN),3.0M,4.55,0.62,15.78
22,KLX Energy Services Holdings Inc. (KLXE),687.2K,4.74,0.62,15.05
23,FAT Brands Inc. Cl A (FAT),159.3K,3.68,0.48,15.0
24,Grocery Outlet Holding Corp. (GO),4.5M,13.1,1.57,13.62
25,Asure Software Inc. (ASUR),280.8K,10.94,1.25,12.9
26,CorMedix Inc. (CRMD),1.6M,10.71,1.22,12.86
27,Nuvectis Pharma Inc. (NVCT),82.3K,6.93,0.78,12.68
28,Genelux Corp. (GNLX),174.1K,4.2,0.47,12.6
29,Xunlei Ltd. ADR (XNET),989.8K,4.5,0.5,12.5
30,Stronghold Digital Mining Inc. (SDIG),185.0K,3.1,0.33,11.91
31,Mangoceuticals Inc. (MGRX),72.6K,5.28,0.55,11.63
32,Park Ha Biological Technology Co. Ltd. (PHH),402.5K,7.69,0.79,11.45
33,Piedmont Lithium Inc. (PLL),638.8K,7.62,0.77,11.15
34,B&G Foods Inc. (BGS),4.0M,7.65,0.75,10.87
35,Maravai LifeSciences Holdings Inc. (MRVI),4.3M,2.96,0.29,10.86
36,Beyond Inc. (BYON),3.4M,6.14,0.6,10.83
37,Karyopharm Therapeutics Inc. (KPTI),160.1K,6.89,0.67,10.77
38,aTyr Pharma Inc. (ATYR),2.9M,3.4,0.32,10.39
39,Hawaiian Electric Industries Inc. (HE),8.0M,11.46,1.06,10.19
40,IDT Corp. Cl B (IDT),255.4K,50.89,4.7,10.18
41,LandBridge Co. LLC (LB),838.0K,67.72,6.21,10.1
42,Surf Air Mobility Inc. (SRFM),292.1K,4.16,0.38,10.05
43,Rigetti Computing Inc. (RGTI),74.6M,9.35,0.84,9.87
44,Maxeon Solar Technologies Ltd. (MAXN),251.6K,3.46,0.31,9.84
45,Transocean Ltd. (RIG),39.5M,3.04,0.27,9.75
46,e.l.f. Beauty Inc. (ELF),4.1M,70.68,6.26,9.72
47,Sandisk Corp. (SNDK),7.8M,51.0,4.5,9.68
48,XTI Aerospace Inc. (XTIA),326.1K,3.08,0.27,9.61
49,Coya Therapeutics Inc. (COYA),629.6K,6.88,0.59,9.38
50,Oramed Pharmaceuticals Inc. (ORMP),357.6K,2.57,0.22,9.36
51,SEALSQ Corp. (LAES),10.6M,2.93,0.25,9.33
52,TG Therapeutics Inc. (TGTX),4.1M,38.44,3.25,9.24
53,Goodyear Tire & Rubber Co. (GT),8.2M,9.79,0.82,9.14
54,Harmony Gold Mining Co. Ltd. ADR (HMY),10.4M,11.84,0.99,9.12
55,Amentum Holdings Inc. (AMTM),3.6M,19.99,1.66,9.06
56,Vital Farms Inc. (VITL),1.4M,33.12,2.73,8.98
57,Science Applications International Corp. (SAIC),1.9M,111.25,9.09,8.9
58,Impinj Inc. (PI),795.2K,100.45,8.18,8.87
59,Elutia Inc. (ELUT),128.5K,2.78,0.23,8.82
60,zSpace Inc. (ZSPC),69.9K,10.57,0.85,8.74
61,Kohl's Corp. (KSS),14.0M,12.21,0.98,8.73
62,LENSAR Inc. (LNSR),95.7K,14.86,1.19,8.71
63,Broadcom Inc. (AVGO),74.5M,194.96,15.51,8.64
64,ASP Isotopes Inc. (ASPI),1.5M,4.41,0.35,8.62
65,Skyworks Solutions Inc. (SWKS),5.8M,72.61,5.68,8.49
66,Velocity Financial Inc. (VEL),221.2K,20.48,1.6,8.47
67,Definitive Healthcare Corp. Cl A (DH),1.6M,2.85,0.22,8.37
68,Duolingo Inc. (DUOL),1.6M,295.56,22.79,8.36
69,CleanSpark Inc. (CLSK),23.4M,8.83,0.68,8.34
70,Avantor Inc. (AVTR),21.4M,17.5,1.33,8.23
71,Bilibili Inc. ADR (BILI),11.0M,24.1,1.82,8.17
72,Finance of America Cos. Inc. (FOA),88.6K,22.56,1.69,8.1
73,TSS Inc. (TSSI),1.1M,9.5,0.71,8.08
74,Astrana Health Inc. (ASTH),513.8K,29.38,2.17,7.98
75,Allogene Therapeutics Inc. (ALLO),4.7M,2.18,0.16,7.92
76,Qorvo Inc. (QRVO),3.0M,76.8,5.6,7.87
77,CACI International Inc. Cl A (CACI),960.9K,387.17,28.21,7.86
78,Celsius Holdings Inc. (CELH),7.8M,27.39,1.97,7.75
79,Neonode Inc. (NEON),66.4K,8.39,0.6,7.7
80,Cyclerion Therapeutics Inc. (CYCN),69.3K,2.8,0.2,7.69
81,Unusual Machines Inc. (UMAC),1.2M,6.17,0.44,7.68
82,Westrock Coffee Co. (WEST),283.7K,7.22,0.51,7.6
83,Booz Allen Hamilton Holding Corp. (BAH),4.2M,116.47,8.14,7.51
84,STAK Inc. (STAK),167.6K,4.15,0.29,7.51
85,Walgreens Boots Alliance Inc. (WBA),104.4M,11.39,0.79,7.45
86,Noble Corp. PLC (NE),4.0M,24.71,1.71,7.43
87,Nukkleus Inc. (NUKK),189.3K,15.24,1.05,7.4
88,Bumble Inc. Cl A (BMBL),5.2M,5.08,0.35,7.4
89,Valaris Ltd. (VAL),3.5M,37.39,2.56,7.35
90,Dollar General Corp. (DG),7.4M,81.84,5.6,7.35
91,Celestica Inc. (CLS),6.7M,87.53,5.91,7.24
92,Amylyx Pharmaceuticals Inc. (AMLX),1.9M,3.87,0.26,7.2
93,Ready Capital Corp. (RC),4.4M,5.36,0.36,7.2
94,Oncocyte Corp. (OCX),83.4K,3.9,0.26,7.14
95,TeraWulf Inc. (WULF),24.5M,3.6,0.24,7.14
96,ProFrac Holding Corp. (ACDC),708.7K,7.05,0.47,7.14
97,Cloudastructure Inc. Cl A (CSAI),459.8K,6.68,0.44,7.05
98,NET Power Inc. (NPWR),722.1K,6.93,0.45,6.94
99,FuelCell Energy Inc. (FCEL),780.3K,6.59,0.42,6.89
