symbol,price,price_change,price_percent_change
BOXL,3.1,1.05,51.22
GDEV,20.9,6.64,46.56
PONY,23.61,5.73,32.05
CELH,32.62,7.09,27.77
VICR,63.67,11.81,22.77
SEI,35.96,6.62,22.56
OSRH,4.22,0.77,22.32
SLRN,2.6,0.43,19.82
FARM,3.04,0.44,16.92
MERC,7.69,1.11,16.87
DOYU,7.2,1.0,16.13
UBXG,3.5,0.48,15.89
YAAS,2.62,0.33,14.41
DGNX,50.0,6.2,14.16
INOD,61.91,7.35,13.47
TME,14.38,1.55,12.08
WKC,30.73,3.13,11.34
FUFU,5.35,0.52,10.77
NCTY,16.47,1.59,10.69
SINT,5.31,0.51,10.62
ALBT,5.42,0.52,10.61
RILY,3.4,0.32,10.39
CYN,7.76,0.69,9.76
CJMB,5.53,0.49,9.72
SAG,3.05,0.27,9.71
SOWG,3.0,0.27,9.69
JG,11.8,1.03,9.56
ZLAB,33.78,2.79,9.0
SABR,4.52,0.37,8.92
API,6.16,0.49,8.64
HUIZ,3.78,0.29,8.46
AIFF,7.79,0.59,8.19
BTOC,2.66,0.2,8.13
GASS,5.98,0.43,7.75
VKTX,34.07,2.44,7.71
AAPG,21.17,1.5,7.63
ATRO,20.2,1.42,7.56
MELI,2260.0,149.53,7.09
MGTX,7.3,0.47,6.88
CBLL,24.69,1.58,6.84
OLED,157.3,9.96,6.76
AMN,27.58,1.74,6.73
AXSM,137.75,8.65,6.7
XIN,3.04,0.19,6.56
BJRI,38.05,2.31,6.46
AGM,208.09,12.42,6.35
HSAI,19.63,1.12,6.05
TANH,3.17,0.18,6.02
IRTC,119.44,6.77,6.01
DSY,2.17,0.12,5.9
RYI,24.3,1.35,5.88
VRNA,67.96,3.77,5.87
QTTB,2.57,0.14,5.76
BABA,143.75,7.78,5.72
PDD,131.34,6.93,5.57
LU,3.1,0.16,5.44
Cayman,3.71,0.19,5.4
CYD,20.0,1.02,5.37
ELF,74.92,3.81,5.36
MRNA,35.53,1.8,5.34
OWLT,5.22,0.26,5.24
INBS,2.21,0.11,5.24
PRPO,10.14,0.5,5.19
NVO,88.08,4.34,5.18
YOU,23.55,1.16,5.18
OSS,3.92,0.19,5.09
China,16.11,0.78,5.09
ARCT,17.77,0.85,5.02
NVNI,2.51,0.12,5.02
EXEL,36.85,1.76,5.02
LAW,5.25,0.25,5.0
ALVO,12.28,0.58,4.96
VIGL,3.03,0.14,4.84
MP,24.3,1.12,4.83
RLX,2.43,0.11,4.74
LX,9.36,0.42,4.7
TUYA,4.06,0.18,4.64
APLD,10.65,0.47,4.62
ONC,255.37,11.17,4.57
NABL,10.3,0.45,4.57
PRMB,34.07,1.48,4.54
SPAI,4.02,0.17,4.42
SCHL,20.6,0.87,4.41
CWAN,31.26,1.32,4.41
SNDKV,50.37,2.11,4.37
AGIO,35.22,1.47,4.36
GDYN,21.37,0.89,4.35
JJSF,129.29,5.33,4.3
RYAM,7.38,0.3,4.24
BGS,6.67,0.27,4.22
KVUE,23.32,0.93,4.15
RITR,2.77,0.11,4.14
LI,27.46,1.09,4.13
DENN,5.32,0.21,4.11
RKT,13.25,0.52,4.08
HSY,172.86,6.76,4.07
KOF,88.39,3.45,4.06
CYCN,2.82,0.11,4.06
MRVI,4.11,0.16,4.05
MDLZ,64.67,2.5,4.02
