,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,GAP,"The Gap, Inc.",,23.15 +3.67 (+18.84%),3.67,+18.84%,30.396M,5.713M,8.73B,10.52,6.98%,
1,LB,LandBridge Company LLC,,67.72 +6.21 (+10.10%),6.21,+10.10%,837816,621310,5.177B,-,192.53%,
2,RGTI,"Rigetti Computing, Inc.",,9.35 +0.84 (+9.87%),0.84,+9.87%,74.602M,146.529M,2.651B,-,402.69%,
3,ELF,"e.l.f. Beauty, Inc.",,70.68 +6.26 (+9.72%),6.26,+9.72%,4.071M,2.645M,3.986B,42.32,-63.56%,
4,TGTX,"TG Therapeutics, Inc.",,38.44 +3.25 (+9.24%),3.25,+9.24%,4.141M,2.416M,6.038B,256.27,134.82%,
5,GT,The Goodyear Tire & Rubber Company,,9.79 +0.82 (+9.14%),0.82,+9.14%,8.175M,5.413M,2.79B,40.79,-22.12%,
6,HMY,Harmony Gold Mining Company Limited,,11.84 +0.99 (+9.12%),0.99,+9.12%,10.402M,6.729M,7.367B,12.87,49.31%,
7,AMTM,"Amentum Holdings, Inc.",,19.99 +1.66 (+9.06%),1.66,+9.06%,2.472M,3.024M,4.864B,-,-32.26%,
8,SAIC,Science Applications International Corporation,,111.25 +9.09 (+8.90%),9.09,+8.90%,1.886M,662401,5.438B,18.73,-20.95%,
9,PI,"Impinj, Inc.",,100.45 +8.18 (+8.87%),8.18,+8.87%,795163,690162,2.867B,72.27,-13.90%,
10,AVGO,Broadcom Inc.,,194.96 +15.51 (+8.64%),15.51,+8.64%,74.529M,36.394M,916.688B,90.26,50.77%,
11,SWKS,"Skyworks Solutions, Inc.",,72.61 +5.68 (+8.49%),5.68,+8.49%,5.795M,3.227M,11.671B,22.34,-32.55%,
12,DUOL,"Duolingo, Inc.",,295.56 +22.79 (+8.36%),22.79,+8.36%,1.587M,759948,13.372B,156.38,32.75%,
13,CLSK,"CleanSpark, Inc.",,8.83 +0.68 (+8.34%),0.68,+8.34%,23.415M,26.355M,2.48B,-,-47.78%,
14,AVTR,"Avantor, Inc.",,17.50 +1.33 (+8.23%),1.33,+8.23%,21.403M,5.777M,11.916B,16.83,-30.75%,
15,BILI,Bilibili Inc.,,24.10 +1.82 (+8.17%),1.82,+8.17%,10.972M,6.714M,9.732B,-,91.12%,
16,QRVO,"Qorvo, Inc.",,76.80 +5.60 (+7.87%),5.6,+7.87%,2.996M,3.345M,7.173B,274.29,-34.63%,
17,CACI,CACI International Inc,,387.17 +28.21 (+7.86%),28.21,+7.86%,960848,453886,8.68B,18.19,4.06%,
18,CELH,"Celsius Holdings, Inc.",,27.39 +1.97 (+7.75%),1.97,+7.75%,7.847M,9.961M,6.44B,60.87,-67.89%,
19,BAH,Booz Allen Hamilton Holding Corporation,,116.47 +8.14 (+7.51%),8.14,+7.51%,3.885M,2.255M,14.75B,17.38,-19.44%,
20,WBA,"Walgreens Boots Alliance, Inc.",,11.39 +0.79 (+7.45%),0.79,+7.45%,104.361M,27.35M,9.843B,-,-47.12%,
21,NE,Noble Corporation plc,,24.71 +1.71 (+7.43%),1.71,+7.43%,4.007M,1.999M,3.934B,8.35,-45.33%,
22,VAL,Valaris Limited,,37.39 +2.56 (+7.35%),2.56,+7.35%,3.49M,1.893M,2.656B,7.30,-46.10%,
23,DG,Dollar General Corporation,,81.84 +5.60 (+7.35%),5.6,+7.35%,7.195M,3.555M,17.999B,13.50,-48.63%,
24,CLS,Celestica Inc.,,87.53 +5.91 (+7.24%),5.91,+7.24%,6.691M,4.285M,10.204B,24.25,100.48%,
25,MPW,"Medical Properties Trust, Inc.",,6.02 +0.37 (+6.55%),0.37,+6.55%,16.597M,13.691M,3.616B,-,43.68%,
26,ARM,Arm Holdings plc,,125.55 +7.63 (+6.47%),7.63,+6.47%,6.538M,6.059M,132.33B,163.05,-0.94%,
27,OLED,Universal Display Corporation,,159.74 +9.63 (+6.42%),9.63,+6.42%,829606,721505,7.583B,34.35,-5.29%,
28,M,"Macy's, Inc.",,14.06 +0.84 (+6.35%),0.84,+6.35%,11.81M,7.497M,3.904B,6.79,-31.58%,
29,FRPT,"Freshpet, Inc.",,96.86 +5.78 (+6.35%),5.78,+6.35%,1.623M,1.007M,4.719B,104.15,-10.22%,
30,HSAI,Hesai Group,,17.43 +1.03 (+6.28%),1.03,+6.28%,2.977M,3.353M,2.222B,-,224.58%,
31,MOD,Modine Manufacturing Company,,80.80 +4.74 (+6.23%),4.74,+6.23%,1.515M,1.284M,4.248B,27.21,-0.62%,
32,SIRI,Sirius XM Holdings Inc.,,25.23 +1.48 (+6.23%),1.48,+6.23%,6.599M,5.791M,8.547B,-,-39.50%,
33,CRK,"Comstock Resources, Inc.",,17.97 +1.05 (+6.21%),1.05,+6.21%,2.775M,2.473M,5.264B,-,113.67%,
34,RKT,"Rocket Companies, Inc.",,15.77 +0.92 (+6.20%),0.92,+6.20%,7.112M,3.719M,31.34B,75.10,27.80%,
35,MARA,"MARA Holdings, Inc.",,16.02 +0.93 (+6.16%),0.93,+6.16%,59.543M,40.276M,5.54B,9.31,-22.38%,
36,XPEV,XPeng Inc.,,23.60 +1.37 (+6.16%),1.37,+6.16%,12.783M,10.616M,21.958B,-,134.83%,
37,AGCO,AGCO Corporation,,102.70 +5.95 (+6.15%),5.95,+6.15%,1.348M,927824,7.66B,-,-10.45%,
38,FSLR,"First Solar, Inc.",,139.13 +8.00 (+6.10%),8.0,+6.10%,3.457M,2.488M,14.896B,11.57,-14.20%,
39,LNTH,"Lantheus Holdings, Inc.",,106.34 +6.11 (+6.10%),6.11,+6.10%,1.371M,901577,7.282B,24.39,69.55%,
40,SYM,Symbotic Inc.,,23.29 +1.33 (+6.06%),1.33,+6.06%,1.243M,2.133M,13.704B,-,-48.26%,
41,XP,XP Inc.,,15.43 +0.88 (+6.05%),0.88,+6.05%,8.505M,6.809M,8.292B,10.79,-39.25%,
42,CRUS,"Cirrus Logic, Inc.",,108.92 +5.97 (+5.80%),5.97,+5.80%,622639,707843,5.789B,19.80,17.43%,
43,W,Wayfair Inc.,,35.01 +1.91 (+5.77%),1.91,+5.77%,4.624M,3.769M,4.443B,-,-40.47%,
44,CART,Maplebear Inc.,,39.90 +2.15 (+5.70%),2.15,+5.70%,6.982M,4.336M,10.559B,25.25,15.65%,
45,AKAM,"Akamai Technologies, Inc.",,87.52 +4.71 (+5.69%),4.71,+5.69%,4.5M,2.395M,13.156B,26.76,-20.46%,
46,WLY,"John Wiley & Sons, Inc.",,46.17 +2.47 (+5.65%),2.47,+5.65%,833249,425235,2.415B,62.39,23.15%,
47,PII,Polaris Inc.,,47.51 +2.54 (+5.65%),2.54,+5.65%,2.673M,1.599M,2.665B,24.36,-48.27%,
48,WNS,WNS (Holdings) Limited,,59.85 +3.19 (+5.63%),3.19,+5.63%,545228,485965,2.599B,21.84,5.35%,
49,RXRX,"Recursion Pharmaceuticals, Inc.",,6.59 +0.35 (+5.61%),0.35,+5.61%,19.229M,23.357M,2.649B,-,-36.45%,
50,FN,Fabrinet,,193.83 +10.17 (+5.54%),10.17,+5.54%,1.368M,662091,6.976B,21.68,-3.94%,
51,CNXC,Concentrix Corporation,,47.10 +2.47 (+5.53%),2.47,+5.53%,756767,744984,3.03B,12.70,-27.29%,
52,PLTR,Palantir Technologies Inc.,,84.90 +4.44 (+5.52%),4.44,+5.52%,105.377M,97.158M,199.128B,446.86,234.95%,
53,MPWR,"Monolithic Power Systems, Inc.",,596.79 +31.09 (+5.50%),31.09,+5.50%,782350,884020,28.566B,16.31,-17.02%,
54,CALM,"Cal-Maine Foods, Inc.",,87.18 +4.53 (+5.48%),4.53,+5.48%,1.15M,909300,4.275B,6.78,49.05%,
55,PKX,POSCO Holdings Inc.,,53.43 +2.77 (+5.47%),2.77,+5.47%,468607,278422,16.549B,25.20,-35.56%,
