symbol,price,price_change,price_percent_change
FRGE,11.83,2.2,+22.86%
RKLB,21.07,1.94,+10.14%
PIII,9.79,0.8,+8.90%
ERIC,8.07,0.62,+8.32%
PAY,30.07,2.07,+7.39%
MNTHY,44.72,2.79,+6.65%
PLTR,98.40,5.78,+6.24%
ADMA,22.15,1.24,+5.93%
UAA,5.74,0.3,+5.51%
DJT,19.96,1.03,+5.44%
RBRK,63.31,3.26,+5.43%
FINMY,26.29,1.32,+5.29%
TNXP,17.00,0.85,+5.26%
HPE,15.01,0.73,+5.11%
LEGN,33.74,1.63,+5.08%
MMYT,102.69,4.74,+4.84%
NFLX,976.28,45.0,+4.83%
TIGO,29.84,1.34,+4.70%
YMM,10.32,0.46,+4.67%
SRRK,30.22,1.29,+4.46%
CVNA,213.81,9.08,+4.44%
STRL,141.00,5.77,+4.27%
PTGX,46.95,1.92,+4.26%
SPOT,572.39,23.22,+4.23%
FIBK,25.79,1.04,+4.20%
PTCT,46.94,1.86,+4.13%
NTNX,62.85,2.46,+4.07%
HIMS,29.46,1.15,+4.06%
MELI,,81.2,+3.99%
APP,245.47,9.4,+3.98%
GRND,18.88,0.72,+3.96%
HTHT,34.91,1.31,+3.90%
IOT,38.68,1.43,+3.84%
BMRRY,16.40,0.6,+3.80%
CRWD,392.80,14.14,+3.73%
HUBS,547.18,19.62,+3.72%
SMFG,13.59,0.48,+3.66%
U,18.82,0.66,+3.63%
BAC,37.99,1.32,+3.60%
AMRN,9.81,0.34,+3.59%
SAND,8.39,0.29,+3.58%
LTM,30.47,1.05,+3.57%
UA,5.35,0.18,+3.48%
RBLX,58.88,1.97,+3.46%
JPC,7.41,0.25,+3.44%
BBSEY,7.22,0.24,+3.44%
RYCEY,9.78,0.32,+3.38%
WAL,66.07,2.14,+3.35%
JBSAY,15.00,0.48,+3.31%
COMP,7.86,0.25,+3.29%
SOBO,24.33,0.77,+3.27%
RNMBY,337.00,10.6,+3.25%
RYTM,62.09,1.95,+3.24%
NOK,5.14,0.16,+3.21%
SAN,6.75,0.21,+3.21%
CORT,69.59,2.16,+3.20%
EDU,45.50,1.41,+3.20%
GT,9.75,0.3,+3.17%
DJTWW,12.74,0.39,+3.11%
TEAM,207.25,6.26,+3.11%
BCS,14.71,0.44,+3.08%
TRI,181.70,5.34,+3.03%
HDB,69.41,2.03,+3.01%
