symbol,price,price_change,price_percent_change
GDS,34.29 +5.04 (+17.23%),5.04,+17.23%
TVTX,23.75 +2.65 (+12.56%),2.65,+12.56%
BHVN,42.53 +4.28 (+11.19%),4.28,+11.19%
EDU,54.55 +4.55 (+9.10%),4.55,+9.10%
TIMB,14.72 +1.18 (+8.71%),1.18,+8.71%
LSCC,58.64 +4.17 (+7.66%),4.17,+7.66%
WTS,224.67 +15.92 (+7.63%),15.92,+7.63%
GOLF,68.54 +4.71 (+7.38%),4.71,+7.38%
SOC,24.84 +1.70 (+7.35%),1.7,+7.35%
ZIM,20.79 +1.42 (+7.33%),1.42,+7.33%
DD,81.48 +5.22 (+6.85%),5.22,+6.85%
AMKBY,8.52 +0.54 (+6.77%),0.54,+6.77%
GFS,40.10 +2.36 (+6.25%),2.36,+6.25%
ECL,261.23 +15.29 (+6.22%),15.29,+6.22%
INTC,20.97 +1.20 (+6.07%),1.2,+6.07%
NNN,40.24 +2.18 (+5.73%),2.18,+5.73%
NSP,85.49 +4.61 (+5.70%),4.61,+5.70%
LCII,107.76 +5.78 (+5.67%),5.78,+5.67%
CENX,21.76 +1.16 (+5.63%),1.16,+5.63%
HSAI,18.00 +0.91 (+5.32%),0.91,+5.32%
JAZZ,129.98 +6.47 (+5.24%),6.47,+5.24%
FLG,12.92 +0.63 (+5.13%),0.63,+5.13%
SPGI,540.51 +25.21 (+4.89%),25.21,+4.89%
ALGM,24.49 +1.12 (+4.79%),1.12,+4.79%
KO,67.60 +3.05 (+4.73%),3.05,+4.73%
PSX,129.55 +5.84 (+4.72%),5.84,+4.72%
YETI,37.82 +1.68 (+4.65%),1.68,+4.65%
NWL,7.33 +0.32 (+4.64%),0.32,+4.64%
CWT,45.69 +1.94 (+4.43%),1.94,+4.43%
TEM,71.21 +2.85 (+4.17%),2.85,+4.17%
LKNCY,29.23 +1.21 (+4.32%),1.21,+4.32%
SAN,5.83 +0.24 (+4.29%),0.24,+4.29%
CALM,113.98 +4.57 (+4.18%),4.57,+4.18%
ELF,76.94 +3.08 (+4.17%),3.08,+4.17%
AXSM,132.20 +5.12 (+4.03%),5.12,+4.03%
ATAT,29.00 +1.10 (+3.94%),1.1,+3.94%
BRX,27.21 +1.03 (+3.93%),1.03,+3.93%
SCGLY,7.67 +0.29 (+3.93%),0.29,+3.93%
AAP,47.00 +1.76 (+3.89%),1.76,+3.89%
FMC,36.45 +1.35 (+3.85%),1.35,+3.85%
TBBK,62.51 +2.26 (+3.75%),2.26,+3.75%
VIV,9.04 +0.32 (+3.67%),0.32,+3.67%
SE,129.71 +4.43 (+3.54%),4.43,+3.54%
OZK,53.10 +1.81 (+3.53%),1.81,+3.53%
TTMI,26.38 +0.88 (+3.45%),0.88,+3.45%
ELP,7.01 +0.23 (+3.39%),0.23,+3.39%
IMO,71.07 +2.32 (+3.37%),2.32,+3.37%
SYM,29.14 +0.95 (+3.37%),0.95,+3.37%
LII,602.35 +19.22 (+3.30%),19.22,+3.30%
BTU,17.29 +0.55 (+3.29%),0.55,+3.29%
SYBT,77.68 +2.47 (+3.28%),2.47,+3.28%
MDLZ,60.45 +1.92 (+3.28%),1.92,+3.28%
PAC,195.00 +6.11 (+3.23%),6.11,+3.23%
MDU,16.99 +0.53 (+3.22%),0.53,+3.22%
PGR,257.57 +7.88 (+3.16%),7.88,+3.16%
EDR,34.56 +1.05 (+3.13%),1.05,+3.13%
DKS,243.99 +7.34 (+3.10%),7.34,+3.10%
BFH,62.47 +1.87 (+3.09%),1.87,+3.09%
SHOP,123.59 +3.69 (+3.08%),3.69,+3.08%
RACE,474.96 +14.16 (+3.07%),14.16,+3.07%
EFSC,61.79 +1.84 (+3.07%),1.84,+3.07%
HURN,128.71 +3.81 (+3.05%),3.81,+3.05%
RSI,14.88 +0.44 (+3.05%),0.44,+3.05%
SM,40.61 +1.20 (+3.04%),1.2,+3.04%
GRFS,7.19 +0.21 (+3.01%),0.21,+3.01%
